ActorName,Name,Image,Boss,Fuse Attack Power (Sword),Fuse Attack Power (Large Sword),Fuse Attack Power (Spear),Fuse Attack Power (Shield),Fuse Property 1,Fuse Property 2,Fuse Replace Sharpness,Fuse Can Cut,Fuse Shatters Rock,Fuse Adds Shield Bash Attack,Zonai Fuse,Mineru Fuse Durability,Element,Internal Fuse SubTypes,Name (Japanese)
Item_Enemy_137,Stone Talus Heart,,Stone Talus,13,13,10,13,-,-,TRUE,FALSE,TRUE,TRUE,FALSE,10,-,"[Blunt,ShieldSurfingslipperinessDown,TorchNoBurning,ShatterWeapon,ShieldBash]",イワロックの心岩
Item_Enemy_138,Luminous Stone Talus Heart,,Stone Talus (Luminous),21,22,16,21,-,-,TRUE,FALSE,TRUE,TRUE,FALSE,10,-,"[Blunt,ShieldSurfingslipperinessDown,TorchNoBurning,ShieldBash,ShatterWeaponLv2]",夜光石イワロックの心岩
Item_Enemy_139,Rare Stone Talus Heart,,Stone Talus (Rare),33,34,25,33,-,-,TRUE,FALSE,TRUE,TRUE,FALSE,10,-,"[Blunt,ShieldSurfingslipperinessDown,TorchNoBurning,ShieldBash,ShatterWeaponLv3]",希少石イワロックの心岩
Item_Enemy_140,Igneo Talus Heart,,Igneo Talus,27,28,21,27,Fire Attack,Warm,TRUE,FALSE,TRUE,TRUE,FALSE,10,Fire,"[Blunt,ShieldSurfingslipperinessDown,TorchNoBurning,ShatterWeapon,ShieldBash,ChemicalAttackFire,Warm]",マグロックの心岩
Item_Enemy_141,Frost Talus Heart,,Frost Talus,27,28,21,27,Ice Attack,Cold,TRUE,FALSE,TRUE,TRUE,FALSE,10,Ice,"[Blunt,ShieldSurfingslipperinessDown,TorchNoBurning,ShatterWeapon,ShieldBash,ChemicalAttackIce,Cold]",ガチロックの心岩
Item_Enemy_225,Flux Construct I Core,,Flux Construct I,10,10,8,10,-,-,TRUE,FALSE,TRUE,TRUE,TRUE,10,-,"[Blunt,ShieldSurfingslipperinessDown,TorchNoBurning,ShieldBash,ShatterWeapon,Zonau,UnlikeHammer]",ブロックゴーレムのコア
Item_Enemy_226,Flux Construct II Core,,Flux Construct II,20,21,16,20,-,-,TRUE,FALSE,TRUE,TRUE,TRUE,10,-,"[Blunt,ShieldSurfingslipperinessDown,TorchNoBurning,ShieldBash,ShatterWeaponLv2,Zonau,UnlikeHammer]",中等ブロックゴーレムのコア
Item_Enemy_227,Flux Construct III Core,,Flux Construct III,32,33,25,32,-,-,TRUE,FALSE,TRUE,TRUE,TRUE,10,-,"[Blunt,ShieldSurfingslipperinessDown,TorchNoBurning,ShieldBash,ShatterWeaponLv3,Zonau,UnlikeHammer]",上等ブロックゴーレムのコア
Item_Enemy_220,Colgera Jaw,,Colgera (Depths),36,37,28,36,-,-,TRUE,TRUE,FALSE,TRUE,FALSE,10,-,"[ShieldSurfingslipperinessDown,TorchNoBurning,ShieldBash,ShieldBashAnmChange]",フリザゲイラの大アゴ
Item_Enemy_221,Marbled Gohma Leg,,Marbled Gohma (Depths),38,40,29,38,Expand Shockwave,-,TRUE,FALSE,TRUE,TRUE,FALSE,10,-,"[Blunt,ShieldSurfingslipperinessDown,TorchNoBurning,ShieldBash,ShatterWeaponLv3,ExpandShockWave]",ボルドゴーマの岩脚
Item_Enemy_223,Queen Gibdo Wing,,Queen Gibdo (Depths),40,42,31,-,Fan,-,TRUE,FALSE,FALSE,FALSE,FALSE,10,-,"[Blunt,ShieldSurfingslipperinessDown,TorchNoBurning,Fan]",クィンギブドの巨大羽
