ActorName,Name,Image,HP,Object Map Link,Default Affiliation,Spawn Time,Despawn Time,Spawns in Sunny Weather,Despawns in Sunny Weather,Spawns in Cloudy Weather,Despawns in Cloudy Weather,Spawns in Sunny Rain,Despawns in Sunny Rain,Spawns in Cloudy Rain,Despawns in Cloudy Rain,Spawns in Heavy Rain,Despawns in Heavy Rain,Spawns in Cloudy Thunderstorm,Despawns in Cloudy Thunderstorm,Spawns in Rainy Thunderstorm,Despawns in Rainy Thunderstorm,Spawns in Snow,Despawns in Snow,Spawns in Heavy Snow,Despawns in Heavy Snow,Spawns in Blizzard,Flame Guard Level,Flammable,Burns Out,Freezable,Ridable,Compendium #
GameRomHorse,Horse,,Varies,Horse,Neutral,-,-,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,0,TRUE,FALSE,TRUE,TRUE,001
GameRomHorse00L,Giant Horse,,300,Giant Horse,Neutral,-,-,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,0,TRUE,FALSE,TRUE,TRUE,002
GameRomHorseZelda,White Horse,,220,White Horse,Neutral,-,-,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,0,TRUE,FALSE,TRUE,TRUE,003
GameRomHorse01L,Giant White Stallion,,300,Giant White Stallion,Neutral,-,-,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,0,TRUE,FALSE,TRUE,TRUE,004
GameRomHorseGold,Golden Horse,,220,Golden Horse,Neutral,-,-,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,0,TRUE,FALSE,TRUE,TRUE,005
GameRomHorseBone,Stalhorse,,100,Stalhorse,Neutral,9pm - 5am,5am,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,0,TRUE,FALSE,TRUE,TRUE,006
GameRomHorse01S,Donkey,,120,Donkey,Neutral,-,-,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,0,TRUE,FALSE,TRUE,FALSE,007
Animal_Sunazarashi_A,Sand Seal,,100,Sand Seal,Neutral,-,-,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,0,FALSE,FALSE,FALSE,TRUE,008
Animal_Sunazarashi_B,Sand Seal (Rental),,100,Sand Seal (Rental),DomesticAnimal,-,-,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,0,FALSE,FALSE,FALSE,TRUE,008
Animal_Sunazarashi_B_NoMove,Sand Seal (Before Temple),,100,Sand Seal (Before Temple),DomesticAnimal,-,-,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,0,FALSE,FALSE,FALSE,FALSE,008
Animal_SunazarashiSP_C,Patricia,,-,Patricia,DomesticAnimal,-,-,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,0,FALSE,FALSE,FALSE,FALSE,009
Animal_SunazarashiSP_C_NoMove,Patricia (With Riju),,-,Patricia (With Riju),DomesticAnimal,-,-,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,0,FALSE,FALSE,FALSE,FALSE,009
Animal_Squirrel_A,Bushy-Tailed Squirrel,,1,Bushy-Tailed Squirrel,Neutral,4am - 9pm,9pm,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,0,TRUE,FALSE,TRUE,FALSE,010
Animal_Boar_A,Woodland Boar,,8,Woodland Boar,Neutral,-,-,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,0,TRUE,FALSE,TRUE,FALSE,011
Animal_Boar_B,Red-Tusked Boar,,40,Red-Tusked Boar,Neutral,-,-,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,0,TRUE,FALSE,TRUE,FALSE,012
Animal_WildGoat_A,Mountain Goat,,8,Mountain Goat,Neutral,-,-,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,0,TRUE,FALSE,TRUE,FALSE,013
Animal_Goat_A,White Goat,,-,White Goat,DomesticAnimal,-,-,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,0,FALSE,FALSE,FALSE,FALSE,014
Animal_Deer_A,Mountain Buck,,10,Mountain Buck,Neutral,-,-,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,0,TRUE,FALSE,TRUE,TRUE,015
Animal_Doe_A,Mountain Doe,,10,Mountain Doe,Neutral,-,-,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,0,TRUE,FALSE,TRUE,TRUE,016
Animal_Bull_A,Water Buffalo,,24,Water Buffalo,Neutral,-,-,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,0,TRUE,FALSE,TRUE,FALSE,017
Animal_Cow_A,Hateno Cow,,-,Hateno Cow,DomesticAnimal,-,-,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,0,FALSE,FALSE,FALSE,FALSE,018
Animal_Sheep_A,Highland Sheep,,-,Highland Sheep,DomesticAnimal,-,-,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,0,FALSE,FALSE,FALSE,FALSE,019
Animal_Sheep_B,Highland Sheep (South Akkala Stable),,-,Highland Sheep (South Akkala Stable),DomesticAnimal,-,-,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,0,FALSE,FALSE,FALSE,FALSE,019
