ActorName,Name,Location,Map Layer,Object Map Link,Zonai Device 1,Chance 1,Zonai Device 2,Chance 2,Zonai Device 3,Chance 3,Zonai Device 4,Chance 4,Zonai Device 5,Chance 5,Zonai Device 6,Chance 6,X,Y,Height,First n Drops,Exclude Previous Drop,1st Drop,,,2nd Drop,,,3rd Drop,,
RBox_Field_A,Device Dispenser,Great Sky Island,Sky,Link,Flame Emitter,20%,Fan,40%,Portable Pot,40%,-,-,-,-,-,-,435,-1686,1442,3,TRUE,Fan,Flame Emitter,-,Fan,Flame Emitter,Portable Pot,Portable Pot,Fan,Flame Emitter
RBox_Field_B,Device Dispenser,Great Sky Island,Sky,Link,Flame Emitter,15%,Wing,35%,Fan,30%,Portable Pot,20%,-,-,-,-,769,-1259,1578,2,TRUE,Wing,Fan,-,Wing,Fan,-,-,-,-
RBox_Field_E,Device Dispenser,West Hebra Sky Archipelago,Sky,Link,Rocket,30%,Flame Emitter,30%,Portable Pot,15%,Time Bomb,25%,-,-,-,-,-3803,2766,701,3,TRUE,Flame Emitter,Rocket,-,Flame Emitter,Rocket,Time Bomb,Flame Emitter,Rocket,Time Bomb
RBox_Field_E_02,Device Dispenser,East Hebra Sky Archipelago,Sky,Link,Wing,25%,Sled,30%,Fan,15%,Cart,15%,Light,15%,-,-,-1705,3371,947,0,-,-,-,-,-,-,-,-,-,-
RBox_Field_M,Device Dispenser,North Hyrule Sky Archipelago,Sky,Link,Shock Emitter,20%,Light,30%,Steering Stick,30%,Homing Cart,20%,-,-,-,-,443,2821,1819,2,TRUE,Steering Stick,Light,-,Steering Stick,Light,-,-,-,-
RBox_Field_M_02,Device Dispenser,Bravery Island,Sky,Link,Light,25%,Flame Emitter,20%,Battery,30%,Construct Head,25%,-,-,-,-,215,1981,754,1,-,Light,-,-,-,-,-,-,-,-
RBox_Field_F,Device Dispenser,South Eldin Sky Archipelago,Sky,Link,Big Wheel,20%,Hydrant,40%,Battery,20%,Fan,20%,-,-,-,-,1983,1221,1250,3,TRUE,Hydrant,-,-,Big Wheel,Battery,-,Big Wheel,Battery,-
RBox_Field_L,Device Dispenser,Sokkala Sky Archipelago,Sky,Link,Homing Cart,30%,Stake,20%,Cart,15%,Cannon,15%,Construct Head,20%,-,-,3755,1542,1156,2,-,Homing Cart,-,-,Stake,-,-,-,-,-
RBox_Field_Q,Device Dispenser,Sky Mine,Sky,Link,Hover Stone,35%,Time Bomb,25%,Homing Cart,25%,Hydrant,15%,-,-,-,-,4557,2076,1154,0,-,-,-,-,-,-,-,-,-,-
RBox_Field_G_02,Device Dispenser,Lanayru Sky Archipelago,Sky,Link,Cart,30%,Wing,30%,Fan,20%,Beam Emitter,20%,-,-,-,-,2915,502,950,3,TRUE,Wing,Beam Emitter,Cart,Wing,Beam Emitter,Cart,Wing,Beam Emitter,Cart
RBox_Field_C,Device Dispenser,Wellspring Island,Sky,Link,Fan,15%,Hover Stone,35%,Wing,15%,Battery,15%,Stabilizer,20%,-,-,3430,636,1316,1,-,Hover Stone,-,-,-,-,-,-,-,-
RBox_Field_S,Device Dispenser,Lightcast Island,Sky,Link,Mirror,35%,Balloon,15%,Spring,15%,Wing,20%,Hover Stone,15%,-,-,-3612,1066,1655,1,-,Mirror,-,-,-,-,-,-,-,-
RBox_Field_I_02,Device Dispenser,Tabantha Sky Archipelago,Sky,Link,Wing,30%,Frost Emitter,20%,Small Wheel,25%,Mirror,25%,-,-,-,-,-3455,393,1694,1,-,Frost Emitter,-,-,-,-,-,-,-,-
RBox_Field_D,Device Dispenser,Courage Island,Sky,Link,Balloon,30%,Fan,20%,Portable Pot,25%,Time Bomb,25%,-,-,-,-,-2370,781,610,2,TRUE,Balloon,Time Bomb,-,Balloon,Time Bomb,-,-,-,-
RBox_Field_I,Device Dispenser,Starview Island,Sky,Link,Stake,20%,Shock Emitter,20%,Sled,25%,Stabilizer,15%,Frost Emitter,20%,-,-,-3457,-373,1942,1,-,Frost Emitter,-,-,-,-,-,-,-,-
RBox_Field_H,Device Dispenser,East Gerudo Sky Archipelago,Sky,Link,Beam Emitter,15%,Sled,20%,Mirror,20%,Steering Stick,30%,Stake,15%,-,-,-1771,-2019,1147,3,TRUE,Mirror,-,-,Sled,Steering Stick,-,Sled,Steering Stick,-
