objid,map_type,map_name,hash_id,name,fieldarea,region,scale,equip,map_static,korok_id,korok_type,pos,drop.type,drop.value
37575,MainField,B-6,0x642df9aff577b294,Enemy_Assassin_Junior_GateKeeper,Surface4,Gerudo Highlands,0,,1,,,"[-3727.28, 433.93, 1399.62]",Table,['Default']
37576,MainField,B-6,0x95e9852d3d2f6e94,Enemy_Assassin_Junior_GateKeeper,Surface4,Gerudo Highlands,0,,1,,,"[-3733.67, 433.8, 1391.55]",Table,['Default']
37583,MainField,B-6,0xda59981a3fb6a303,Enemy_Assassin_Junior_GateKeeper,Surface4,Gerudo Highlands,0,,1,,,"[-3473.69, 441, 1311.16]",Table,['Default']
37585,MainField,B-6,0xb80976b8a4c27f78,Enemy_Assassin_Junior_GateKeeper,Surface4,Gerudo Highlands,0,,1,,,"[-3479.27, 441.12, 1319.79]",Table,['Default']
60429,MainField,C-4,0x5d26b06626af5be9,Enemy_Assassin_Junior,Surface80,Lindor's Brow,0,,1,,,"[-2745.68, 258.06, -250.34]",Table,['Default']
60436,MainField,C-4,0x77a952c0957e7fa5,Enemy_Assassin_Junior,Surface80,Lindor's Brow,0,,1,,,"[-2747.17, 258.06, -252.83]",Table,['Default']
60444,MainField,C-4,0x43246904ab764a0e,Enemy_Assassin_Junior,Surface80,Lindor's Brow,0,,1,,,"[-2747.17, 258.06, -252.83]",Table,['Default']
60461,MainField,C-4,0x4fe539243806d5e2,Enemy_Assassin_Junior,Surface80,Lindor's Brow,0,,1,,,"[-2745.68, 258.06, -250.34]",Table,['Default']
69289,MainField,C-6,0xbbe3f17aa5a6396a,Enemy_Assassin_Junior,Surface73,Gerudo Canyon,0,,1,,,"[-2255.94, 256.52, 1813.71]",Table,['Default']
69296,MainField,C-6,0x1ee4d1ec369b87be,Enemy_Assassin_Junior,Surface73,Gerudo Canyon,0,,1,,,"[-2255.09, 256.52, 1810.93]",Table,['Default']
69304,MainField,C-6,0xcd5e0a78662eed47,Enemy_Assassin_Junior,Surface73,Gerudo Canyon,0,,1,,,"[-2255.09, 256.52, 1810.93]",Table,['Default']
69321,MainField,C-6,0x692b6adf695fcc6c,Enemy_Assassin_Junior,Surface73,Gerudo Canyon,0,,1,,,"[-2255.94, 256.52, 1813.71]",Table,['Default']
81454,MainField,D-2,0x2f4dad8de58ff7b9,Enemy_Assassin_Junior,Surface60,Lindor's Brow,0,,1,,,"[-1083.38, 219.6, -2320.41]",Table,['Default']
81461,MainField,D-2,0xa5064d79d07890ec,Enemy_Assassin_Junior,Surface60,Lindor's Brow,0,,1,,,"[-1084.73, 219.6, -2322.98]",Table,['Default']
81469,MainField,D-2,0x5dcf79e55847a75b,Enemy_Assassin_Junior,Surface60,Lindor's Brow,0,,1,,,"[-1084.73, 219.6, -2322.98]",Table,['Default']
81486,MainField,D-2,0xf9db394465f46c5e,Enemy_Assassin_Junior,Surface60,Lindor's Brow,0,,1,,,"[-1083.38, 219.6, -2320.41]",Table,['Default']
96278,MainField,D-6,0x444250504b22c61f,Enemy_Assassin_Junior,Surface32,Hyrule Field,0,,1,,,"[-1405.55, 125.42, 1438.46]",Table,['Default']
96285,MainField,D-6,0x0f8532fe594fdd33,Enemy_Assassin_Junior,Surface32,Hyrule Field,0,,1,,,"[-1405.54, 125.42, 1435.56]",Table,['Default']
96293,MainField,D-6,0x42410a524762d072,Enemy_Assassin_Junior,Surface32,Hyrule Field,0,,1,,,"[-1405.54, 125.42, 1435.56]",Table,['Default']
96310,MainField,D-6,0x57f9ab33b394a37a,Enemy_Assassin_Junior,Surface32,Hyrule Field,0,,1,,,"[-1405.55, 125.42, 1438.46]",Table,['Default']
125016,MainField,E-6,0x1b3ed485eac248c3,Enemy_Assassin_Junior,Surface46,Hyrule Field,0,,1,,,"[-986.13, 191.1, 1531.61]",Table,['NoDrop']
125017,MainField,E-6,0x1380ea4fbb7a11de,Enemy_Assassin_Junior,Surface46,Hyrule Field,0,,1,,,"[-993.37, 190.46, 1533.25]",Table,['NoDrop']
125322,MainField,E-6,0x1d5e7776a7bc29b1,Enemy_Assassin_Junior,Surface46,Hyrule Field,0,,1,,,"[-989.44, 190.74, 1529.85]",Table,['NoDrop']
128322,MainField,E-7,0xc3de638b7f084671,Enemy_Assassin_Junior_GateKeeper,Surface46,Hyrule Field,0,,1,,,"[-794.25, 192.87, 2248.44]",Table,['Default']
157460,MainField,F-6,0xb843fddab330e55e,Enemy_Assassin_Junior,Surface32,Hyrule Field,0,,1,,,"[470.71, 120.98, 1011.89]",Table,['Default']
157467,MainField,F-6,0x18979d0c1c08df35,Enemy_Assassin_Junior,Surface32,Hyrule Field,0,,1,,,"[467.92, 120.98, 1011.09]",Table,['Default']
157475,MainField,F-6,0xd2cd42d81fd49579,Enemy_Assassin_Junior,Surface32,Hyrule Field,0,,1,,,"[467.92, 120.98, 1011.09]",Table,['Default']
157492,MainField,F-6,0x6ec4727990447a73,Enemy_Assassin_Junior,Surface32,Hyrule Field,0,,1,,,"[470.71, 120.98, 1011.89]",Table,['Default']
162437,MainField,F-7,0x90fbe7c65a425bf4,Enemy_Assassin_Junior,Surface29,Popla Foothills,0,,1,,,"[866.27, 123.98, 2912.58]",Table,['Default']
162444,MainField,F-7,0x9ddc16cb918448bb,Enemy_Assassin_Junior,Surface29,Popla Foothills,0,,1,,,"[868.46, 123.98, 2910.68]",Table,['Default']
162452,MainField,F-7,0xfcff44a81a88c552,Enemy_Assassin_Junior,Surface29,Popla Foothills,0,,1,,,"[868.46, 123.98, 2910.68]",Table,['Default']
162469,MainField,F-7,0x3d6d0d1953dc7607,Enemy_Assassin_Junior,Surface29,Popla Foothills,0,,1,,,"[866.27, 123.98, 2912.58]",Table,['Default']
189281,MainField,G-5,0xe80a845f05780aab,Enemy_Assassin_Junior,Surface65,Sahasra Slope,0,,1,,,"[1164.32, 117.02, 261.84]",Table,['Default']
189288,MainField,G-5,0xfbcf62cf9a906ce7,Enemy_Assassin_Junior,Surface65,Sahasra Slope,0,,1,,,"[1163.51, 117.02, 264.62]",Table,['Default']
189296,MainField,G-5,0xd6085303921c984e,Enemy_Assassin_Junior,Surface65,Sahasra Slope,0,,1,,,"[1163.51, 117.02, 264.62]",Table,['Default']
