objid,map_type,map_name,hash_id,name,fieldarea,region,scale,equip,map_static,korok_id,korok_type,pos,drop.type,drop.value
37574,MainField,B-6,0x3f3c2fec9242d4ba,Enemy_Assassin_Middle_Gatekeeper,Surface4,Gerudo Highlands,0,,1,,,"[-3729.49, 433.6, 1395.1]",Table,['Default']
37586,MainField,B-6,0x560abcd7df4318eb,Enemy_Assassin_Middle_Gatekeeper,Surface4,Gerudo Highlands,0,,1,,,"[-3476.53, 441.06, 1315.19]",Table,['Default']
60452,MainField,C-4,0x433b7ea3f89ef381,Enemy_Assassin_Middle,Surface80,Lindor's Brow,0,,1,,,"[-2747.17, 258.06, -252.83]",Table,['Default']
60470,MainField,C-4,0x3b0e6e55c644dc79,Enemy_Assassin_Middle,Surface80,Lindor's Brow,0,,1,,,"[-2745.68, 258.06, -250.34]",Table,['Default']
69312,MainField,C-6,0x7911b39dd93a23b6,Enemy_Assassin_Middle,Surface73,Gerudo Canyon,0,,1,,,"[-2255.09, 256.52, 1810.93]",Table,['Default']
69330,MainField,C-6,0x1106193089b475ed,Enemy_Assassin_Middle,Surface73,Gerudo Canyon,0,,1,,,"[-2255.94, 256.52, 1813.71]",Table,['Default']
81477,MainField,D-2,0xd9d277362cdc7040,Enemy_Assassin_Middle,Surface60,Lindor's Brow,0,,1,,,"[-1084.73, 219.6, -2322.98]",Table,['Default']
81495,MainField,D-2,0x616784e3799a8c38,Enemy_Assassin_Middle,Surface60,Lindor's Brow,0,,1,,,"[-1083.38, 219.6, -2320.41]",Table,['Default']
96301,MainField,D-6,0x422fd249c20d453b,Enemy_Assassin_Middle,Surface32,Hyrule Field,0,,1,,,"[-1405.54, 125.42, 1435.56]",Table,['Default']
96319,MainField,D-6,0x3a62f99ba05778d1,Enemy_Assassin_Middle,Surface32,Hyrule Field,0,,1,,,"[-1405.55, 125.42, 1438.46]",Table,['Default']
128317,MainField,E-7,0x60b1af4f1c167327,Enemy_Assassin_Middle_Gatekeeper,Surface46,Hyrule Field,0,,1,,,"[-793.79, 193.1, 2260.95]",Table,['Default']
157483,MainField,F-6,0x4a2dbbf7804d6a31,Enemy_Assassin_Middle,Surface32,Hyrule Field,0,,1,,,"[467.92, 120.98, 1011.09]",Table,['Default']
157501,MainField,F-6,0x12794d81a20bbee8,Enemy_Assassin_Middle,Surface32,Hyrule Field,0,,1,,,"[470.71, 120.98, 1011.89]",Table,['Default']
162460,MainField,F-7,0xca6f40accf68414b,Enemy_Assassin_Middle,Surface29,Popla Foothills,0,,1,,,"[868.46, 123.98, 2910.68]",Table,['Default']
162478,MainField,F-7,0x93bccb6b6b96e428,Enemy_Assassin_Middle,Surface29,Popla Foothills,0,,1,,,"[866.27, 123.98, 2912.58]",Table,['Default']
189304,MainField,G-5,0xde191abaf2f4034e,Enemy_Assassin_Middle,Surface65,Sahasra Slope,0,,1,,,"[1163.51, 117.02, 264.62]",Table,['Default']
189322,MainField,G-5,0x8eeea6493172f13a,Enemy_Assassin_Middle,Surface65,Sahasra Slope,0,,1,,,"[1164.32, 117.02, 261.84]",Table,['Default']
198670,MainField,G-7,0x1c045f22158a4cc3,Enemy_Assassin_Middle,Surface59,Popla Foothills,0,,1,,,"[1898.83, 330.85, 2924.36]",Table,['Default']
198688,MainField,G-7,0xd5524865d1a1e8a7,Enemy_Assassin_Middle,Surface59,Popla Foothills,0,,1,,,"[1901, 330.85, 2922.44]",Table,['Default']
219384,MainField,H-4,0x9eb8dff05bd3bee1,Enemy_Assassin_Middle,Surface17,Upland Zorana,0,,1,,,"[2623.44, 271.25, -773.2]",Table,['Default']
219402,MainField,H-4,0x4d89ce043b19179b,Enemy_Assassin_Middle,Surface17,Upland Zorana,0,,1,,,"[2621.69, 271.25, -770.89]",Table,['Default']
270176,MainField,J-1,0x679a746356798729,Enemy_Assassin_Middle_Gatekeeper,Surface20,Ulri Mountain,0,,1,,,"[4513.21, 351.47, -3145.47]",Table,['Default']
272570,MainField,J-2,0x214ae57b8db7f3e7,Enemy_Assassin_Middle,Surface20,Ulri Mountain,0,,1,,,"[4283.39, 181.7, -2474.62]",Table,['Default']
272588,MainField,J-2,0x99b6f7cca8a91992,Enemy_Assassin_Middle,Surface20,Ulri Mountain,0,,1,,,"[4286.15, 181.7, -2473.72]",Table,['Default']
539909,MainField,Cave__Cave_HyruleForest_0007_GroupSet_001 ,0xa7cf26afac25a7e7,Enemy_Assassin_Middle_Gatekeeper,Cave60,,0,,1,,,"[-649.62, 251.55, -2114.36]",Table,['Default']
