objid,map_type,map_name,hash_id,name,fieldarea,region,scale,equip,map_static,korok_id,korok_type,pos,drop.type,drop.value
11821,MainField,A-7,0x37c87135da36224e,Enemy_Bokoblin_Armor_Senior,Surface21,Gerudo Canyon,1,,1,,,"[-4248.1, 180.05, 2423.06]",Table,['Default']
37226,MainField,B-6,0x83e7febadd829a4b,Enemy_Bokoblin_Armor_Senior,Surface4,Gerudo Highlands,0,['Weapon_Spear_113'],1,,,"[-3507.36, 457.91, 1784.15]",Table,['Default']
37654,MainField,B-6,0x3747a5daa7e4a9b3,Enemy_Bokoblin_Armor_Senior,Surface0,Gerudo Highlands,0,"['Weapon_Sword_113', 'Weapon_Shield_003']",1,,,"[-3800.92, 607.62, 1243.94]",Table,['Default']
37655,MainField,B-6,0xf139960eea9a7a8f,Enemy_Bokoblin_Armor_Senior,Surface0,Gerudo Highlands,0,"['Weapon_Sword_112', 'Weapon_Shield_003']",1,,,"[-3800.37, 607.58, 1252.04]",Table,['Default']
37656,MainField,B-6,0x5d427f8ac93cc4f2,Enemy_Bokoblin_Armor_Senior,Surface0,Gerudo Highlands,0,"['Weapon_Sword_113', 'Weapon_Shield_002', 'BrokenSnowBallForAttachmentSmall']",1,,,"[-3800.65, 607.59, 1248]",Table,['Default']
37657,MainField,B-6,0xb004e5e6cd08d8ae,Enemy_Bokoblin_Armor_Senior,Surface0,Gerudo Highlands,0,"['Weapon_Sword_113', 'Weapon_Shield_002']",1,,,"[-3801.19, 607.45, 1239.95]",Table,['Default']
37658,MainField,B-6,0xc8ca25a66433720a,Enemy_Bokoblin_Armor_Senior,Surface0,Gerudo Highlands,0,"['Weapon_Sword_112', 'Weapon_Shield_002', 'BokoblinBasket_Item_Fruit_B']",1,,,"[-3801.51, 607.07, 1236.04]",Table,['Default']
37685,MainField,B-6,0x0651d9e600753bb3,Enemy_Bokoblin_Armor_Senior,Surface106,Gerudo Highlands,0,,1,,,"[-3889.26, 360.61, 1892.52]",Table,['Default']
76294,MainField,C-8,0xbe2ba0a3da0580e6,Enemy_Bokoblin_Armor_Senior,Surface21,Gerudo Canyon,0,,1,,,"[-2806.5, 118.86, 3786.5]",Table,['Default']
120321,MainField,E-6,0x5a61106291af552e,Enemy_Bokoblin_Armor_Senior,Surface46,Hyrule Field,0,"['Weapon_Spear_108', 'Item_Mushroom_E']",0,,,"[-737.5, 201.96, 1865]",Table,['Default']
125433,MainField,E-6,0xd85221c57f7aa87b,Enemy_Bokoblin_Armor_Senior,Surface46,Hyrule Field,0,['Weapon_Lsword_108'],1,,,"[-679.07, 172.29, 1700.87]",Table,['Default']
198708,MainField,G-7,0x4c690b1bf1efb7b8,Enemy_Bokoblin_Armor_Senior,Surface104,Popla Foothills,0,,1,,,"[1521.36, 307.96, 2591.37]",Table,['Default']
232471,MainField,H-7,0x2d2b2aab1dc93aee,Enemy_Bokoblin_Armor_Senior,Surface104,Rabella Wetlands,1,,1,,,"[2022.46, 413.65, 2737.15]",Table,['Default']
234949,MainField,H-8,0xdbb102ec2ad2a4f3,Enemy_Bokoblin_Armor_Senior,Surface61,Rabella Wetlands,0,"['Weapon_Sword_108', 'BokoblinBasket_Apple']",0,,,"[2419.43, 254.36, 3607.59]",Table,['Default']
239020,MainField,I-1,0xc1c952a7daff9aaf,Enemy_Bokoblin_Armor_Senior,Surface20,Ulri Mountain,0,"['Weapon_Lsword_108', 'AsbObj_SharpRock_A_S_01']",0,,,"[3668.16, 165.27, -3103.41]",Table,['Default']
240083,MainField,I-1,0x7acb7121e1b12804,Enemy_Bokoblin_Armor_Senior,Surface22,Ulri Mountain,0,,1,,,"[3200.86, 82.92, -3482.85]",Table,['Default']
247271,MainField,I-3,0xfbd22e7059fbe43d,Enemy_Bokoblin_Armor_Senior,Surface2,Upland Zorana,1,"['Weapon_Spear_108', 'DgnObj_SpikeBall_A']",1,,,"[3684.61, 336.21, -1061.57]",Table,['Default']
269589,MainField,J-1,0xdb8cee17b7954b11,Enemy_Bokoblin_Armor_Senior,Surface20,Ulri Mountain,0,"['Weapon_Lsword_108', 'Item_Mushroom_E']",0,,,"[4190.5, 296.97, -3030]",Table,['Default']
269595,MainField,J-1,0xfbc72151aa419e00,Enemy_Bokoblin_Armor_Senior,Surface20,Ulri Mountain,1,"['Weapon_Sword_108', 'Weapon_Shield_006']",0,,,"[4165.66, 337.18, -3131.84]",Table,['Default']
276709,MainField,J-4,0x034319e61004a785,Enemy_Bokoblin_Armor_Senior,Surface85,Upland Zorana,1,"['Weapon_Sword_109', 'Weapon_Shield_006']",1,,,"[4175.1, 437.09, -73.33]",Table,['Default']
287315,MinusField,A-5,0x63a71ecd523d6ec7,Enemy_Bokoblin_Armor_Senior,Depths27,,1,"['Weapon_Sword_113', 'Weapon_Shield_003']",0,,,"[-4200.49, -411.45, -38.39]",Table,['Minus']
290221,MinusField,A-6,0xfba982192b6f8804,Enemy_Bokoblin_Armor_Senior,Depths4,,0,"['Weapon_Sword_113', 'Weapon_Shield_003']",0,,,"[-4797, -491.07, 1804.84]",Table,['Minus']
