objid,map_type,map_name,hash_id,name,fieldarea,region,scale,equip,map_static,korok_id,korok_type,pos,drop.type,drop.value
20896,MainField,B-2,0x09830008a343cdb0,Enemy_Bokoblin_Boss_Junior,Surface3,Rospro Pass,0,"['Weapon_Lsword_106', 'AsbObj_RockParts_C_S_01']",1,,,"[-3110.93, 582.23, -2603.71]",Table,['Default']
20907,MainField,B-2,0x96ade5ea3f15358f,Enemy_Bokoblin_Boss_Junior,Surface3,Rospro Pass,1,['Weapon_Spear_132'],1,,,"[-3439.44, 520.51, -2642.03]",Table,['Default']
21259,MainField,B-2,0x365be2e6c35cf31d,Enemy_Bokoblin_Boss_Junior,Surface3,Rospro Pass,1,['Weapon_Lsword_112'],1,,,"[-3107.45, 479.95, -2892.83]",Table,['Default']
56610,MainField,C-3,0x24ef8984ee51c396,Enemy_Bokoblin_Boss_Junior,Surface42,Lindor's Brow,1,['Weapon_Lsword_112'],1,,,"[-2961.93, 355.86, -1561.78]",Table,['Default']
58827,MainField,C-4,0x5a558eae30c644c3,Enemy_Bokoblin_Boss_Junior,Surface63,Lindor's Brow,1,"['Weapon_Lsword_103', 'DgnObj_SpikeBall_A']",0,,,"[-2662.06, 295.52, -106.7]",Table,['Default']
60395,MainField,C-4,0x2351bb9f6040d9d0,Enemy_Bokoblin_Boss_Junior,Surface63,Lindor's Brow,0,['Weapon_Lsword_112'],1,,,"[-2350.68, 260.42, -415.92]",Table,['Default']
85300,MainField,D-3,0x3fbebd580f754920,Enemy_Bokoblin_Boss_Junior,Surface26,Lindor's Brow,0,['Weapon_Lsword_112'],1,,,"[-1272.89, 207.67, -1046.79]",Table,['Default']
85306,MainField,D-3,0x5e18cb20fb9a9363,Enemy_Bokoblin_Boss_Junior,Surface26,Lindor's Brow,0,"['Weapon_Lsword_112', 'AsbObj_SharpRock_A_S_01']",1,,,"[-1697.26, 211.94, -1765.66]",Table,['Default']
88725,MainField,D-4,0x54a5223db1f42b51,Enemy_Bokoblin_Boss_Junior,Surface12,Lindor's Brow,0,['Weapon_Lsword_112'],1,,,"[-1210.87, 169.04, -230.35]",Table,['Default']
118891,MainField,E-5,0xc7b8c77ce84c17a2,Enemy_Bokoblin_Boss_Junior,Surface6,Lookout Landing,0,['Weapon_Lsword_106'],1,,,"[-23.31, 123.84, 57.1]",Table,['Default']
119029,MainField,E-5,0xa1810735fd80ba72,Enemy_Bokoblin_Boss_Junior,Surface6,Hyrule Field,0,"['Weapon_Lsword_106', 'Item_Mushroom_E']",1,,,"[-985.91, 131.7, 800.54]",Table,['Default']
119354,MainField,E-5,0x891667b9fc4dfbf2,Enemy_Bokoblin_Boss_Junior,Surface6,Lookout Landing,1,['Weapon_Lsword_112'],1,,,"[-923.69, 194.5, 56.32]",Table,['Default']
137287,MainField,F-2,0x5950b10eb10b583f,Enemy_Bokoblin_Boss_Junior,Surface89,Thyphlo Ruins,1,"['Weapon_Lsword_106', 'AsbObj_SpikeDynamic_A_01']",0,,,"[914.21, 333.19, -2904.71]",Table,['Default']
157659,MainField,F-6,0xf9d9804fc2f4d39d,Enemy_Bokoblin_Boss_Junior,Surface1,Popla Foothills,1,['Weapon_Lsword_112'],1,,,"[877.45, 119.01, 1680.86]",Table,['Default']
170185,MainField,G-1,0x3d8aa5f4040846fb,Enemy_Bokoblin_Boss_Junior,Surface7,Thyphlo Ruins,0,"['Weapon_Lsword_106', 'RockBall']",1,,,"[1141.4, 389.28, -3381.75]",Table,['Default']
185442,MainField,G-4,0x171412ee67482cd3,Enemy_Bokoblin_Boss_Junior,Surface17,Eldin Canyon,1,['Weapon_Lsword_112'],1,,,"[1692.57, 129.9, -780.96]",Table,['Default']
189089,MainField,G-5,0xc04fadddd89379c4,Enemy_Bokoblin_Boss_Junior,Surface65,Sahasra Slope,0,"['Weapon_Lsword_112', 'Item_Mushroom_A']",1,,,"[1403.28, 116.18, 158.69]",Table,['Default']
538032,MainField,Cave__Cave_Hebra_0019_GroupSet_000 ,0xde3c0e6906df8320,Enemy_Bokoblin_Boss_Junior,Cave3,,1,['Weapon_Lsword_112'],1,,,"[-2591.64, 357.5, -3220.36]",Table,['Default']
388124,MinusField,E-5,0x144053540fed14cc,Enemy_Bokoblin_Boss_Junior,Depths106,,0,['Weapon_Sword_106'],1,,,"[-182.55, -366.73, 37.18]",Table,['Minus']
409266,MinusField,F-4,0x99b76ef602b06132,Enemy_Bokoblin_Boss_Junior,Depths76,,0,['Weapon_Sword_106'],1,,,"[78.33, -373.95, -371.74]",Table,['Minus']
