objid,map_type,map_name,hash_id,name,fieldarea,region,scale,equip,map_static,korok_id,korok_type,pos,drop.type,drop.value
32799,MainField,B-5,0x5b7f07117099aa6f,Enemy_Bokoblin_Boss_Senior,Surface0,Gerudo Highlands,1,['Weapon_Lsword_129'],1,,,"[-3574.61, 710.39, 789.75]",Table,['Default']
32813,MainField,B-5,0xfccd875d88de9243,Enemy_Bokoblin_Boss_Senior,Surface0,Gerudo Highlands,0,['Weapon_Lsword_109'],1,,,"[-3972.17, 545.23, 393.45]",Table,['Default']
37653,MainField,B-6,0x3730ff8844273faf,Enemy_Bokoblin_Boss_Senior,Surface0,Gerudo Highlands,0,['Weapon_Lsword_129'],1,,,"[-3799.99, 607.4, 1256.53]",Table,['Default']
113219,MainField,E-4,0x030caa68651cfb58,Enemy_Bokoblin_Boss_Senior,Surface79,Lookout Landing,0,['Weapon_Lsword_113'],1,,,"[-444.63, 118.35, -904.11]",Table,['Default']
125027,MainField,E-6,0x141e59f5c385e60d,Enemy_Bokoblin_Boss_Senior,Surface32,Hyrule Field,0,['Weapon_Lsword_124'],1,,,"[-883.06, 140.45, 1340.05]",Table,['Default']
125423,MainField,E-6,0x93226dd8f78332db,Enemy_Bokoblin_Boss_Senior,Surface46,Hyrule Field,0,"['Weapon_Lsword_124', 'AsbObj_RockParts_C_S_01']",1,,,"[-637.82, 170.67, 1879.32]",Table,['Default']
128506,MainField,E-7,0xb9dd8dc624f41b14,Enemy_Bokoblin_Boss_Senior,Surface46,Hyrule Field,1,['Weapon_Lsword_124'],1,,,"[-898.24, 179.44, 2221.19]",Table,['Default']
198380,MainField,G-7,0xf0d0a4895a8abea9,Enemy_Bokoblin_Boss_Senior,Surface104,Popla Foothills,0,"['Weapon_Lsword_113', 'Item_Mushroom_J']",1,,,"[1742, 285.69, 2443.04]",Table,['Default']
232857,MainField,H-7,0x274562cbea11e719,Enemy_Bokoblin_Boss_Senior,Surface61,Rabella Wetlands,1,"['Weapon_Lsword_109', 'Item_Mushroom_J']",1,,,"[2259.99, 284.5, 2920.49]",Table,['Default']
236320,MainField,H-8,0xebd476791b37265c,Enemy_Bokoblin_Boss_Senior,Surface62,Rabella Wetlands,1,['Weapon_Lsword_109'],1,,,"[2097, 200.41, 3540.5]",Table,['Default']
236526,MainField,H-8,0x5538d0ea755d1fad,Enemy_Bokoblin_Boss_Senior,Surface58,Rabella Wetlands,1,['Weapon_Lsword_113'],1,,,"[2939.04, 113.54, 3525.13]",Table,['Default']
240032,MainField,I-1,0xe539c130d7fd094b,Enemy_Bokoblin_Boss_Senior,Surface20,Ulri Mountain,1,['Weapon_Lsword_109'],1,,,"[3889.91, 253.13, -3327.27]",Table,['Default']
259823,MainField,I-6,0xf3065a5d7962e6a1,Enemy_Bokoblin_Boss_Senior,Surface38,Mount Lanayru,0,['Weapon_Lsword_124'],1,,,"[3924.89, 327.18, 1889.25]",Table,['Default']
259943,MainField,I-6,0x7fca3500a4d49214,Enemy_Bokoblin_Boss_Senior,Surface38,Mount Lanayru,0,['Weapon_Lsword_113'],1,,,"[3872.52, 411.83, 1022.73]",Table,['Default']
265381,MainField,I-7,0x0280b48853a79b6a,Enemy_Bokoblin_Boss_Senior,Surface78,Mount Lanayru,1,"['Weapon_Lsword_109', 'AsbObj_RockParts_C_S_01']",1,,,"[3330.39, 109.51, 2982.89]",Table,['Default']
268263,MainField,I-8,0x98982b808b33c871,Enemy_Bokoblin_Boss_Senior,Surface62,Rabella Wetlands,1,"['Weapon_Lsword_124', 'AsbObj_RockParts_C_S_01']",1,,,"[3792.61, 106.61, 3691.82]",Table,['Default']
536731,MainField,Cave__Cave_HateruEast_0013_GroupSet_000 ,0xb6861032c5c792e1,Enemy_Bokoblin_Boss_Senior,Cave28,,1,['Weapon_Sword_124'],1,,,"[4688.67, 113.49, 3744.72]",Table,['Default']
542338,MainField,Cave__Cave_LanayruMountain_0010_GroupSet_000 ,0xee26211805706986,Enemy_Bokoblin_Boss_Senior,Cave38,,1,['Weapon_Lsword_113'],1,,,"[3364.97, 162.76, 1257.84]",Table,['Default']
543008,MainField,Cave__Cave_LanayruMountain_0016_GroupSet_000 ,0x200ea65a5f7a24c4,Enemy_Bokoblin_Boss_Senior,Cave38,,1,"['Weapon_Lsword_112', 'AsbObj_SharpRock_A_S_01']",1,,,"[4193.49, 288.89, 1778.7]",Table,['Default']
550784,MainField,Castle__Set_HyruleCastle_IslandGround_A ,0x4cd98fb630d4cb5d,Enemy_Bokoblin_Boss_Senior,Surface79,Lookout Landing,0,['Weapon_Lsword_108'],1,,,"[-162.15, 388.81, -871.05]",Table,['Default']
305830,MinusField,B-3,0x3314fb2b5a296dae,Enemy_Bokoblin_Boss_Senior,Depths42,,1,['Weapon_Sword_113'],1,,,"[-3166.42, -504.53, -1921.09]",Table,['Minus']
312638,MinusField,B-5,0x0c616a7ef32986e6,Enemy_Bokoblin_Boss_Senior,Depths27,,1,['Weapon_Sword_113'],1,,,"[-3722.02, -399.02, -26.61]",Table,['Minus']
312655,MinusField,B-5,0x969d8545f4fb1467,Enemy_Bokoblin_Boss_Senior,Depths4,,1,['Weapon_Sword_113'],1,,,"[-3374.56, -678.53, 595.24]",Table,['Minus']
316414,MinusField,B-6,0x96c00cf92526b7ca,Enemy_Bokoblin_Boss_Senior,Depths4,,1,['Weapon_Sword_113'],1,,,"[-3886.1, -709.83, 1487.79]",Table,['Minus']
316435,MinusField,B-6,0xf3e6682b0106c61b,Enemy_Bokoblin_Boss_Senior,Depths4,,0,['Weapon_Sword_113'],1,,,"[-3616.13, -508.86, 1998.06]",Table,['Minus']
331265,MinusField,C-3,0x5109d85b34615863,Enemy_Bokoblin_Boss_Senior,Depths42,,0,['Weapon_Sword_113'],1,,,"[-2964.63, -540.57, -1677.68]",Table,['Minus']
334617,MinusField,C-4,0x27ca37ff12983415,Enemy_Bokoblin_Boss_Senior,Depths63,,0,['Weapon_Sword_113'],1,,,"[-2832.01, -512.93, -511.79]",Table,['Minus']
340992,MinusField,C-6,0xa5a73cb54afa272d,Enemy_Bokoblin_Boss_Senior,Depths4,,0,['Weapon_Sword_112'],1,,,"[-2078.62, -590.05, 1511.06]",Table,['Minus']
349555,MinusField,D-1,0x69e45ab385498e56,Enemy_Bokoblin_Boss_Senior,Depths98,,1,['Weapon_Sword_112'],1,,,"[-1882.83, -576.94, -3427.68]",Table,['Minus']
349566,MinusField,D-1,0xd0fb2bb838e2da23,Enemy_Bokoblin_Boss_Senior,Depths5,,0,['Weapon_Sword_112'],1,,,"[-1898.74, -589.24, -3017.27]",Table,['Minus']
383231,MinusField,E-4,0x488e6ccf2c5a8ecc,Enemy_Bokoblin_Boss_Senior_NoOrder,Depths79,,0,['Weapon_Sword_124'],1,,,"[-249.22, -2366.88, -771.27]",Table,['Enemy_Bokoblin_Boss_Senior_LastBattle']
403359,MinusField,F-2,0xa8d73bb615412adb,Enemy_Bokoblin_Boss_Senior,Depths8,,0,['Weapon_Sword_112'],1,,,"[321.81, -518.07, -2637.16]",Table,['Minus']
403388,MinusField,F-2,0x8f207ac12a5b0f10,Enemy_Bokoblin_Boss_Senior,Depths8,,1,['Weapon_Sword_113'],1,,,"[364.89, -533.04, -2356.06]",Table,['Minus']
419745,MinusField,F-7,0x9cec57a455f9aa7a,Enemy_Bokoblin_Boss_Senior,Depths49,,1,['Weapon_Lsword_114'],1,,,"[710.78, -448.25, 2189.13]",Table,['Minus']
423705,MinusField,F-8,0xb97dab47448ab36e,Enemy_Bokoblin_Boss_Senior,Depths90,,1,['Weapon_Sword_113'],1,,,"[185.71, -348.64, 3854.43]",Table,['Minus']
423716,MinusField,F-8,0x53f61920e2f0268d,Enemy_Bokoblin_Boss_Senior,Depths36,,0,['Weapon_Sword_112'],1,,,"[475.63, -394.64, 3351.28]",Table,['Minus']
437512,MinusField,G-6,0x79042a82f3787869,Enemy_Bokoblin_Boss_Senior,Depths1,,0,['Weapon_Sword_112'],1,,,"[1324.52, -540.45, 1550.66]",Table,['Minus']
461538,MinusField,H-7,0xf68bfc4e49f20ee7,Enemy_Bokoblin_Boss_Senior,Depths61,,0,['Weapon_Sword_112'],1,,,"[2073.27, -594.72, 2983.58]",Table,['Minus']
461549,MinusField,H-7,0x10a05cdcab286a98,Enemy_Bokoblin_Boss_Senior,Depths61,,1,['Weapon_Sword_113'],1,,,"[2325.22, -556.05, 2793.19]",Table,['Minus']
479163,MinusField,I-5,0xf1301d6814589577,Enemy_Bokoblin_Boss_Senior,Depths38,,1,['Weapon_Sword_113'],1,,,"[3873.19, -641.43, 972.52]",Table,['Minus']
487872,MinusField,J-1,0xa77a08640cf87d55,Enemy_Bokoblin_Boss_Senior,Depths54,,1,['Weapon_Sword_113'],1,,,"[4689.02, -349, -3182.02]",Table,['Minus']
