objid,map_type,map_name,hash_id,name,fieldarea,region,scale,equip,map_static,korok_id,korok_type,pos,drop.type,drop.value
21194,MainField,B-2,0xe9c61ea8c131e739,Enemy_Bokoblin_Dark,Surface3,Rospro Pass,0,['Weapon_Lsword_020'],1,,,"[-3028.61, 646.52, -2752.34]",Table,['Default']
283260,MinusField,A-1,0x50a08f84ad6c9e6c,Enemy_Bokoblin_Dark,Depths39,,0,"['Weapon_Sword_108', 'AsbObj_RockParts_C_S_01', 'BokoblinBasket_Item_Ore_L']",1,,,"[-4162.45, -744.43, -3586.56]",Table,['Minus']
283271,MinusField,A-1,0x2e9f15a077763fa4,Enemy_Bokoblin_Dark,Depths3,,0,"['Weapon_Sword_108', 'AsbObj_RockParts_C_S_01', 'BokoblinBasket_Item_Ore_L']",1,,,"[-4614.94, -570.28, -3280.84]",Table,['Minus']
284755,MinusField,A-2,0x2e28729202d500a5,Enemy_Bokoblin_Dark,Depths3,,0,"['Weapon_Sword_108', 'AsbObj_RockParts_C_S_01', 'BokoblinBasket_Item_Ore_L']",1,,,"[-3925.46, -660.42, -3173.71]",Table,['Minus']
284766,MinusField,A-2,0x1f978acac9393c1c,Enemy_Bokoblin_Dark,Depths3,,0,"['Weapon_Sword_108', 'AsbObj_RockParts_C_S_01', 'BokoblinBasket_Item_Ore_L']",1,,,"[-4022.38, -411.2, -2858.7]",Table,['Minus']
284777,MinusField,A-2,0x8cdca8b694ae9a67,Enemy_Bokoblin_Dark,Depths3,,0,"['Weapon_Sword_108', 'AsbObj_RockParts_C_S_01', 'BokoblinBasket_Item_Ore_L']",1,,,"[-4538.9, -456.06, -2412.19]",Table,['Minus']
288484,MinusField,A-5,0x37f2753df7a1e64f,Enemy_Bokoblin_Dark,Depths0,,1,"['Weapon_Sword_108', 'AsbObj_RockParts_C_S_01']",1,,,"[-4210.21, -802.31, 453.23]",Table,['Minus']
288495,MinusField,A-5,0x36a2028c69015151,Enemy_Bokoblin_Dark,Depths0,,0,"['Weapon_Sword_108', 'AsbObj_RockParts_C_S_01', 'BokoblinBasket_Item_Ore_L']",1,,,"[-4215.85, -796.31, 412.73]",Table,['Minus']
288552,MinusField,A-5,0x0898ba3627c305c8,Enemy_Bokoblin_Dark,Depths0,,0,"['Weapon_Sword_108', 'AsbObj_RockParts_C_S_01', 'BokoblinBasket_Item_Ore_L']",1,,,"[-4629.33, -966.02, 313.57]",Table,['Minus']
288563,MinusField,A-5,0x8b4ce84297149b06,Enemy_Bokoblin_Dark,Depths0,,0,"['Weapon_Sword_108', 'AsbObj_RockParts_C_S_01', 'BokoblinBasket_Item_Ore_L']",1,,,"[-4545.68, -845.5, 744.05]",Table,['Minus']
288574,MinusField,A-5,0x5c902f00d3fd3fd5,Enemy_Bokoblin_Dark,Depths0,,0,"['Weapon_Sword_108', 'AsbObj_RockParts_C_S_01', 'BokoblinBasket_Item_Ore_L']",1,,,"[-4472.08, -898.29, 404.85]",Table,['Minus']
288585,MinusField,A-5,0xb5a9a1e30e9e3ed8,Enemy_Bokoblin_Dark,Depths0,,0,"['Weapon_Sword_108', 'AsbObj_RockParts_C_S_01', 'BokoblinBasket_Item_Ore_L']",1,,,"[-4374.14, -857.65, 635.26]",Table,['Minus']
