objid,map_type,map_name,hash_id,name,fieldarea,region,scale,equip,map_static,korok_id,korok_type,pos,drop.type,drop.value
4534,MainField,A-3,0x04a86dd745d5c6fa,Enemy_Bokoblin_Guard_Junior_Cliff,Surface42,Rospro Pass,0,['Weapon_Bow_004'],1,,,"[-4386.14, 219.01, -1939.15]",Table,['Arrow']
4536,MainField,A-3,0x98790531aba942ca,Enemy_Bokoblin_Guard_Junior,Surface42,Rospro Pass,0,"['Weapon_Bow_004', 'BokoblinPipe']",1,,,"[-4392.91, 224.66, -1937.05]",Table,['Arrow']
4539,MainField,A-3,0x70a0de32a7d91f01,Enemy_Bokoblin_Guard_Junior_Cliff,Surface42,Rospro Pass,0,['Weapon_Bow_004'],1,,,"[-4395.8, 220.96, -1938.66]",Table,['Arrow']
4581,MainField,A-3,0xbca9af14ed9e0a76,Enemy_Bokoblin_Guard_Junior,Surface3,Rospro Pass,0,"['Weapon_Bow_004', 'BokoblinPipe']",1,,,"[-4012.58, 364.04, -1968.27]",Table,['Arrow']
9320,MainField,A-6,0xf8da1b126496502d,Enemy_Bokoblin_Guard_Junior_Golem_Fort,Surface4,Gerudo Highlands,0,['BokoblinBasket_FireFruit'],1,,,"[-3980.92, 423.73, 1704.63]",Table,['Default']
9321,MainField,A-6,0x7c6ed3313ea01074,Enemy_Bokoblin_Guard_Junior_Golem_Fort,Surface4,Gerudo Highlands,0,['Weapon_Bow_004'],1,,,"[-3989.25, 424.64, 1695.77]",Table,['Default']
9323,MainField,A-6,0xbaefd7ef17f75f58,Enemy_Bokoblin_Guard_Junior_Golem_Fort,Surface4,Gerudo Highlands,0,['Weapon_Bow_003'],1,,,"[-3986.5, 429.34, 1702.77]",Table,['Default']
21228,MainField,B-2,0x97b7603988ce9eaf,Enemy_Bokoblin_Guard_Junior,Surface3,Rospro Pass,0,"['BokoblinPipe', 'BokoblinBasket_Ice']",1,,,"[-3247.47, 491.52, -2401.92]",Table,['Default']
21233,MainField,B-2,0xc0b58a5a47d7076f,Enemy_Bokoblin_Guard_Junior_Ambush,Surface3,Rospro Pass,0,['Weapon_Sword_103'],1,,,"[-3221.27, 548.6, -2963.82]",Table,['Default']
21266,MainField,B-2,0x6d57c5400a38707d,Enemy_Bokoblin_Guard_Junior,Surface3,Rospro Pass,0,"['Weapon_Bow_004', 'BokoblinPipe']",1,,,"[-3489.5, 285, -2080]",Table,['Arrow']
24132,MainField,B-3,0xea7ac0d05857c91e,Enemy_Bokoblin_Guard_Junior,Surface42,Lindor's Brow,0,"['Weapon_Bow_004', 'BokoblinPipe']",0,,,"[-3178.21, 329.11, -1082.93]",Table,['Arrow']
25591,MainField,B-3,0x7880a8fa97c15a93,Enemy_Bokoblin_Guard_Junior_Cliff,Surface42,Lindor's Brow,0,"['Weapon_Sword_103', 'Item_PlantGet_U']",1,,,"[-3111.16, 265.79, -1290.84]",Table,['Default']
25593,MainField,B-3,0xe46bc3bfabc0c079,Enemy_Bokoblin_Guard_Junior_Cliff,Surface42,Lindor's Brow,0,['Weapon_Bow_004'],1,,,"[-3103.66, 263.84, -1293.19]",Table,['Arrow']
25594,MainField,B-3,0x5dcfa55ba38d5602,Enemy_Bokoblin_Guard_Junior,Surface42,Lindor's Brow,0,"['Weapon_Bow_004', 'BokoblinPipe']",1,,,"[-3108.42, 269.49, -1288.99]",Table,['Arrow']
27599,MainField,B-4,0x0829a2fc5aa5c33b,Enemy_Bokoblin_Guard_Junior,Surface42,Lindor's Brow,0,"['Weapon_Bow_004', 'BokoblinPipe']",0,,,"[-3267.91, 261.75, -978.43]",Table,['Arrow']
27621,MainField,B-4,0x59c4ed6c58c512a9,Enemy_Bokoblin_Guard_Junior,Surface42,Lindor's Brow,0,"['Weapon_Bow_004', 'BokoblinPipe', 'ElectricalFruit', 'BokoblinBasket_ElectricalFruit']",0,,,"[-3921.75, 306.06, -425.02]",Table,['Thunder']
27627,MainField,B-4,0x8eaf340003db81a0,Enemy_Bokoblin_Guard_Junior,Surface42,Lindor's Brow,0,"['BokoblinPipe', 'ElectricalFruit', 'BokoblinBasket_ElectricalFruit']",0,,,"[-3625.52, 300.12, -860.02]",Table,['Default']
27628,MainField,B-4,0x383ba7a7daec1156,Enemy_Bokoblin_Guard_Junior,Surface42,Lindor's Brow,0,"['Weapon_Bow_004', 'BokoblinPipe']",0,,,"[-3632.87, 298.62, -872.83]",Table,['Arrow']
28929,MainField,B-4,0x37f4ef03ab43ea2a,Enemy_Bokoblin_Guard_Junior,Surface27,Gerudo Highlands,0,"['Weapon_Bow_004', 'BokoblinPipe']",1,,,"[-3933, 165.5, -67]",Table,['Arrow']
28954,MainField,B-4,0xa997d818c7cfda76,Enemy_Bokoblin_Guard_Junior,Surface27,Gerudo Highlands,0,"['Weapon_Bow_004', 'BokoblinPipe']",1,,,"[-3935, 163, -102]",Table,['Arrow']
29228,MainField,B-4,0x0a00818f92daf90f,Enemy_Bokoblin_Guard_Junior,Surface42,Lindor's Brow,0,"['Weapon_Bow_004', 'BokoblinPipe']",1,,,"[-3592.82, 280.61, -652.86]",Table,['Arrow']
52790,MainField,C-2,0xb7878dd8825200b8,Enemy_Bokoblin_Guard_Junior,Surface48,Pikida Stonegrove,0,"['Weapon_Bow_004', 'BokoblinPipe']",1,,,"[-2798, 423.39, -2035.76]",Table,['Arrow']
52817,MainField,C-2,0x8883cead1b80c95c,Enemy_Bokoblin_Guard_Junior,Surface48,Pikida Stonegrove,0,"['Weapon_Bow_004', 'BokoblinPipe']",1,,,"[-2791.93, 422.6, -2017.7]",Table,['Arrow']
52842,MainField,C-2,0x7ca6c883f8a7d704,Enemy_Bokoblin_Guard_Junior,Surface3,Rospro Pass,0,"['Weapon_Bow_004', 'BokoblinPipe']",1,,,"[-2846.68, 671.13, -2894.77]",Table,['Arrow']
56575,MainField,C-3,0x0e559dab1dc5704a,Enemy_Bokoblin_Guard_Junior,Surface81,Lindor's Brow,0,"['Weapon_Bow_004', 'BokoblinPipe']",1,,,"[-2130.68, 342.04, -1203.13]",Table,['Arrow']
56604,MainField,C-3,0x3a7fba135c4c1187,Enemy_Bokoblin_Guard_Junior,Surface42,Lindor's Brow,0,"['Weapon_Bow_004', 'BokoblinPipe']",1,,,"[-2958.23, 363.57, -1578.91]",Table,['Arrow']
58826,MainField,C-4,0xd3295c322883f3b0,Enemy_Bokoblin_Guard_Junior_TreeHouseTop,Surface63,Lindor's Brow,0,"['Weapon_Bow_004', 'BokoblinPipe']",0,,,"[-2683.32, 311.66, -107]",Table,['Arrow']
59042,MainField,C-4,0x7f4f1379e2d7af85,Enemy_Bokoblin_Guard_Junior,Surface80,Lindor's Brow,0,"['Weapon_Bow_004', 'BokoblinPipe']",0,,,"[-2844.5, 337.09, -394.23]",Table,['Arrow']
65128,MainField,C-5,0xdb2a7a5267e9ad1f,Enemy_Bokoblin_Guard_Junior_Golem_Fort,Surface80,Lindor's Brow,0,['BokoblinBasket_FireFruit'],1,,,"[-2553.41, 242.12, 116.95]",Table,['Default']
65129,MainField,C-5,0x4d56315383f4cafa,Enemy_Bokoblin_Guard_Junior_Golem_Fort,Surface80,Lindor's Brow,0,['Weapon_Bow_004'],1,,,"[-2542.39, 243.03, 111.79]",Table,['Default']
65131,MainField,C-5,0x17a73055b4b8f612,Enemy_Bokoblin_Guard_Junior_Golem_Fort,Surface80,Lindor's Brow,0,['Weapon_Bow_003'],1,,,"[-2549.9, 247.74, 112.22]",Table,['Default']
65191,MainField,C-5,0x43859af48df8fe89,Enemy_Bokoblin_Guard_Junior,Surface80,Gerudo Highlands,0,"['Weapon_Bow_004', 'BokoblinPipe']",1,,,"[-2931.66, 175.34, 290.23]",Table,['Arrow']
65193,MainField,C-5,0x4a669d0d32c13567,Enemy_Bokoblin_Guard_Junior,Surface80,Gerudo Highlands,0,"['Weapon_Bow_004', 'BokoblinPipe']",1,,,"[-2926.96, 175.15, 292.43]",Table,['Arrow']
79138,MainField,D-2,0x32ae4bb60e2b36f5,Enemy_Bokoblin_Guard_Junior,Surface60,Lindor's Brow,0,"['Weapon_Bow_004', 'BokoblinPipe']",0,,,"[-1016.18, 234.82, -2455.83]",Table,['Arrow']
81508,MainField,D-2,0x794ed965bc0f35bd,Enemy_Bokoblin_Guard_Junior_Ambush,Surface5,Pikida Stonegrove,0,['Weapon_Sword_103'],1,,,"[-1818.06, 355.87, -2241.65]",Table,['Default']
83820,MainField,D-3,0xe5a767a62f44fbff,Enemy_Bokoblin_Guard_Junior,Surface60,Lindor's Brow,0,"['Weapon_Bow_004', 'BokoblinPipe']",0,,,"[-1094.86, 214.81, -1789.98]",Table,['Arrow']
83849,MainField,D-3,0xc6f4b84394d28cf7,Enemy_Bokoblin_Guard_Junior,Surface26,Lindor's Brow,0,"['Weapon_Bow_004', 'BokoblinPipe']",0,,,"[-1099.38, 229.53, -1651.37]",Table,['Arrow']
85228,MainField,D-3,0x98262b662b5142b3,Enemy_Bokoblin_Guard_Junior,Surface26,Lindor's Brow,0,"['Weapon_Bow_004', 'BokoblinPipe']",1,,,"[-1503, 279, -1464]",Table,['Arrow']
85269,MainField,D-3,0x3d0ce190a874eaaa,Enemy_Bokoblin_Guard_Junior,Surface81,Lindor's Brow,0,"['Weapon_Bow_004', 'BokoblinPipe']",1,,,"[-1412.37, 243.8, -1277.24]",Table,['Arrow']
85270,MainField,D-3,0x6fff257dc0fac5af,Enemy_Bokoblin_Guard_Junior,Surface81,Lindor's Brow,0,['BokoblinPipe'],1,,,"[-1417.81, 243.84, -1279.2]",Table,['Default']
85480,MainField,D-3,0xd8a8125d090cbf70,Enemy_Bokoblin_Guard_Junior,Surface26,Lindor's Brow,0,"['Weapon_Bow_004', 'BokoblinPipe']",1,,,"[-1448.91, 250.28, -1026.7]",Table,['Arrow']
