objid,map_type,map_name,hash_id,name,fieldarea,region,scale,equip,map_static,korok_id,korok_type,pos,drop.type,drop.value
1202,MainField,A-1,0x481ac79763c6d19b,Enemy_Bokoblin_Junior,Surface3,Rospro Pass,1,"['Weapon_Bow_004', 'IceFruit', 'BokoblinBasket_IceFruit']",1,,,"[-4124.97, 191.26, -3055.16]",Table,['Ice']
4585,MainField,A-3,0x74b21abb16a89dc4,Enemy_Bokoblin_Junior,Surface3,Rospro Pass,0,,1,,,"[-3999.27, 359.77, -1988.47]",Table,['Default']
4587,MainField,A-3,0x4cd752b79ee6f3ba,Enemy_Bokoblin_Junior,Surface3,Rospro Pass,0,,1,,,"[-4004.24, 359.64, -1989.69]",Table,['Default']
14309,MainField,B-1,0xe086adb11c9d2d1d,Enemy_Bokoblin_Junior,Surface3,Rospro Pass,0,['Weapon_Sword_103'],0,,,"[-3860.2, 409.03, -3052.36]",Table,['Default']
14310,MainField,B-1,0xf7ae3213e0c0c1ab,Enemy_Bokoblin_Junior,Surface3,Rospro Pass,0,"['Weapon_Spear_103', 'BrokenSnowBallForAttachmentSmall']",0,,,"[-3855.48, 410.05, -3052.15]",Table,['Default']
16491,MainField,B-1,0xcd68bfe5d0fe2290,Enemy_Bokoblin_Junior,Surface3,Rospro Pass,0,['Weapon_Bow_004'],1,,,"[-3825.67, 389.56, -3392]",Table,['Arrow']
16492,MainField,B-1,0xce41b6bf33b97d2f,Enemy_Bokoblin_Junior,Surface3,Rospro Pass,0,,1,,,"[-3637.92, 473.84, -3290.81]",Table,['Default']
16493,MainField,B-1,0xce41b6bf80ba6da1,Enemy_Bokoblin_Junior,Surface3,Rospro Pass,1,['Weapon_Sword_103'],1,,,"[-3642.94, 473.95, -3292.75]",Table,['Default']
16494,MainField,B-1,0xce41b6bf19a3decb,Enemy_Bokoblin_Junior,Surface3,Rospro Pass,0,"['Weapon_Sword_103', 'Weapon_Shield_004']",1,,,"[-3647.4, 473.59, -3290.43]",Table,['Default']
16496,MainField,B-1,0xe569b6763c006751,Enemy_Bokoblin_Junior,Surface3,Rospro Pass,0,['Weapon_Bow_004'],1,,,"[-3178.5, 590.67, -3084.5]",Table,['Arrow']
