objid,map_type,map_name,hash_id,name,fieldarea,region,scale,equip,map_static,korok_id,korok_type,pos,drop.type,drop.value
4518,MainField,A-3,0x62dd7bc16d127c56,Enemy_Bokoblin_Middle,Surface3,Rospro Pass,0,"['Weapon_Sword_112', 'AsbObj_RockParts_C_S_01']",1,,,"[-4176.89, 310.7, -1896.31]",Table,['Default']
4586,MainField,A-3,0x9f33d822535155f1,Enemy_Bokoblin_Middle,Surface3,Rospro Pass,1,,1,,,"[-4008.02, 359.22, -1986.76]",Table,['Default']
4859,MainField,A-4,0xef9b8012fc7c546e,Enemy_Bokoblin_Middle,Surface102,Lindor's Brow,0,['Weapon_Sword_103'],0,,,"[-4063.99, 206.34, -587.59]",Table,['Default']
16498,MainField,B-1,0x117f88ae009f4aff,Enemy_Bokoblin_Middle,Surface3,Rospro Pass,0,['Weapon_Lsword_112'],1,,,"[-3175, 627.65, -3174.49]",Table,['Default']
16677,MainField,B-1,0x4695ff2a853d2b2d,Enemy_Bokoblin_Middle,Surface107,Rospro Pass,1,,1,,,"[-3369.72, 471.09, -3650.36]",Table,['Default']
16685,MainField,B-1,0xbae72525c9bb1e00,Enemy_Bokoblin_Middle,Surface107,Rospro Pass,0,"['Weapon_Sword_112', 'Weapon_Shield_002', 'AsbObj_Icicle_A_01']",1,,,"[-3580.52, 443.19, -3739.64]",Table,['Default']
20815,MainField,B-2,0x5baf9c6ab9303d47,Enemy_Bokoblin_Middle,Surface3,Rospro Pass,1,['Weapon_Sword_131'],1,,,"[-3421.5, 371.04, -2375.01]",Table,['Default']
20822,MainField,B-2,0xa5e9be514f64dbc4,Enemy_Bokoblin_Middle,Surface3,Rospro Pass,1,['Weapon_Lsword_112'],1,,,"[-3071.04, 576.2, -2782.52]",Table,['Default']
20863,MainField,B-2,0x982ee5c3f108ec5a,Enemy_Bokoblin_Middle,Surface3,Rospro Pass,1,['Weapon_Bow_002'],1,,,"[-3191.74, 562.99, -2553.9]",Table,['Arrow']
20874,MainField,B-2,0x96f49c29c827f1dd,Enemy_Bokoblin_Middle,Surface3,Rospro Pass,1,,1,,,"[-3697.38, 248.98, -2223.98]",Table,['Default']
20876,MainField,B-2,0x85a731315c2943d4,Enemy_Bokoblin_Middle,Surface3,Rospro Pass,0,,1,,,"[-3692.54, 249.08, -2216.94]",Table,['Default']
21190,MainField,B-2,0xc22e74f81a5e4ef8,Enemy_Bokoblin_Middle,Surface3,Rospro Pass,0,['Weapon_Lsword_020'],1,,,"[-3026.74, 646.95, -2743.91]",Table,['Default']
21225,MainField,B-2,0xd9705bde589d8e66,Enemy_Bokoblin_Middle,Surface3,Rospro Pass,1,,1,,,"[-3234.34, 487.12, -2405.47]",Table,['Default']
21239,MainField,B-2,0xdd6bc1ed2680bda2,Enemy_Bokoblin_Middle,Surface3,Rospro Pass,0,['Weapon_Spear_132'],1,,,"[-3214.49, 550.59, -2970.01]",Table,['Default']
21274,MainField,B-2,0x37a6d217002ee2ce,Enemy_Bokoblin_Middle,Surface3,Rospro Pass,0,,1,,,"[-3488.02, 279.65, -2075]",Table,['Default']
