objid,map_type,map_name,hash_id,name,fieldarea,region,scale,equip,map_static,korok_id,korok_type,pos,drop.type,drop.value
1209,MainField,A-1,0xa73091ce0ef18b9f,Enemy_Bokoblin_Senior,Surface39,Rospro Pass,0,,1,,,"[-4367.45, 491.47, -3517.84]",Table,['Default']
3532,MainField,A-2,0x2fcf8fa75cd2f347,Enemy_Bokoblin_Senior,Surface107,Rospro Pass,1,,1,,,"[-4536.76, 336.68, -2759.39]",Table,['Default']
6476,MainField,A-5,0xef8b3344dca8729d,Enemy_Bokoblin_Senior,Surface0,Gerudo Highlands,0,"['Weapon_Bow_027', 'IceFruit', 'BokoblinBasket_IceFruit']",1,,,"[-4429.7, 679.65, 712.04]",Table,['Ice']
6477,MainField,A-5,0xef8b3344c97b78e5,Enemy_Bokoblin_Senior,Surface0,Gerudo Highlands,1,"['Weapon_Sword_109', 'Weapon_Shield_006']",1,,,"[-4430.63, 679.65, 716.5]",Table,['Default']
6626,MainField,A-5,0x1250df2a34d0c3c5,Enemy_Bokoblin_Senior,Surface0,Gerudo Highlands,0,['Weapon_Spear_108'],1,,,"[-4580.5, 643.64, 972.18]",Table,['Default']
9092,MainField,A-6,0xef8b33444e7ca4b3,Enemy_Bokoblin_Senior,Surface0,Gerudo Highlands,0,['Weapon_Sword_108'],1,,,"[-4025.09, 592.99, 1186.89]",Table,['Default']
9094,MainField,A-6,0xef8b3344c68124c1,Enemy_Bokoblin_Senior,Surface0,Gerudo Highlands,0,['Weapon_Bow_027'],1,,,"[-4013.68, 591.11, 1176.69]",Table,['Arrow']
9098,MainField,A-6,0xef8b33445cd5b19a,Enemy_Bokoblin_Senior,Surface0,Gerudo Highlands,0,['Weapon_Bow_027'],1,,,"[-4296.66, 604.77, 1073.43]",Table,['Arrow']
9099,MainField,A-6,0xef8b334454540b8a,Enemy_Bokoblin_Senior,Surface0,Gerudo Highlands,0,"['Weapon_Sword_108', 'AsbObj_RockParts_C_S_01']",1,,,"[-4293.59, 597.78, 1079.14]",Table,['Default']
9295,MainField,A-6,0x31019a242d543a60,Enemy_Bokoblin_Senior,Surface0,Gerudo Highlands,1,"['Weapon_Bow_027', 'IceFruit', 'BokoblinBasket_IceFruit']",1,,,"[-4759.28, 612.85, 1364.47]",Table,['Ice']
9296,MainField,A-6,0xb2e2242930a36f32,Enemy_Bokoblin_Senior,Surface0,Gerudo Highlands,1,,1,,,"[-4750.65, 612.94, 1366.56]",Table,['Default']
9331,MainField,A-6,0x85168fb7e46c4a96,Enemy_Bokoblin_Senior,Surface72,Gerudo Highlands,0,"['Weapon_Sword_108', 'Weapon_Shield_006']",1,,,"[-4236.51, 297, 1684.89]",Table,['Default']
9378,MainField,A-6,0xd633fef313cb0bb4,Enemy_Bokoblin_Senior,Surface4,Gerudo Highlands,0,,1,,,"[-4325.03, 417.39, 1450.11]",Table,['Default']
9390,MainField,A-6,0xd877aaf9cc0fd074,Enemy_Bokoblin_Senior,Surface4,Gerudo Highlands,0,,1,,,"[-4319.55, 415.77, 1465.48]",Table,['Default']
9392,MainField,A-6,0xf2781af12fd2e39b,Enemy_Bokoblin_Senior,Surface4,Gerudo Highlands,0,['Weapon_Sword_108'],1,,,"[-4315.71, 416.07, 1463.3]",Table,['Default']
11018,MainField,A-7,0x178f77c408daaf8e,Enemy_Bokoblin_Senior,Surface21,Gerudo Canyon,0,"['Weapon_Bow_027', 'FireFruit', 'BokoblinBasket_FireFruit']",0,,,"[-4273.06, 145.2, 2820.41]",Table,['Fire']
11020,MainField,A-7,0xda741dc5d25e0419,Enemy_Bokoblin_Senior,Surface21,Gerudo Canyon,0,['Weapon_Lsword_113'],0,,,"[-4297.72, 143.73, 2827.65]",Table,['Default']
11815,MainField,A-7,0x79b4a92360f7a846,Enemy_Bokoblin_Senior,Surface21,Gerudo Canyon,0,['Weapon_Sword_108'],1,,,"[-4435, 161.61, 2253.99]",Table,['Default']
11816,MainField,A-7,0xf0ae239a0f7a7a4a,Enemy_Bokoblin_Senior,Surface21,Gerudo Canyon,1,['Weapon_Bow_027'],1,,,"[-4430.65, 160.54, 2246.51]",Table,['Arrow']
11817,MainField,A-7,0x0bdba86c682acb9b,Enemy_Bokoblin_Senior,Surface21,Gerudo Canyon,0,['Weapon_Sword_108'],1,,,"[-4439.33, 160.49, 2246.5]",Table,['Default']
11818,MainField,A-7,0xb81cd109306d5187,Enemy_Bokoblin_Senior,Surface21,Gerudo Canyon,0,,1,,,"[-4247.35, 179.22, 2432.41]",Table,['Default']
11822,MainField,A-7,0xe0467042cbd5e901,Enemy_Bokoblin_Senior,Surface21,Gerudo Canyon,0,,1,,,"[-4248.77, 179.68, 2428]",Table,['Default']
11901,MainField,A-7,0x0747f6540e79bbd1,Enemy_Bokoblin_Senior,Surface21,Gerudo Canyon,0,"['Weapon_Sword_108', 'Weapon_Shield_006']",1,,,"[-4290.16, 144.63, 2852.82]",Table,['Default']
11902,MainField,A-7,0x63695adc3cf9c3fa,Enemy_Bokoblin_Senior,Surface21,Gerudo Canyon,1,"['Weapon_Sword_108', 'Weapon_Shield_006']",1,,,"[-4281.03, 144.64, 2846.65]",Table,['Default']
11903,MainField,A-7,0xec7f4897021117f3,Enemy_Bokoblin_Senior,Surface21,Gerudo Canyon,0,['Weapon_Sword_108'],1,,,"[-4287.2, 144.28, 2847.01]",Table,['Default']
13908,MainField,A-8,0x0376b59767112f46,Enemy_Bokoblin_Senior,Surface40,Gerudo Canyon,0,['Weapon_Spear_108'],1,,,"[-4641.99, 132.86, 3870.99]",Table,['Default']
13909,MainField,A-8,0xdfac591c10e0dadd,Enemy_Bokoblin_Senior,Surface40,Gerudo Canyon,0,['Weapon_Sword_108'],1,,,"[-4650, 133.31, 3875]",Table,['Default']
13987,MainField,A-8,0x60c0d10472a391e1,Enemy_Bokoblin_Senior,Surface21,Gerudo Canyon,0,['Weapon_Sword_108'],1,,,"[-4458.03, 140.47, 3258.54]",Table,['Default']
13991,MainField,A-8,0xa37b98124927c270,Enemy_Bokoblin_Senior,Surface21,Gerudo Canyon,0,['Weapon_Sword_108'],1,,,"[-4500.39, 148.02, 3111.1]",Table,['Default']
13992,MainField,A-8,0x31d721ae87b9abe2,Enemy_Bokoblin_Senior,Surface21,Gerudo Canyon,0,['Weapon_Spear_108'],1,,,"[-4509.04, 147.69, 3111.13]",Table,['Default']
13995,MainField,A-8,0x4601fce5aea61454,Enemy_Bokoblin_Senior,Surface21,Gerudo Canyon,1,['Weapon_Lsword_108'],1,,,"[-4154.86, 146.43, 3052.65]",Table,['Default']
14000,MainField,A-8,0x2f8d7a2c4699cbc7,Enemy_Bokoblin_Senior,Surface21,Gerudo Canyon,0,['Weapon_Sword_108'],1,,,"[-4177.5, 133.52, 3617.5]",Table,['Default']
