objid,map_type,map_name,hash_id,name,fieldarea,region,scale,equip,map_static,korok_id,korok_type,pos,drop.type,drop.value
11795,MainField,A-7,0x57427590c36f41dc,Enemy_Chuchu_Electric_Middle,Surface21,Gerudo Canyon,0,,1,,,"[-4590.79, 139.19, 2656.38]",Table,['Default']
35509,MainField,B-6,0x763fae8892bfae60,Enemy_Chuchu_Electric_Middle,Surface4,Gerudo Highlands,0,,0,,,"[-3440.66, 462.99, 1760.07]",Table,['Default']
35510,MainField,B-6,0xd03803a36aa58041,Enemy_Chuchu_Electric_Middle,Surface4,Gerudo Highlands,0,,0,,,"[-3408.24, 443.42, 1781.61]",Table,['Default']
35511,MainField,B-6,0x482bfcd6f321c5b3,Enemy_Chuchu_Electric_Middle,Surface4,Gerudo Highlands,0,,0,,,"[-3372.66, 443.27, 1755.54]",Table,['Default']
75323,MainField,C-8,0x1c088be9bd0059f2,Enemy_Chuchu_Electric_Middle,Surface21,Gerudo Canyon,0,,0,,,"[-2818.58, 119.09, 3502.04]",Table,['Default']
75324,MainField,C-8,0x503ab687e0b597b7,Enemy_Chuchu_Electric_Middle,Surface21,Gerudo Canyon,0,,0,,,"[-2347.24, 118.27, 3722.36]",Table,['Default']
75326,MainField,C-8,0x9052ff3e9e12dec0,Enemy_Chuchu_Electric_Middle,Surface21,Gerudo Canyon,0,,0,,,"[-2333.11, 118.07, 3666.37]",Table,['Default']
96627,MainField,D-6,0x1f65fdfa910b4ec0,Enemy_Chuchu_Electric_Middle,Surface32,Hyrule Field,0,,1,,,"[-1555.75, 141.46, 1471.86]",Table,['Default']
96628,MainField,D-6,0x22414a2fb5ac4d80,Enemy_Chuchu_Electric_Middle,Surface32,Hyrule Field,0,,1,,,"[-1572.19, 142.62, 1470.69]",Table,['Default']
96629,MainField,D-6,0xf316394abd9921a2,Enemy_Chuchu_Electric_Middle,Surface32,Hyrule Field,0,,1,,,"[-1565.37, 141.19, 1468.92]",Table,['Default']
106186,MainField,E-2,0xde3d0480a1e769d0,Enemy_Chuchu_Electric_Middle,Surface60,Thyphlo Ruins,0,,1,,,"[-551.36, 379.07, -2341.5]",Table,['Default']
106190,MainField,E-2,0x0ffc8fd9cd9a7b8a,Enemy_Chuchu_Electric_Middle,Surface16,Thyphlo Ruins,0,,1,,,"[-676.61, 439.92, -2661.56]",Table,['Default']
144877,MainField,F-4,0x0ba6d44b78edac7a,Enemy_Chuchu_Electric_Middle,Surface41,Sahasra Slope,0,,0,,,"[661.93, 193.19, -864.36]",Table,['Default']
144879,MainField,F-4,0x395896edc231a5d3,Enemy_Chuchu_Electric_Middle,Surface41,Sahasra Slope,0,,0,,,"[650.55, 192.27, -860.73]",Table,['Default']
160532,MainField,F-7,0xd6c4e472ef9b5804,Enemy_Chuchu_Electric_Middle,Surface29,Popla Foothills,0,,0,,,"[764.88, 116.32, 2692.41]",Table,['Default']
161930,MainField,F-7,0xe9a214ebf681d75d,Enemy_Chuchu_Electric_Middle,Surface29,Popla Foothills,0,,1,,,"[787.59, 115.99, 2876.69]",Table,['Default']
162363,MainField,F-7,0x4c31e6ba0b7432cc,Enemy_Chuchu_Electric_Middle,Surface29,Popla Foothills,0,,1,,,"[948.93, 142.33, 2676.75]",Table,['Default']
198303,MainField,G-7,0xe9a214eb6222165e,Enemy_Chuchu_Electric_Middle,Surface104,Popla Foothills,0,,1,,,"[1107.77, 228.77, 2543.52]",Table,['Default']
198306,MainField,G-7,0xe9a214eb7c30289b,Enemy_Chuchu_Electric_Middle,Surface104,Popla Foothills,0,,1,,,"[1142.46, 223.06, 2662.35]",Table,['Default']
204206,MainField,G-8,0xf46653174428221f,Enemy_Chuchu_Electric_Middle,Surface59,Popla Foothills,0,,1,,,"[1063.49, 170.31, 3079.47]",Table,['Default']
204209,MainField,G-8,0x8a16dde7c9f3d6e3,Enemy_Chuchu_Electric_Middle,Surface59,Popla Foothills,0,,1,,,"[1967.88, 217.4, 3539.5]",Table,['Default']
498389,MainField,Sky__Map_SKy_Firone_SmallZonauRuins_Island_B_00 ,0x410faa42521dd9b8,Enemy_Chuchu_Electric_Middle,Sky105,,0,,0,,,"[1048.68, 775.57, 3105.16]",Table,['Default']
499098,MainField,Sky__Map_SKy_Firone_SmallZonauRuins_Island_B_00 ,0xe309079bce655838,Enemy_Chuchu_Electric_Middle,Sky105,,0,,1,,,"[1059.09, 815.18, 3050.54]",Table,['Default']
499103,MainField,Sky__Map_SKy_Firone_SmallZonauRuins_Island_B_00 ,0xfecd5d2ecb4ee275,Enemy_Chuchu_Electric_Middle,Sky105,,0,,1,,,"[1170.41, 865.72, 3416.79]",Table,['Default']
527324,MainField,Cave__Cave_Firone_0009_GroupSet_000 ,0x1d6e76957672aaf4,Enemy_Chuchu_Electric_Middle,Cave61,,0,,1,,,"[1157.16, 240.89, 2483.75]",Table,['Default']
548917,MainField,Cave__Well_0043_GroupSet_000 ,0x9ac73be40cb33a68,Enemy_Chuchu_Electric_Middle,Cave24,,0,,1,,,"[500.11, 109.3, 3784.94]",Table,['Default']
550850,MainField,Castle__Set_HyruleCastle_IslandGround_A ,0x54815606fd8fbaa3,Enemy_Chuchu_Electric_Middle_Army,Surface79,Lookout Landing,0,,1,,,"[-156.5, 320.46, -1069.37]",Table,['Default']
