objid,map_type,map_name,hash_id,name,fieldarea,region,scale,equip,map_static,korok_id,korok_type,pos,drop.type,drop.value
109415,MainField,E-4,0x07386b9581fd3540,Enemy_Chuchu_Fire_Junior,Surface79,Lookout Landing,0,,0,,,"[-249.25, 154.37, -765.8]",Table,['Default']
138936,MainField,F-2,0x4eb129063dfec997,Enemy_Chuchu_Fire_Junior,Surface8,Thyphlo Ruins,0,,1,,,"[828.24, 280.01, -2363]",Table,['Default']
138942,MainField,F-2,0xc323a4338cb9b752,Enemy_Chuchu_Fire_Junior,Surface8,Thyphlo Ruins,0,,1,,,"[797.36, 280.28, -2373.7]",Table,['Default']
168711,MainField,G-1,0x364665ced0ece9e2,Enemy_Chuchu_Fire_Junior,Surface105,Eldin Canyon,0,,0,,,"[1688.38, 506.72, -3158.39]",Table,['Default']
168714,MainField,G-1,0x364665ce1a8815b7,Enemy_Chuchu_Fire_Junior,Surface105,Eldin Canyon,0,,0,,,"[1580.81, 505.6, -3192.75]",Table,['Default']
168728,MainField,G-1,0x364665ce7bae3f81,Enemy_Chuchu_Fire_Junior,Surface97,Thyphlo Ruins,0,,0,,,"[1363.48, 293.73, -3579.39]",Table,['Default']
168730,MainField,G-1,0x364665ce3ce8de50,Enemy_Chuchu_Fire_Junior,Surface97,Thyphlo Ruins,0,,0,,,"[1364.97, 294.67, -3582.45]",Table,['Default']
168732,MainField,G-1,0x364665ceb40d7d84,Enemy_Chuchu_Fire_Junior,Surface7,Eldin Canyon,0,,0,,,"[1373.57, 465.37, -3401]",Table,['Default']
168734,MainField,G-1,0x364665ce344e6cb4,Enemy_Chuchu_Fire_Junior,Surface91,Eldin Canyon,0,,0,,,"[1518.81, 504.21, -3343.34]",Table,['Default']
170015,MainField,G-1,0x364665ce6160957a,Enemy_Chuchu_Fire_Junior,Surface105,Eldin Canyon,0,,1,,,"[1454.95, 507.19, -3224.3]",Table,['Default']
170017,MainField,G-1,0x364665ce5d8190f5,Enemy_Chuchu_Fire_Junior,Surface105,Eldin Canyon,0,,1,,,"[1426.58, 506.69, -3212.75]",Table,['Default']
170019,MainField,G-1,0x364665ceabb0b57f,Enemy_Chuchu_Fire_Junior,Surface7,Eldin Canyon,0,,1,,,"[1366.47, 462.2, -3402.55]",Table,['Default']
170022,MainField,G-1,0x364665ce22554dce,Enemy_Chuchu_Fire_Junior,Surface91,Eldin Canyon,0,,1,,,"[1636.18, 502.22, -3298.61]",Table,['Default']
170024,MainField,G-1,0x364665ce26bf99a8,Enemy_Chuchu_Fire_Junior,Surface7,Eldin Canyon,0,,1,,,"[1611.95, 474.79, -3341.63]",Table,['Default']
170026,MainField,G-1,0x364665ce8cf23f4c,Enemy_Chuchu_Fire_Junior,Surface7,Eldin Canyon,0,,1,,,"[1580.63, 440.39, -3388.25]",Table,['Default']
170028,MainField,G-1,0x364665ce3cde4867,Enemy_Chuchu_Fire_Junior,Surface7,Eldin Canyon,0,,1,,,"[1577.95, 446.84, -3374.81]",Table,['Default']
170031,MainField,G-1,0x364665ce1ed9ec74,Enemy_Chuchu_Fire_Junior,Surface7,Eldin Canyon,0,,1,,,"[1850.36, 434.91, -3345.43]",Table,['Default']
170770,MainField,G-2,0x364665ce3df4a4cd,Enemy_Chuchu_Fire_Junior,Surface66,Eldin Canyon,0,,0,,,"[1706.98, 575.33, -2326.08]",Table,['Default']
170790,MainField,G-2,0x364665ce8c4d018d,Enemy_Chuchu_Fire_Junior,Surface66,Eldin Canyon,0,,0,,,"[1863.37, 456.75, -1930.27]",Table,['Default']
179180,MainField,G-3,0x11e427d6292e85b6,Enemy_Chuchu_Fire_Junior,Surface92,Eldin Canyon,0,,0,,,"[1707.5, 251.5, -1112.5]",Table,['Default']
205752,MainField,H-1,0x364665ceab17fbe1,Enemy_Chuchu_Fire_Junior,Surface7,Eldin Canyon,0,,0,,,"[2328.57, 416.55, -3599.4]",Table,['Default']
205755,MainField,H-1,0x364665ceb402f609,Enemy_Chuchu_Fire_Junior,Surface7,Eldin Canyon,0,,0,,,"[2351.37, 413.04, -3593.98]",Table,['Default']
205758,MainField,H-1,0x364665ce9b7def21,Enemy_Chuchu_Fire_Junior,Surface7,Eldin Canyon,0,,0,,,"[2116.02, 316.72, -3609.39]",Table,['Default']
207119,MainField,H-1,0x364665cece837277,Enemy_Chuchu_Fire_Junior,Surface105,Eldin Canyon,0,,1,,,"[2222.93, 554.44, -3028.86]",Table,['Default']
207233,MainField,H-1,0xe743af75b0a380ef,Enemy_Chuchu_Fire_Junior,Surface7,Eldin Canyon,0,,1,,,"[2270.13, 443.97, -3525.74]",Table,['Default']
214223,MainField,H-3,0xa435cd105bbfe447,Enemy_Chuchu_Fire_Junior,Surface91,Eldin Canyon,0,,1,,,"[2417.68, 410, -1845.06]",Table,['Default']
214225,MainField,H-3,0xcbd65e59f9a8d1d4,Enemy_Chuchu_Fire_Junior,Surface91,Eldin Canyon,0,,1,,,"[2416.5, 424.85, -1883]",Table,['Default']
240094,MainField,I-1,0x9f184afb58b6271c,Enemy_Chuchu_Fire_Junior,Surface22,Ulri Mountain,0,,1,,,"[3541.8, 124.35, -3109.43]",Table,['Default']
240585,MainField,I-2,0x364665ce94bcb74c,Enemy_Chuchu_Fire_Junior,Surface7,Ulri Mountain,0,,0,,,"[3458.75, 270.77, -2780.48]",Table,['Default']
240587,MainField,I-2,0x364665ce0cd0fa47,Enemy_Chuchu_Fire_Junior,Surface7,Ulri Mountain,0,,0,,,"[3601.5, 224.47, -2786.4]",Table,['Default']
522033,MainField,Cave__Cave_Akkala_0010_GroupSet_000 ,0x8d195eb74edede57,Enemy_Chuchu_Fire_Junior,Cave2,,0,,0,,,"[3256.36, 410.24, -1535.27]",Table,['Default']
522034,MainField,Cave__Cave_Akkala_0010_GroupSet_000 ,0xc8b8ca12d81149dd,Enemy_Chuchu_Fire_Junior,Cave2,,0,,0,,,"[3257.12, 410.06, -1540.58]",Table,['Default']
539962,MainField,Cave__Cave_HyruleForest_0008_GroupSet_000 ,0x8cc904af92df3ae7,Enemy_Chuchu_Fire_Junior,Cave15,,0,,0,,,"[416.06, 174.51, -3523.3]",Table,['Default']
