objid,map_type,map_name,hash_id,name,fieldarea,region,scale,equip,map_static,korok_id,korok_type,pos,drop.type,drop.value
109416,MainField,E-4,0xadd0fed9f5e07216,Enemy_Chuchu_Fire_Middle,Surface79,Lookout Landing,0,,0,,,"[-249, 156.97, -773.24]",Table,['Default']
168721,MainField,G-1,0x7b2d8a5000adc59a,Enemy_Chuchu_Fire_Middle,Surface7,Eldin Canyon,0,,0,,,"[1787.79, 551.17, -3199.32]",Table,['Default']
168722,MainField,G-1,0x7b2d8a50217f9966,Enemy_Chuchu_Fire_Middle,Surface7,Eldin Canyon,0,,0,,,"[1797.26, 551.88, -3193.16]",Table,['Default']
168729,MainField,G-1,0x7b2d8a50b4e890a5,Enemy_Chuchu_Fire_Middle,Surface97,Thyphlo Ruins,0,,0,,,"[1370.18, 297, -3580.38]",Table,['Default']
168731,MainField,G-1,0x7b2d8a50db9ba5de,Enemy_Chuchu_Fire_Middle,Surface7,Eldin Canyon,0,,0,,,"[1373.35, 464.97, -3406.62]",Table,['Default']
168735,MainField,G-1,0x7b2d8a50c9ae7974,Enemy_Chuchu_Fire_Middle,Surface105,Eldin Canyon,0,,0,,,"[1523.62, 506.14, -3334.72]",Table,['Default']
168736,MainField,G-1,0x7b2d8a504038e35a,Enemy_Chuchu_Fire_Middle,Surface91,Eldin Canyon,0,,0,,,"[1527.7, 504.61, -3337.8]",Table,['Default']
170023,MainField,G-1,0x7b2d8a5089a3cb53,Enemy_Chuchu_Fire_Middle,Surface91,Eldin Canyon,0,,1,,,"[1643.22, 503.25, -3301.01]",Table,['Default']
170032,MainField,G-1,0x7b2d8a505d3768d9,Enemy_Chuchu_Fire_Middle,Surface7,Eldin Canyon,0,,1,,,"[1855.87, 434.72, -3349.09]",Table,['Default']
170771,MainField,G-2,0x7b2d8a5068ca1b13,Enemy_Chuchu_Fire_Middle,Surface66,Eldin Canyon,0,,0,,,"[1708.48, 575.2, -2328.58]",Table,['Default']
170781,MainField,G-2,0x7b2d8a506f28aa3f,Enemy_Chuchu_Fire_Middle,Surface66,Eldin Canyon,0,,0,,,"[1846.82, 578.22, -2144.37]",Table,['Default']
170791,MainField,G-2,0x7b2d8a5096993316,Enemy_Chuchu_Fire_Middle,Surface66,Eldin Canyon,0,,0,,,"[1866.34, 467.87, -1955.38]",Table,['Default']
179181,MainField,G-3,0xb70afadf799c9615,Enemy_Chuchu_Fire_Middle,Surface66,Eldin Canyon,0,,0,,,"[1762.5, 408, -1626]",Table,['Default']
205757,MainField,H-1,0x7b2d8a50fdb02d77,Enemy_Chuchu_Fire_Middle,Surface7,Eldin Canyon,0,,0,,,"[2121.59, 317.02, -3614.19]",Table,['Default']
207120,MainField,H-1,0x7b2d8a506d691ada,Enemy_Chuchu_Fire_Middle,Surface105,Eldin Canyon,0,,1,,,"[2230.1, 555.34, -3023.5]",Table,['Default']
207234,MainField,H-1,0xb2db75df35928b41,Enemy_Chuchu_Fire_Middle,Surface7,Eldin Canyon,0,,1,,,"[2271.98, 445.3, -3517.03]",Table,['Default']
209888,MainField,H-2,0x57ff9674ec346ef6,Enemy_Chuchu_Fire_Middle,Surface44,Eldin Canyon,0,,0,,,"[2592.36, 634.9, -2923.9]",Table,['Default']
212942,MainField,H-3,0xb99b045be98353c9,Enemy_Chuchu_Fire_Middle,Surface7,Eldin Canyon,0,,0,,,"[2520.08, 300.82, -1389.4]",Table,['Default']
212945,MainField,H-3,0xce3c7e7fc9f259bd,Enemy_Chuchu_Fire_Middle,Surface7,Eldin Canyon,0,,0,,,"[2516.21, 301.61, -1379.42]",Table,['Default']
214224,MainField,H-3,0x71f93783df9560f0,Enemy_Chuchu_Fire_Middle,Surface91,Eldin Canyon,0,,1,,,"[2413.32, 410, -1852.94]",Table,['Default']
240095,MainField,I-1,0x23545719c6ae2a31,Enemy_Chuchu_Fire_Middle,Surface22,Ulri Mountain,0,,1,,,"[3550.78, 123.76, -3109.43]",Table,['Default']
539935,MainField,Cave__Cave_HyruleForest_0008_GroupSet_000 ,0x47751c7a247447d0,Enemy_Chuchu_Fire_Middle,Cave89,,0,,0,,,"[426.74, 173.79, -3517.68]",Table,['Default']
550848,MainField,Castle__Set_HyruleCastle_IslandGround_A ,0xab62185d78149e96,Enemy_Chuchu_Fire_Middle_Army,Surface79,Lookout Landing,0,,1,,,"[-159, 320.46, -1061.37]",Table,['Default']
402098,MinusField,F-2,0x146e0ad607761540,Enemy_Chuchu_Fire_Middle,Depths89,,0,,0,,,"[1002.59, -611.2, -2728.97]",Table,['Default']
425792,MinusField,G-2,0xdb853cb00fa54d4c,Enemy_Chuchu_Fire_Middle,Depths7,,0,,0,,,"[1330.34, -743.02, -2016.9]",Table,['Default']
426005,MinusField,G-2,0xaaf8a05eedc4b6be,Enemy_Chuchu_Fire_Middle,Depths103,,0,,0,,,"[1805.02, -738.32, -2629.37]",Table,['Default']
428042,MinusField,G-3,0xbd2dd2881c9f81c5,Enemy_Chuchu_Fire_Middle,Depths17,,0,,0,,,"[1201.13, -369.57, -1041.9]",Table,['Default']
428055,MinusField,G-3,0x3bea88d7c3b1825e,Enemy_Chuchu_Fire_Middle,Depths66,,0,,0,,,"[1588.57, -621.7, -1786.87]",Table,['Default']
445105,MinusField,H-1,0x8c070e0c215f50be,Enemy_Chuchu_Fire_Middle,Depths7,,0,,0,,,"[2089.22, -692.27, -3424.22]",Table,['Default']
446205,MinusField,H-2,0x6f20a0ad63ea41ac,Enemy_Chuchu_Fire_Middle,Depths103,,0,,0,,,"[2178.22, -855.73, -2457.9]",Table,['Default']
446372,MinusField,H-2,0x44626fd3e41e9d37,Enemy_Chuchu_Fire_Middle,Depths66,,0,,0,,,"[2357.8, -857.34, -2226.12]",Table,['Default']
446385,MinusField,H-2,0x9f3967fd23b93720,Enemy_Chuchu_Fire_Middle,Depths66,,0,,0,,,"[2619.63, -856.97, -2988.93]",Table,['Default']
446397,MinusField,H-2,0xb7b5145a6a23d027,Enemy_Chuchu_Fire_Middle,Depths44,,0,,0,,,"[2557.02, -858.9, -2242.48]",Table,['Default']
447693,MinusField,H-3,0x8fa4f4c93f7934dd,Enemy_Chuchu_Fire_Middle,Depths66,,0,,0,,,"[2343.46, -737.82, -1987.13]",Table,['Default']
