objid,map_type,map_name,hash_id,name,fieldarea,region,scale,equip,map_static,korok_id,korok_type,pos,drop.type,drop.value
1204,MainField,A-1,0x5c19e462485b6e06,Enemy_Chuchu_Ice_Junior,Surface39,Rospro Pass,0,,1,,,"[-4151.49, 512.13, -3597.03]",Table,['Default']
1206,MainField,A-1,0x5c19e462c3521f98,Enemy_Chuchu_Ice_Junior,Surface39,Rospro Pass,0,,1,,,"[-4155.48, 511.86, -3597.03]",Table,['Default']
5114,MainField,A-5,0x8e4ae24ac8ef95bf,Enemy_Chuchu_Ice_Junior,Surface0,Gerudo Highlands,0,,0,,,"[-4578.79, 619.87, 731.81]",Table,['Default']
5116,MainField,A-5,0x8e4ae24a1439eca6,Enemy_Chuchu_Ice_Junior,Surface0,Gerudo Highlands,0,,0,,,"[-4572.02, 618.93, 721.86]",Table,['Default']
6437,MainField,A-5,0x8e4ae24a7e3ae505,Enemy_Chuchu_Ice_Junior,Surface0,Gerudo Highlands,0,,1,,,"[-4497.75, 616.1, 695.26]",Table,['Default']
6439,MainField,A-5,0x8e4ae24ac730529b,Enemy_Chuchu_Ice_Junior,Surface0,Gerudo Highlands,0,,1,,,"[-4500.81, 616.31, 697.84]",Table,['Default']
6440,MainField,A-5,0x8e4ae24afac846dc,Enemy_Chuchu_Ice_Junior,Surface0,Gerudo Highlands,0,,1,,,"[-4490.8, 613.79, 709.6]",Table,['Default']
6442,MainField,A-5,0x8e4ae24a43c73652,Enemy_Chuchu_Ice_Junior,Surface0,Gerudo Highlands,0,,1,,,"[-4494.8, 614.11, 709.6]",Table,['Default']
6443,MainField,A-5,0x8e4ae24aa2977269,Enemy_Chuchu_Ice_Junior,Surface0,Gerudo Highlands,0,,1,,,"[-4485.86, 617.32, 697.43]",Table,['Default']
6445,MainField,A-5,0x8e4ae24a2b8e23ef,Enemy_Chuchu_Ice_Junior,Surface0,Gerudo Highlands,0,,1,,,"[-4489.2, 619.33, 695.24]",Table,['Default']
14592,MainField,B-1,0x13e68a8fffe44810,Enemy_Chuchu_Ice_Junior,Surface3,Rospro Pass,0,,0,,,"[-3860.5, 412, -3315.5]",Table,['Default']
16687,MainField,B-1,0xf5aec5b2fdc5d416,Enemy_Chuchu_Ice_Junior,Surface39,Rospro Pass,0,,1,,,"[-3757.68, 504.06, -3652.69]",Table,['Default']
18129,MainField,B-2,0x1702eb5cb89887a0,Enemy_Chuchu_Ice_Junior,Surface3,Rospro Pass,0,,0,,,"[-3323, 467, -2429.5]",Table,['Default']
20787,MainField,B-2,0x8e4ae24a735397f2,Enemy_Chuchu_Ice_Junior,Surface3,Rospro Pass,0,,1,,,"[-3042, 522.94, -2581.5]",Table,['Default']
20797,MainField,B-2,0x8e4ae24aa605b3c8,Enemy_Chuchu_Ice_Junior,Surface3,Rospro Pass,0,,1,,,"[-3144.62, 580.01, -2775.34]",Table,['Default']
20799,MainField,B-2,0x8e4ae24ab913ec52,Enemy_Chuchu_Ice_Junior,Surface3,Rospro Pass,0,,1,,,"[-3175.37, 643.66, -2706.15]",Table,['Default']
32628,MainField,B-5,0x8e4ae24a8a7b48a9,Enemy_Chuchu_Ice_Junior,Surface0,Gerudo Highlands,0,,1,,,"[-3770.81, 722.63, 825.75]",Table,['Default']
32630,MainField,B-5,0x8e4ae24a1372382f,Enemy_Chuchu_Ice_Junior,Surface0,Gerudo Highlands,0,,1,,,"[-3770.85, 722.89, 829.82]",Table,['Default']
32631,MainField,B-5,0x8e4ae24a5130a7b4,Enemy_Chuchu_Ice_Junior,Surface0,Gerudo Highlands,0,,1,,,"[-3753.07, 724.13, 816.83]",Table,['Default']
32633,MainField,B-5,0x8e4ae24ade2e174a,Enemy_Chuchu_Ice_Junior,Surface0,Gerudo Highlands,0,,1,,,"[-3753.31, 723.88, 820.92]",Table,['Default']
37062,MainField,B-6,0x8e4ae24ae7147804,Enemy_Chuchu_Ice_Junior,Surface0,Gerudo Highlands,0,,1,,,"[-3033.7, 665.05, 1548.16]",Table,['Default']
37064,MainField,B-6,0x8e4ae24a6c03299a,Enemy_Chuchu_Ice_Junior,Surface0,Gerudo Highlands,0,,1,,,"[-3037.48, 665.38, 1549.59]",Table,['Default']
37065,MainField,B-6,0x8e4ae24a5c864fb3,Enemy_Chuchu_Ice_Junior,Surface0,Gerudo Highlands,0,,1,,,"[-3070.93, 670.15, 1531.91]",Table,['Default']
37067,MainField,B-6,0x8e4ae24aa57d3f49,Enemy_Chuchu_Ice_Junior,Surface0,Gerudo Highlands,0,,1,,,"[-3074.37, 670, 1529.93]",Table,['Default']
37721,MainField,B-6,0xe50a58465ac0a251,Enemy_Chuchu_Ice_Junior,Surface0,Gerudo Highlands,0,,1,,,"[-3110.88, 546.21, 1335.76]",Table,['Default']
49849,MainField,C-2,0x8e4ae24ac660e3ff,Enemy_Chuchu_Ice_Junior,Surface31,Pikida Stonegrove,0,,0,,,"[-2561.4, 403.31, -2194.8]",Table,['Default']
52864,MainField,C-2,0xed31fdca4464b215,Enemy_Chuchu_Ice_Junior,Surface31,Pikida Stonegrove,0,,1,,,"[-2596.59, 368.12, -2391.37]",Table,['Default']
56346,MainField,C-3,0x8e4ae24a00a036b2,Enemy_Chuchu_Ice_Junior,Surface31,Lindor's Brow,0,,1,,,"[-2645.48, 388.78, -1763.99]",Table,['Default']
100370,MainField,D-7,0x8e4ae24a1a176712,Enemy_Chuchu_Ice_Junior,Surface47,Hyrule Field,0,,1,,,"[-1332.26, 250.5, 2010.43]",Table,['Default']
100372,MainField,D-7,0x8e4ae24a630ed4a8,Enemy_Chuchu_Ice_Junior,Surface47,Hyrule Field,0,,1,,,"[-1328.28, 250.39, 2009.96]",Table,['Default']
257345,MainField,I-6,0x8e4ae24a4a8df29d,Enemy_Chuchu_Ice_Junior,Surface38,Mount Lanayru,0,,0,,,"[3668.75, 359.15, 1482.89]",Table,['Default']
259697,MainField,I-6,0x8e4ae24a6124652f,Enemy_Chuchu_Ice_Junior,Surface38,Mount Lanayru,0,,1,,,"[3696.72, 378.1, 1457.81]",Table,['Default']
