objid,map_type,map_name,hash_id,name,fieldarea,region,scale,equip,map_static,korok_id,korok_type,pos,drop.type,drop.value
5115,MainField,A-5,0x6802c0f80c054b42,Enemy_Chuchu_Ice_Middle,Surface0,Gerudo Highlands,0,,0,,,"[-4577.98, 618.91, 723.97]",Table,['Default']
14311,MainField,B-1,0x6802c0f89058240e,Enemy_Chuchu_Ice_Middle,Surface3,Rospro Pass,0,,0,,,"[-3856.88, 409.59, -3056.47]",Table,['Default']
14591,MainField,B-1,0x47ab680ca31f746c,Enemy_Chuchu_Ice_Middle,Surface3,Rospro Pass,0,,0,,,"[-3855, 413, -3331.5]",Table,['Default']
16688,MainField,B-1,0x9066e1249e2ca0e9,Enemy_Chuchu_Ice_Middle,Surface39,Rospro Pass,0,,1,,,"[-3748.68, 503.83, -3652.69]",Table,['Default']
18128,MainField,B-2,0xf6b7445cc54112f9,Enemy_Chuchu_Ice_Middle,Surface3,Rospro Pass,0,,0,,,"[-3317.5, 468.5, -2437.5]",Table,['Default']
18186,MainField,B-2,0x986c1c96f5eb477f,Enemy_Chuchu_Ice_Middle,Surface3,Rospro Pass,0,,0,,,"[-3416.34, 370.98, -2377.56]",Table,['Default']
20800,MainField,B-2,0x6802c0f89c42d051,Enemy_Chuchu_Ice_Middle,Surface3,Rospro Pass,0,,1,,,"[-3184.19, 643.19, -2704.35]",Table,['Default']
37722,MainField,B-6,0x9a726bbc3916752b,Enemy_Chuchu_Ice_Middle,Surface0,Gerudo Highlands,0,,1,,,"[-3101.88, 546.2, 1335.76]",Table,['Default']
49847,MainField,C-2,0x6802c0f8ba2d3842,Enemy_Chuchu_Ice_Middle,Surface3,Rospro Pass,0,,0,,,"[-3008, 607.33, -2853.98]",Table,['Default']
49850,MainField,C-2,0x6802c0f84fa94601,Enemy_Chuchu_Ice_Middle,Surface31,Pikida Stonegrove,0,,0,,,"[-2552.4, 400.17, -2194.8]",Table,['Default']
52865,MainField,C-2,0x8679923bd7d2c6c7,Enemy_Chuchu_Ice_Middle,Surface31,Pikida Stonegrove,0,,1,,,"[-2587.77, 367.12, -2391.37]",Table,['Default']
55051,MainField,C-3,0xbe15a6a879a34c59,Enemy_Chuchu_Ice_Middle,Surface31,Lindor's Brow,0,,0,,,"[-2502.92, 376.96, -1807.79]",Table,['Default']
56347,MainField,C-3,0x6802c0f813dfae31,Enemy_Chuchu_Ice_Middle,Surface31,Lindor's Brow,0,,1,,,"[-2636.48, 390.08, -1763.99]",Table,['Default']
257344,MainField,I-6,0x6802c0f80eb6fdf7,Enemy_Chuchu_Ice_Middle,Surface38,Mount Lanayru,0,,0,,,"[3668.46, 359.68, 1480.26]",Table,['Default']
550849,MainField,Castle__Set_HyruleCastle_IslandGround_A ,0x3f905e98e8fa90cb,Enemy_Chuchu_Ice_Middle_Army,Surface79,Lookout Landing,0,,1,,,"[-149, 320.46, -1062.87]",Table,['Default']
552304,MainField,LargeDungeon__LargeDungeonWind ,0xe2eba53fa95d1f61,Enemy_Chuchu_Ice_Middle,Sky3,,0,,0,,,"[-2894.5, 1623.43, -2949]",Table,['Default']
552305,MainField,LargeDungeon__LargeDungeonWind ,0x4537c37ceb0efdcd,Enemy_Chuchu_Ice_Middle,Sky3,,0,,0,,,"[-2892.5, 1644.43, -3075.5]",Table,['Default']
