objid,map_type,map_name,hash_id,name,fieldarea,region,scale,equip,map_static,korok_id,korok_type,pos,drop.type,drop.value
85623,MainField,D-3,0x57444d9d7ed9a534,Enemy_Chuchu_Junior,Surface60,Lindor's Brow,0,,1,,,"[-1251.37, 208.67, -1853.36]",Table,['Default']
88681,MainField,D-4,0xb97e6e2f05e57e43,Enemy_Chuchu_Junior,Surface26,Lindor's Brow,0,,1,,,"[-1280.4, 211.39, -960.33]",Table,['Default']
88683,MainField,D-4,0x5854e7af70d25a2f,Enemy_Chuchu_Junior,Surface26,Lindor's Brow,0,,1,,,"[-1282.41, 212.23, -970.19]",Table,['Default']
88685,MainField,D-4,0x7eff8c465f9f27f6,Enemy_Chuchu_Junior,Surface26,Lindor's Brow,0,,1,,,"[-1285.7, 212.6, -948.18]",Table,['Default']
92030,MainField,D-5,0x2757adb969f7e82f,Enemy_Chuchu_Junior,Surface32,Hyrule Field,0,,1,,,"[-1368.74, 141.63, 908.02]",Table,['Default']
92031,MainField,D-5,0x2757adb90dbc806e,Enemy_Chuchu_Junior,Surface32,Hyrule Field,0,,1,,,"[-1369.42, 144.9, 910.66]",Table,['Default']
110505,MainField,E-4,0x59a0631c5a3fa98a,Enemy_Chuchu_Junior,Surface6,Lookout Landing,0,,0,,,"[-82.73, 128.1, -106.12]",Table,['Default']
110506,MainField,E-4,0x01ff553bfec49af8,Enemy_Chuchu_Junior,Surface6,Lookout Landing,0,,0,,,"[-416.71, 125.46, -96.42]",Table,['Default']
110507,MainField,E-4,0x880a63b21c54c50e,Enemy_Chuchu_Junior,Surface6,Lookout Landing,0,,0,,,"[-412.76, 125.21, -97.45]",Table,['Default']
110508,MainField,E-4,0xeb317842425bedd0,Enemy_Chuchu_Junior,Surface6,Lookout Landing,0,,0,,,"[-52.17, 127.03, -68.33]",Table,['Default']
119664,MainField,E-5,0x6c8d82c18909bf9d,Enemy_Chuchu_Junior,Surface6,Lookout Landing,0,,1,,,"[-272.14, 131.42, 176.27]",Table,['Default']
119665,MainField,E-5,0x6c8d82c1254667de,Enemy_Chuchu_Junior,Surface6,Lookout Landing,0,,1,,,"[-274.86, 134.69, 176.3]",Table,['Default']
124869,MainField,E-6,0xf2d15c7283bbee6e,Enemy_Chuchu_Junior,Surface50,Hyrule Field,0,,1,,,"[-838.27, 207.75, 1811.6]",Table,['Default']
125414,MainField,E-6,0x601a7189a36f7e9f,Enemy_Chuchu_Junior,Surface32,Hyrule Field,0,,1,,,"[-546.69, 127.11, 1431.22]",Table,['Default']
125416,MainField,E-6,0x63e6905b07e20e08,Enemy_Chuchu_Junior,Surface32,Hyrule Field,0,,1,,,"[-571.33, 127.29, 1442.95]",Table,['Default']
156920,MainField,F-6,0xf2d15c72609d7c68,Enemy_Chuchu_Junior,Surface49,Popla Foothills,0,,1,,,"[911.01, 141.03, 1930.6]",Table,['Default']
156922,MainField,F-6,0xf2d15c7266fb9617,Enemy_Chuchu_Junior,Surface49,Popla Foothills,0,,1,,,"[854.36, 126.28, 1874.18]",Table,['Default']
156924,MainField,F-6,0xf2d15c7296b0e389,Enemy_Chuchu_Junior,Surface49,Popla Foothills,0,,1,,,"[894.42, 140.76, 1968.56]",Table,['Default']
156926,MainField,F-6,0xf2d15c72525a0b97,Enemy_Chuchu_Junior,Surface49,Popla Foothills,0,,1,,,"[922.31, 140.75, 1948.27]",Table,['Default']
156928,MainField,F-6,0xf2d15c727b6b4ba5,Enemy_Chuchu_Junior,Surface49,Popla Foothills,0,,1,,,"[894.79, 129.4, 1886.65]",Table,['Default']
167325,MainField,F-8,0xf2d15c7249581ffe,Enemy_Chuchu_Junior,Surface74,Popla Foothills,0,,1,,,"[497.99, 129.73, 3116.44]",Table,['Default']
181250,MainField,G-3,0xf2d15c7265527c2d,Enemy_Chuchu_Junior,Surface17,Eldin Canyon,0,,1,,,"[1211.02, 135.52, -1065.33]",Table,['Default']
181251,MainField,G-3,0xf2d15c72c11fa46e,Enemy_Chuchu_Junior,Surface17,Eldin Canyon,0,,1,,,"[1209, 138.78, -1067.15]",Table,['Default']
181253,MainField,G-3,0xf2d15c720902a013,Enemy_Chuchu_Junior,Surface17,Eldin Canyon,0,,1,,,"[1148.13, 138.26, -1041.84]",Table,['Default']
181912,MainField,G-3,0x58bd5bc8464926d2,Enemy_Chuchu_Junior,Surface60,Eldin Canyon,0,,1,,,"[1013.75, 193.83, -1375.42]",Table,['Default']
185376,MainField,G-4,0xf2d15c722d349876,Enemy_Chuchu_Junior,Surface41,Sahasra Slope,0,,1,,,"[1103.26, 211.96, -448.24]",Table,['Default']
185883,MainField,G-4,0xea98da592f3ed6b3,Enemy_Chuchu_Junior,Surface17,Eldin Canyon,0,,1,,,"[1739.37, 115.92, -456.76]",Table,['Default']
187899,MainField,G-5,0x318c64b1b959369f,Enemy_Chuchu_Junior,Surface65,Sahasra Slope,0,,0,,,"[1245.61, 115.68, 425.77]",Table,['Default']
198296,MainField,G-7,0xf2d15c72220cadbd,Enemy_Chuchu_Junior,Surface49,Sahasra Slope,0,,1,,,"[1661.85, 125.91, 2161.2]",Table,['Default']
198298,MainField,G-7,0xf2d15c72e94e9c50,Enemy_Chuchu_Junior,Surface49,Rabella Wetlands,0,,1,,,"[1948.78, 152.35, 2359.83]",Table,['Default']
198299,MainField,G-7,0xf2d15c72550bc791,Enemy_Chuchu_Junior,Surface49,Rabella Wetlands,0,,1,,,"[1946.17, 155.62, 2359.07]",Table,['Default']
198334,MainField,G-7,0xf2d15c7218371638,Enemy_Chuchu_Junior,Surface49,Rabella Wetlands,0,,1,,,"[1955.55, 152.22, 2421.35]",Table,['Default']
198335,MainField,G-7,0xf2d15c72c3fcbe79,Enemy_Chuchu_Junior,Surface49,Rabella Wetlands,0,,1,,,"[1952.95, 155.49, 2422.17]",Table,['Default']
204106,MainField,G-8,0x1dd458fc1565ab84,Enemy_Chuchu_Junior,Surface59,Popla Foothills,0,,1,,,"[1320.28, 193.51, 3246.04]",Table,['Default']
204107,MainField,G-8,0xdf981c3862749147,Enemy_Chuchu_Junior,Surface59,Popla Foothills,0,,1,,,"[1319.59, 193.51, 3243.51]",Table,['Default']
204108,MainField,G-8,0x0488297025aa15b8,Enemy_Chuchu_Junior,Surface59,Popla Foothills,0,,1,,,"[1378.48, 255.01, 3229]",Table,['Default']
204109,MainField,G-8,0xdf29a986e1af202b,Enemy_Chuchu_Junior,Surface59,Popla Foothills,0,,1,,,"[1379.22, 254.08, 3231.29]",Table,['Default']
218923,MainField,H-4,0xf2d15c722a161b4f,Enemy_Chuchu_Junior,Surface85,Upland Zorana,0,,1,,,"[2757.3, 445.84, -571.2]",Table,['Default']
218925,MainField,H-4,0xf2d15c7278925c74,Enemy_Chuchu_Junior,Surface85,Upland Zorana,0,,1,,,"[2745.7, 445.41, -591.4]",Table,['Default']
219226,MainField,H-4,0x2769ae5e2c04ea36,Enemy_Chuchu_Junior,Surface85,Upland Zorana,0,,1,,,"[2838.24, 483.63, -539.35]",Table,['Default']
219845,MainField,H-4,0x77a7ef6fceacc7b9,Enemy_Chuchu_Junior,Surface84,Upland Zorana,0,,1,,,"[2506.75, 156.02, -111.02]",Table,['Default']
232355,MainField,H-7,0xf2d15c72a5717a06,Enemy_Chuchu_Junior,Surface1,Rabella Wetlands,0,,1,,,"[2024.39, 129.65, 2226.55]",Table,['Default']
232357,MainField,H-7,0xf2d15c727aa901e0,Enemy_Chuchu_Junior,Surface1,Rabella Wetlands,0,,1,,,"[2178.25, 126.72, 2007.36]",Table,['Default']
232358,MainField,H-7,0xf2d15c722676a921,Enemy_Chuchu_Junior,Surface1,Rabella Wetlands,0,,1,,,"[2180.89, 129.99, 2006.7]",Table,['Default']
232360,MainField,H-7,0xf2d15c7240984d11,Enemy_Chuchu_Junior,Surface1,Rabella Wetlands,0,,1,,,"[2113.2, 140.35, 2120.23]",Table,['Default']
232362,MainField,H-7,0xf2d15c722211f820,Enemy_Chuchu_Junior,Surface1,Rabella Wetlands,0,,1,,,"[2012.05, 155.54, 2101.24]",Table,['Default']
248032,MainField,I-3,0xa324a7db26c312bb,Enemy_Chuchu_Junior,Surface2,Ulri Mountain,0,,1,,,"[3147.15, 246.34, -1998.23]",Table,['Default']
248077,MainField,I-3,0xdb85822cc1c62b0e,Enemy_Chuchu_Junior,Surface2,Upland Zorana,0,,1,,,"[3678.01, 345.8, -1072.54]",Table,['Default']
248094,MainField,I-3,0x3dc82c0e04209305,Enemy_Chuchu_Junior,Surface2,Upland Zorana,0,,1,,,"[3303.61, 332.12, -1229.55]",Table,['Default']
255354,MainField,I-5,0x51a47695732a22ae,Enemy_Chuchu_Junior,Surface34,Upland Zorana,0,,0,,,"[3211.65, 287.06, 137.25]",Table,['Default']
263027,MainField,I-7,0x48394c953110f842,Enemy_Chuchu_Junior,Surface13,Mount Lanayru,0,,0,,,"[3167.69, 171.83, 2173.48]",Table,['Default']
263028,MainField,I-7,0x86be1400233020a1,Enemy_Chuchu_Junior,Surface13,Mount Lanayru,0,,0,,,"[3168.07, 171.86, 2176.62]",Table,['Default']
264276,MainField,I-7,0xf2d15c72cd3921cd,Enemy_Chuchu_Junior,Surface78,Mount Lanayru,0,,1,,,"[3864.22, 244.86, 2116.8]",Table,['Default']
270081,MainField,J-1,0xf2d15c72ea695014,Enemy_Chuchu_Junior,Surface20,Ulri Mountain,0,,1,,,"[4047.01, 306.68, -3218.77]",Table,['Default']
270083,MainField,J-1,0xf2d15c72ff72a543,Enemy_Chuchu_Junior,Surface20,Ulri Mountain,0,,1,,,"[4085.45, 287.23, -3056.48]",Table,['Default']
272387,MainField,J-2,0xf2d15c728a719afd,Enemy_Chuchu_Junior,Surface20,Ulri Mountain,0,,1,,,"[4272.75, 257.52, -2906.29]",Table,['Default']
515725,MainField,Sky__StartIslandMerge2 ,0xd9a4d20aa4f3f8cf,Enemy_Chuchu_Junior,Sky94,,0,,0,,,"[22.87, 1498.06, 1470.65]",Table,['Default']
515726,MainField,Sky__StartIslandMerge2 ,0xb3f0905691a45764,Enemy_Chuchu_Junior,Sky94,,0,,0,,,"[68.71, 1498.2, 1471.51]",Table,['Default']
515727,MainField,Sky__StartIslandMerge2 ,0xf3544a2908664b3b,Enemy_Chuchu_Junior,Sky94,,0,,0,,,"[88.03, 1495.5, 1318.31]",Table,['Default']
515728,MainField,Sky__StartIslandMerge2 ,0xbf813c58d244f8d3,Enemy_Chuchu_Junior,Sky94,,0,,0,,,"[85.21, 1495.48, 1319.8]",Table,['Default']
515729,MainField,Sky__StartIslandMerge2 ,0x59955e18ec5a0bd1,Enemy_Chuchu_Junior,Sky94,,0,,0,,,"[170.06, 1495.87, 1346.54]",Table,['Default']
515730,MainField,Sky__StartIslandMerge2 ,0x1ae2ef80b0176271,Enemy_Chuchu_Junior,Sky94,,0,,0,,,"[172.43, 1495.86, 1345.78]",Table,['Default']
515748,MainField,Sky__StartIslandMerge2 ,0xd6a67bac002c5ebd,Enemy_Chuchu_Junior,Sky94,,0,,0,,,"[107.24, 1495.83, 1305.47]",Table,['Default']
515749,MainField,Sky__StartIslandMerge2 ,0x772924ae282e49a5,Enemy_Chuchu_Junior,Sky94,,0,,0,,,"[109.42, 1495.8, 1307.57]",Table,['Default']
516139,MainField,Sky__StartIslandMerge2 ,0x93a53f6867131895,Enemy_Chuchu_Junior,Sky94,,0,,0,,,"[442.46, 1481.22, 1541.95]",Table,['Default']
516586,MainField,Sky__StartIslandMerge2 ,0x4991f16c087807f7,Enemy_Chuchu_Junior,Sky94,,0,,0,,,"[478.14, 1496.3, 1573.68]",Table,['Default']
519993,MainField,Sky__StartIslandMerge2 ,0x753148b0ac29bfe2,Enemy_Chuchu_Junior,Sky94,,0,,1,,,"[86.95, 1489.19, 1589.03]",Table,['Default']
519994,MainField,Sky__StartIslandMerge2 ,0xceddbaa7a69bbf3c,Enemy_Chuchu_Junior,Sky94,,0,,1,,,"[87.48, 1489.2, 1593.55]",Table,['Default']
542366,MainField,Cave__Cave_LanayruMountain_0010_GroupSet_000 ,0x8d178f333f5380cb,Enemy_Chuchu_Junior,Cave38,,0,,1,,,"[3487.28, 113.48, 1036.55]",Table,['Default']
542646,MainField,Cave__Cave_LanayruMountain_0014_GroupSet_000 ,0xd3f4f827529a3688,Enemy_Chuchu_Junior,Cave13,,0,,1,,,"[2391.98, 103.28, 1448.87]",Table,['Default']
542648,MainField,Cave__Cave_LanayruMountain_0014_GroupSet_000 ,0x9e83195adf2e6af9,Enemy_Chuchu_Junior,Cave13,,0,,1,,,"[2467.53, 119.12, 1492.32]",Table,['Default']
542658,MainField,Cave__Cave_LanayruMountain_0014_GroupSet_000 ,0x07e6dc6d138e872c,Enemy_Chuchu_Junior,Cave13,,0,,1,,,"[2381.58, 92.11, 1475.49]",Table,['Default']
542659,MainField,Cave__Cave_LanayruMountain_0014_GroupSet_000 ,0x28a384d6034f59ca,Enemy_Chuchu_Junior,Cave13,,0,,1,,,"[2386.05, 92.11, 1481.87]",Table,['Default']
542660,MainField,Cave__Cave_LanayruMountain_0014_GroupSet_000 ,0xd869cb36ab4c4966,Enemy_Chuchu_Junior,Cave13,,0,,1,,,"[2378.29, 92.11, 1482.55]",Table,['Default']
542664,MainField,Cave__Cave_LanayruMountain_0014_GroupSet_000 ,0x73595433ea284c2c,Enemy_Chuchu_Junior,Cave13,,0,,1,,,"[2440.38, 56.1, 1500.17]",Table,['Default']
