objid,map_type,map_name,hash_id,name,fieldarea,region,scale,equip,map_static,korok_id,korok_type,pos,drop.type,drop.value
52735,MainField,C-2,0x116508a2695329fd,Enemy_Giant_Junior,Surface48,Pikida Stonegrove,0,,1,,,"[-2825, 509.11, -2433]",Table,['Default']
56545,MainField,C-3,0x590e090419f507d1,Enemy_Giant_Junior,Surface81,Lindor's Brow,0,"['GiantGreave_Wood_L', 'GiantGreave_Wood_R']",1,,,"[-2735.93, 265.35, -1334.03]",Table,['Default']
60386,MainField,C-4,0xa92a806d9149143e,Enemy_Giant_Junior,Surface63,Lindor's Brow,0,['GiantGreave_Wood_L'],1,,,"[-2221.12, 208.23, -758.69]",Table,['Default']
81217,MainField,D-2,0x5cf3966859b4a73b,Enemy_Giant_Junior,Surface60,Lindor's Brow,0,['GiantGreave_Wood_R'],1,,,"[-1245.5, 211, -2108.5]",Table,['Default']
88639,MainField,D-4,0x3b02c7f53eec4402,Enemy_Giant_Junior,Surface35,Lookout Landing,0,,1,,,"[-1080.39, 141.05, -462.47]",Table,['Default']
106136,MainField,E-2,0x3b76ae4c48b0a312,Enemy_Giant_Junior,Surface60,Thyphlo Ruins,0,"['GiantGreave_Wood_L', 'GiantGreave_Wood_R']",1,,,"[-407.47, 281.83, -2011.41]",Table,['Default']
108615,MainField,E-3,0x9e17d1551063fd24,Enemy_Giant_Junior,Surface26,Thyphlo Ruins,0,['GiantGreave_Iron_R'],1,,,"[-742.31, 186.96, -1262.77]",Table,['Default']
157211,MainField,F-6,0x903b7128225feb09,Enemy_Giant_Junior,Surface1,Popla Foothills,0,,1,,,"[692.68, 116.69, 1080.79]",Table,['Default']
185501,MainField,G-4,0xf888e395d2b008ff,Enemy_Giant_Junior,Surface17,Eldin Canyon,0,,1,,,"[1305.27, 132.74, -910.26]",Table,['Default']
194014,MainField,G-6,0xbc68eed374c9e0ed,Enemy_Giant_Junior,Surface1,Sahasra Slope,0,,1,,,"[1469.5, 203.95, 1329.5]",Table,['Default']
227756,MainField,H-6,0xa1a046102817b2a1,Enemy_Giant_Junior,Surface1,Rabella Wetlands,0,"['GiantGreave_Wood_L', 'GiantGreave_Wood_R']",1,,,"[2051.05, 125.15, 2003.66]",Table,['Default']
535940,MainField,Cave__Cave_HateruEast_0007_GroupSet_000 ,0xfcfc709f7eb81854,Enemy_Giant_Junior,Cave59,,0,['GiantGreave_Wood_L'],1,,,"[1878.61, 65.56, 2948.36]",Table,['Default']
540907,MainField,Cave__Cave_HyruleRidge_0005_GroupSet_000 ,0xb55cec0424d8dc0a,Enemy_Giant_Junior_KeyCrystal,Cave64,,0,['GiantGreave_Iron_L'],1,,,"[-2274.74, 211.15, 723]",Table,['Default']
363759,MinusField,D-5,0xf544f6502a3e3793,Enemy_Giant_Junior,Depths6,,0,,1,,,"[-1069.78, -372.86, 821.39]",Table,['Minus']
370556,MinusField,D-7,0xc6fa2a701f189828,Enemy_Giant_Junior,Depths73,,0,['GiantGreave_Iron_L'],1,,,"[-1439.15, -451.19, 2365.97]",Table,['Minus']
392419,MinusField,E-6,0xc30cf78bc44c0fdf,Enemy_Giant_Junior,Depths32,,0,['GiantGreave_Wood_R'],1,,,"[46.43, -361.14, 1334.85]",Table,['Minus']
412537,MinusField,F-5,0x57c517af929d6f99,Enemy_Giant_Junior,Depths32,,0,,1,,,"[366.15, -371.6, 6.83]",Table,['Minus']
