objid,map_type,map_name,hash_id,name,fieldarea,region,scale,equip,map_static,korok_id,korok_type,pos,drop.type,drop.value
9327,MainField,A-6,0xbc5ea07d009de5c0,Enemy_Giant_Senior,Surface0,Gerudo Highlands,0,['GiantGreave_Iron_R'],1,,,"[-4205, 533.63, 1292]",Table,['Default']
134501,MainField,F-1,0xa8ecbb3dd76cdb92,Enemy_Giant_Senior,Surface51,Thyphlo Ruins,0,['GiantGreave_Iron_R'],1,,,"[839.78, 303.9, -3362.72]",Table,['Default']
198389,MainField,G-7,0x0647517aefa56d14,Enemy_Giant_Senior,Surface104,Popla Foothills,0,['GiantGreave_Iron_R'],1,,,"[1562.2, 297.67, 2416.01]",Table,['Default']
198508,MainField,G-7,0x55a5b957268f831c,Enemy_Giant_Senior,Surface29,Popla Foothills,0,"['GiantGreave_Wood_L', 'GiantGreave_Wood_R']",1,,,"[1098.12, 173.17, 2872.43]",Table,['Default']
203858,MainField,G-8,0x76855b8538d6ba5c,Enemy_Giant_Senior,Surface62,Popla Foothills,0,['GiantGreave_Iron_R'],1,,,"[1687.42, 107.93, 3873.21]",Table,['Default']
274259,MainField,J-3,0x16c1c0e951726cf2,Enemy_Giant_Senior,Surface103,Ulri Mountain,0,['GiantGreave_Iron_L'],1,,,"[4643.45, 135.52, -1777.71]",Table,['Default']
522556,MainField,Cave__Cave_Akkala_0014_GroupSet_000 ,0xa8b4a33af0c8ba1a,Enemy_Giant_Senior,Cave30,,0,['GiantGreave_Iron_L'],1,,,"[4603.26, 39.55, -3529.64]",Table,['Default']
536152,MainField,Cave__Cave_HateruEast_0008_GroupSet_000 ,0x4ebbd69217f36245,Enemy_Giant_Senior,Cave59,,0,"['GiantGreave_Iron_L', 'GiantGreave_Wood_R']",1,,,"[2025.49, 201.22, 3061.28]",Table,['Default']
550773,MainField,Castle__Set_HyruleCastle_IslandGround_A ,0x616e23e474182bf0,Enemy_Giant_Senior,Surface79,Lookout Landing,0,['GiantGreave_Iron_R'],1,,,"[-154, 320.46, -1063.87]",Table,['Default']
291586,MinusField,A-6,0xb5e98e133529f133,Enemy_Giant_Senior,Depths0,,0,"['GiantGreave_Wood_L', 'GiantGreave_Wood_R']",1,,,"[-4205, -766.22, 1292]",Table,['Minus']
299419,MinusField,B-1,0x45e39bde50476938,Enemy_Giant_Senior,Depths5,,0,['GiantGreave_Wood_L'],1,,,"[-3654.67, -572.86, -3806.21]",Table,['Minus']
328035,MinusField,C-2,0xef4f162c00c0f247,Enemy_Giant_Senior,Depths48,,0,['GiantGreave_Iron_L'],1,,,"[-2783, -652.46, -2031]",Table,['Minus']
376859,MinusField,E-2,0xba4e29ca3f91075e,Enemy_Giant_Senior,Depths8,,0,"['GiantGreave_Iron_L', 'GiantGreave_Wood_R']",1,,,"[-146.27, -516.04, -2382.3]",Table,['Minus']
437106,MinusField,G-6,0xf35a26496b3679c4,Enemy_Giant_Senior,Depths1,,0,['GiantGreave_Iron_R'],1,,,"[1469.5, -444.25, 1329.5]",Table,['Minus']
444347,MinusField,G-8,0x0661956f9bf66afb,Enemy_Giant_Senior,Depths62,,0,['GiantGreave_Iron_L'],1,,,"[1687.42, -350.59, 3873.21]",Table,['Minus']
457529,MinusField,H-6,0xe6c3ed13ba840604,Enemy_Giant_Senior,Depths1,,0,['GiantGreave_Wood_L'],1,,,"[2051.05, -367.46, 2003.66]",Table,['Minus']
491457,MinusField,J-3,0x5cb00ac1d7a7160e,Enemy_Giant_Senior,Depths101,,0,['GiantGreave_Iron_R'],1,,,"[4643.45, -376.89, -1777.71]",Table,['Minus']
