objid,map_type,map_name,hash_id,name,fieldarea,region,scale,equip,map_static,korok_id,korok_type,pos,drop.type,drop.value
4538,MainField,A-3,0xa2d02d120bda48f8,Enemy_Golem_Fort_A,Surface42,Rospro Pass,0,,1,,,"[-4393.3, 217.01, -1935.44]",Table,['Default']
9322,MainField,A-6,0xff4ac66752f905d8,Enemy_Golem_Fort_A_Wander,Surface4,Gerudo Highlands,0,,1,,,"[-3987.39, 415.7, 1703.11]",Table,['Default']
25595,MainField,B-3,0x79445515edd8fce0,Enemy_Golem_Fort_A,Surface42,Lindor's Brow,0,,1,,,"[-3108.95, 261.84, -1287.41]",Table,['Default']
65130,MainField,C-5,0x2a3accc147bccd6e,Enemy_Golem_Fort_A_Wander,Surface80,Lindor's Brow,0,,1,,,"[-2549.97, 233.92, 111.19]",Table,['Default']
85479,MainField,D-3,0x74ec48d8ba87a935,Enemy_Golem_Fort_A,Surface26,Lindor's Brow,0,,1,,,"[-1447.52, 242.71, -1026.16]",Table,['Default']
92303,MainField,D-5,0xe875af7d3147dab4,Enemy_Golem_Fort_A,Surface32,Hyrule Field,0,,1,,,"[-1363.55, 115.52, 789.26]",Table,['Default']
96599,MainField,D-6,0x2d602ffeb7e15f1d,Enemy_Golem_Fort_A,Surface46,Hyrule Field,0,,1,,,"[-1091.63, 179.29, 1659.36]",Table,['Default']
114078,MainField,E-4,0x8e372f5fc7b6301e,Enemy_Golem_Fort_A,Surface35,Lookout Landing,0,,1,,,"[-769.93, 152.43, -811.48]",Table,['Default']
119130,MainField,E-5,0xc8344ccd6156d492,Enemy_Golem_Fort_A,Surface6,Hyrule Field,0,,1,,,"[-108.73, 140.85, 802.02]",Table,['Default']
146945,MainField,F-4,0xbaf3305cb95b2dd0,Enemy_Golem_Fort_A_Wander,Surface41,Sahasra Slope,0,,1,,,"[677.46, 134.38, -505.96]",Table,['Default']
147052,MainField,F-4,0x095e11fc2cbfa049,Enemy_Golem_Fort_A,Surface76,Lookout Landing,0,,1,,,"[202.12, 133.28, -530.8]",Table,['Default']
157585,MainField,F-6,0x2322a8bebd0f7fe3,Enemy_Golem_Fort_A,Surface1,Popla Foothills,0,,1,,,"[769.78, 129.7, 1222.98]",Table,['Default']
158005,MainField,F-6,0x8e303aa742bbb13d,Enemy_Golem_Fort_A,Surface49,Popla Foothills,0,,1,,,"[587.39, 170.19, 1934.18]",Table,['Default']
194473,MainField,G-6,0x8bbc0e002d24b183,Enemy_Golem_Fort_A_Wander,Surface1,Sahasra Slope,0,,1,,,"[1256.26, 214.63, 1164.91]",Table,['Default']
214419,MainField,H-3,0x07613da693074980,Enemy_Golem_Fort_A,Surface2,Ulri Mountain,0,,1,,,"[2973.52, 390.09, -1488.47]",Table,['Default']
247652,MainField,I-3,0x3ef49f0bd3563b0f,Enemy_Golem_Fort_A,Surface33,Upland Zorana,0,,1,,,"[3951.37, 348.58, -1188.88]",Table,['Default']
268216,MainField,I-8,0xcd0989174bf08844,Enemy_Golem_Fort_A,Surface61,Rabella Wetlands,0,,1,,,"[3276.87, 132.97, 3408.11]",Table,['Default']
272624,MainField,J-2,0xd2afa346a5eff9e8,Enemy_Golem_Fort_A,Surface2,Ulri Mountain,0,,1,,,"[4180.83, 120.69, -2227.52]",Table,['Default']
285474,MinusField,A-3,0x0a32e1ff473cf93c,Enemy_Golem_Fort_A,Depths42,,0,,1,,,"[-4393.3, -456.72, -1935.44]",Table,['Minus']
305552,MinusField,B-3,0xc67aacbbedf509c4,Enemy_Golem_Fort_A,Depths42,,0,,1,,,"[-3108.02, -500.09, -1287.7]",Table,['Minus']
338142,MinusField,C-5,0x1579a104138da427,Enemy_Golem_Fort_A_Wander,Depths80,,0,,1,,,"[-2526.82, -471.38, 107.41]",Table,['Minus']
387974,MinusField,E-5,0x4d8931b696fc65dc,Enemy_Golem_Fort_A,Depths106,,0,,1,,,"[-108.73, -382.21, 802.02]",Table,['Minus']
448133,MinusField,H-3,0x51e4d30075bc4407,Enemy_Golem_Fort_A_Wander,Depths2,,0,,1,,,"[2985, -625.14, -1449]",Table,['Minus']
486867,MinusField,I-8,0x0393ea18be1dcfbd,Enemy_Golem_Fort_A,Depths61,,0,,1,,,"[3276.87, -374.99, 3408.1]",Table,['Minus']
