objid,map_type,map_name,hash_id,name,fieldarea,region,scale,equip,map_static,korok_id,korok_type,pos,drop.type,drop.value
18,MainField,A-1,0x77ffd343660528e4,Enemy_Golem_Little_Ice,Surface107,Rospro Pass,0,,0,,,"[-4335.56, 479.97, -3643.82]",Table,['Default']
19,MainField,A-1,0x77ffd34326151b72,Enemy_Golem_Little_Ice,Surface107,Rospro Pass,0,,0,,,"[-4333.52, 479.4, -3639.04]",Table,['Default']
20,MainField,A-1,0x77ffd343f2393a7d,Enemy_Golem_Little_Ice,Surface107,Rospro Pass,0,,0,,,"[-4328.61, 480.72, -3639.31]",Table,['Default']
21,MainField,A-1,0x77ffd3432c388a88,Enemy_Golem_Little_Ice,Surface107,Rospro Pass,0,,0,,,"[-4330.58, 481.57, -3643.17]",Table,['Default']
420,MainField,A-1,0x8ed633e7482375cf,Enemy_Golem_Little_Ice,Surface39,Rospro Pass,0,,0,,,"[-4175.39, 515.82, -3606.21]",Table,['Default']
421,MainField,A-1,0x9082ed617178c75b,Enemy_Golem_Little_Ice,Surface39,Rospro Pass,0,,0,,,"[-4171.4, 515.17, -3613.91]",Table,['Default']
422,MainField,A-1,0x61ac574c5b96bcab,Enemy_Golem_Little_Ice,Surface39,Rospro Pass,0,,0,,,"[-4167.35, 513.59, -3602.23]",Table,['Default']
1686,MainField,A-2,0x77ffd3432f149fab,Enemy_Golem_Little_Ice,Surface107,Rospro Pass,0,,0,,,"[-4217.3, 295.57, -2710.35]",Table,['Default']
1687,MainField,A-2,0x77ffd3430169be11,Enemy_Golem_Little_Ice,Surface107,Rospro Pass,0,,0,,,"[-4220.23, 296.43, -2716.28]",Table,['Default']
1688,MainField,A-2,0x77ffd34319e3a536,Enemy_Golem_Little_Ice,Surface107,Rospro Pass,0,,0,,,"[-4212.67, 297.2, -2714.71]",Table,['Default']
5087,MainField,A-5,0x77ffd343304e04e4,Enemy_Golem_Little_Ice,Surface0,Gerudo Highlands,0,,0,,,"[-4423.68, 619.71, 824.77]",Table,['Default']
5088,MainField,A-5,0x77ffd343b8f942d1,Enemy_Golem_Little_Ice,Surface0,Gerudo Highlands,0,,0,,,"[-4414.8, 620.87, 825.9]",Table,['Default']
5089,MainField,A-5,0x77ffd343aac31944,Enemy_Golem_Little_Ice,Surface0,Gerudo Highlands,0,,0,,,"[-4419.95, 620.19, 819.45]",Table,['Default']
5090,MainField,A-5,0x77ffd343f0d5469c,Enemy_Golem_Little_Ice,Surface0,Gerudo Highlands,0,,0,,,"[-4214.92, 782.68, 742.98]",Table,['Default']
5091,MainField,A-5,0x77ffd3435027f111,Enemy_Golem_Little_Ice,Surface0,Gerudo Highlands,0,,0,,,"[-4185.91, 782.93, 788.31]",Table,['Default']
5092,MainField,A-5,0x77ffd3437892aa10,Enemy_Golem_Little_Ice,Surface0,Gerudo Highlands,0,,0,,,"[-4155.2, 783.86, 779.26]",Table,['Default']
5093,MainField,A-5,0x77ffd34330e23450,Enemy_Golem_Little_Ice,Surface0,Gerudo Highlands,0,,0,,,"[-4107.69, 782.84, 772.76]",Table,['Default']
5094,MainField,A-5,0x77ffd343c41f5374,Enemy_Golem_Little_Ice,Surface0,Gerudo Highlands,0,,0,,,"[-4078.86, 783.43, 810.15]",Table,['Default']
5095,MainField,A-5,0x77ffd343a0e11760,Enemy_Golem_Little_Ice,Surface0,Gerudo Highlands,0,,0,,,"[-4057.33, 779.89, 793.01]",Table,['Default']
5096,MainField,A-5,0x77ffd3435a791c1e,Enemy_Golem_Little_Ice,Surface0,Gerudo Highlands,0,,0,,,"[-4015.89, 783.18, 817.76]",Table,['Default']
5097,MainField,A-5,0x77ffd3439d16b308,Enemy_Golem_Little_Ice,Surface0,Gerudo Highlands,0,,0,,,"[-4005.79, 784.5, 793.82]",Table,['Default']
5098,MainField,A-5,0x77ffd343f1b7cb31,Enemy_Golem_Little_Ice,Surface0,Gerudo Highlands,0,,0,,,"[-4423.61, 614.45, 561.17]",Table,['Default']
5099,MainField,A-5,0x77ffd343d6872ccb,Enemy_Golem_Little_Ice,Surface0,Gerudo Highlands,0,,0,,,"[-4414.94, 613.99, 565.12]",Table,['Default']
5100,MainField,A-5,0x77ffd343dec1808c,Enemy_Golem_Little_Ice,Surface0,Gerudo Highlands,0,,0,,,"[-4432.07, 614.79, 563.68]",Table,['Default']
5101,MainField,A-5,0x77ffd343c400ece7,Enemy_Golem_Little_Ice,Surface0,Gerudo Highlands,0,,0,,,"[-4416.57, 614.28, 575.38]",Table,['Default']
5102,MainField,A-5,0x77ffd34313266c29,Enemy_Golem_Little_Ice,Surface0,Gerudo Highlands,0,,0,,,"[-4426.8, 614.37, 576.03]",Table,['Default']
5103,MainField,A-5,0x77ffd343986ac4af,Enemy_Golem_Little_Ice,Surface0,Gerudo Highlands,0,,0,,,"[-4421.72, 614.35, 576.63]",Table,['Default']
5104,MainField,A-5,0x77ffd3437c37f764,Enemy_Golem_Little_Ice,Surface0,Gerudo Highlands,0,,0,,,"[-4259.69, 776.32, 701.94]",Table,['Default']
5105,MainField,A-5,0x77ffd343ec8e8beb,Enemy_Golem_Little_Ice,Surface0,Gerudo Highlands,0,,0,,,"[-4247.02, 780.86, 730.42]",Table,['Default']
5119,MainField,A-5,0x77ffd343df7ed2ea,Enemy_Golem_Little_Ice,Surface0,Gerudo Highlands,0,,0,,,"[-4345.8, 714.26, 694.26]",Table,['Default']
5120,MainField,A-5,0x77ffd343b0fb788d,Enemy_Golem_Little_Ice,Surface0,Gerudo Highlands,0,,0,,,"[-4351.75, 714.19, 701.96]",Table,['Default']
7901,MainField,A-6,0x957db6cd3bcc0c7a,Enemy_Golem_Little_Ice,Surface0,Gerudo Highlands,0,,0,,,"[-4179.32, 597.78, 1171.02]",Table,['Default']
7902,MainField,A-6,0xc592255d5c3fdedc,Enemy_Golem_Little_Ice,Surface0,Gerudo Highlands,0,,0,,,"[-4185.05, 597.53, 1176.25]",Table,['Default']
7903,MainField,A-6,0xaf5da694bac367e5,Enemy_Golem_Little_Ice,Surface0,Gerudo Highlands,0,,0,,,"[-4189.12, 598.05, 1172.96]",Table,['Default']
7904,MainField,A-6,0x7e43a8378796e7b1,Enemy_Golem_Little_Ice,Surface0,Gerudo Highlands,0,,0,,,"[-4177.83, 598.16, 1164.35]",Table,['Default']
7905,MainField,A-6,0xda317e08340b3e6a,Enemy_Golem_Little_Ice,Surface0,Gerudo Highlands,0,,0,,,"[-4186.3, 598.65, 1161.64]",Table,['Default']
17724,MainField,B-2,0x77ffd343bfd72dfd,Enemy_Golem_Little_Ice,Surface3,Rospro Pass,0,,0,,,"[-3302.83, 491.09, -2391.38]",Table,['Default']
17725,MainField,B-2,0x77ffd34382d7c227,Enemy_Golem_Little_Ice,Surface3,Rospro Pass,0,,0,,,"[-3302.65, 491.54, -2399.41]",Table,['Default']
17726,MainField,B-2,0x77ffd343a4d4a780,Enemy_Golem_Little_Ice,Surface3,Rospro Pass,0,,0,,,"[-3299.65, 491.17, -2404.76]",Table,['Default']
18973,MainField,B-2,0xa3e1fd8eb3e75761,Enemy_Golem_Little_Ice,Surface3,Rospro Pass,0,,0,,,"[-3106.41, 611.17, -2696.39]",Table,['Default']
18974,MainField,B-2,0x906fb28ab27c65e8,Enemy_Golem_Little_Ice,Surface3,Rospro Pass,0,,0,,,"[-3170.56, 655.36, -2672.19]",Table,['Default']
23166,MainField,B-3,0x47a5c69f2982f680,Enemy_Golem_Little,Surface102,Lindor's Brow,0,,0,,,"[-3870.79, 202.97, -1003.47]",Table,['Default']
23167,MainField,B-3,0x47a5c69f73207bc9,Enemy_Golem_Little,Surface102,Lindor's Brow,0,,0,,,"[-3874.59, 204.21, -1001.23]",Table,['Default']
23168,MainField,B-3,0x47a5c69fc783ba29,Enemy_Golem_Little,Surface102,Lindor's Brow,0,,0,,,"[-3872.19, 204.84, -998.07]",Table,['Default']
24227,MainField,B-3,0x498e1ab6c1f9d2d0,Enemy_Golem_Little,Surface42,Lindor's Brow,0,,0,,,"[-3642.82, 292.19, -1120.7]",Table,['Default']
24228,MainField,B-3,0x7af066a3e176c5d8,Enemy_Golem_Little,Surface42,Lindor's Brow,0,,0,,,"[-3660.67, 297.1, -1129.64]",Table,['Default']
