objid,map_type,map_name,hash_id,name,fieldarea,region,scale,equip,map_static,korok_id,korok_type,pos,drop.type,drop.value
65120,MainField,C-5,0x91196803c773911b,Enemy_Golem_Middle,Surface80,Hyrule Field,0,,1,,,"[-2859.64, 117.11, 521.29]",Table,['Default']
65124,MainField,C-5,0x4e4e6c7d9cae26a6,Enemy_Golem_Middle,Surface64,Hyrule Field,0,,1,,,"[-2220.96, 372.98, 584.75]",Table,['Default']
134755,MainField,F-1,0x4623f33dad0e444c,Enemy_Golem_Middle,Surface98,Thyphlo Ruins,0,,1,,,"[703.36, 200.14, -3692.48]",Table,['Default']
207192,MainField,H-1,0x5bd5ecba112d0b4f,Enemy_Golem_Middle,Surface7,Eldin Canyon,0,,1,,,"[2710.32, 345.03, -3303.08]",Table,['Default']
219090,MainField,H-4,0xecefb79d9e415512,Enemy_Golem_Middle,Surface92,Upland Zorana,0,,1,,,"[2483.14, 171.63, -908.03]",Table,['Default']
259956,MainField,I-6,0xe64dbd63e0d23353,Enemy_Golem_Middle,Surface13,Mount Lanayru,0,,1,,,"[3028.71, 112.74, 1778.32]",Table,['Default']
264579,MainField,I-7,0x1865a6ec7c7861e6,Enemy_Golem_Middle,Surface13,Rabella Wetlands,0,,1,,,"[3195.44, 171.59, 2958.09]",Table,['Default']
276641,MainField,J-4,0x0a62ee59130b8f0d,Enemy_Golem_Middle,Surface85,Upland Zorana,0,,1,,,"[4190.79, 456.06, -517.8]",Table,['Default']
521722,MainField,Cave__Cave_Akkala_0000_GroupSet_000 ,0x2b3fe52a6caf1339,Enemy_Golem_Middle,Cave56,,0,,0,,,"[4140.51, 290.34, -543.27]",Table,['Default']
537132,MainField,Cave__Cave_HateruWest_0002_GroupSet_000 ,0x6091ab72cdf594eb,Enemy_Golem_Middle,Cave93,,0,,1,,,"[1482.94, 115.84, 974.86]",Table,['Default']
545284,MainField,Cave__Cave_Lanayru_0052_GroupSet_000 ,0x0906aa3075dac0b6,Enemy_Golem_Middle,Cave41,,0,,0,,,"[574.62, 114.57, -766.05]",Table,['Default']
546646,MainField,Cave__Pln_Fld_Zora_AncientFacility__01_01 ,0x20c5127954a93fef,Enemy_Golem_Middle,Cave34,,0,,0,,,"[3627.83, 2.09, -274.19]",Table,['Default']
548266,MainField,Cave__Well_0023_GroupSet_000 ,0xd4052bb4d763530a,Enemy_Golem_Middle,Cave49,,0,,1,,,"[340.1, 61.32, 1983.74]",Table,['Default']
338136,MinusField,C-5,0x2a25c9f78a0f9b4a,Enemy_Golem_Middle,Depths64,,0,,1,,,"[-2221, -609.08, 584.72]",Table,['Minus']
376855,MinusField,E-2,0xb7ef625e5015d6f6,Enemy_Golem_Middle,Depths16,,0,,1,,,"[-394.2, -492.04, -2955.85]",Table,['Minus']
400156,MinusField,F-1,0x935dae7e00dece65,Enemy_Golem_Middle,Depths96,,0,,1,,,"[950.56, -449.85, -3673.3]",Table,['Minus']
444349,MinusField,G-8,0x6ea9541eac4066e2,Enemy_Golem_Middle,Depths36,,0,,1,,,"[1056.38, -372.31, 3417.4]",Table,['Minus']
445223,MinusField,H-1,0xb8a49b6d5aa80473,Enemy_Golem_Middle,Depths7,,0,,1,,,"[2479.1, -666.05, -3637.16]",Table,['Minus']
482108,MinusField,I-6,0x31ce610b1b72745a,Enemy_Golem_Middle,Depths13,,0,,1,,,"[3028.87, -354.99, 1778.51]",Table,['Minus']
489719,MinusField,J-2,0x153c7a1611df1b0b,Enemy_Golem_Middle,Depths54,,0,,1,,,"[4677.84, -350.03, -2998.33]",Table,['Minus']
493205,MinusField,J-4,0x9ece413ffbba89c7,Enemy_Golem_Middle,Depths85,,0,,1,,,"[4190.79, -690.4, -517.8]",Table,['Minus']
495942,MinusField,J-6,0x5850ab403c827598,Enemy_Golem_Middle,Depths38,,0,,1,,,"[4057.05, -652.92, 1056.16]",Table,['Minus']
