objid,map_type,map_name,hash_id,name,fieldarea,region,scale,equip,map_static,korok_id,korok_type,pos,drop.type,drop.value
29089,MainField,B-4,0x1c7c244509c54893,Enemy_Golem_Senior,Surface83,Lindor's Brow,0,,1,,,"[-3491.19, 0.2, -171.04]",Table,['Default']
73516,MainField,C-7,0xaf929368fea0a7ac,Enemy_Golem_Senior,Surface73,Gerudo Canyon,0,,1,,,"[-2306.2, 463.01, 2453.25]",Table,['Default']
106123,MainField,E-2,0xefedeffc84eafebd,Enemy_Golem_Senior,Surface16,Thyphlo Ruins,0,,1,,,"[-394.11, 253.1, -2955.79]",Table,['Default']
167557,MainField,F-8,0x54bf1eb01da20d3f,Enemy_Golem_Senior,Surface24,Popla Foothills,0,,1,,,"[524.28, 164.53, 3710.4]",Table,['Default']
204077,MainField,G-8,0xdd08e05aa506f3d0,Enemy_Golem_Senior,Surface36,Popla Foothills,0,,1,,,"[1018.71, 128.54, 3383.13]",Table,['Default']
204081,MainField,G-8,0xf07235d51ce7dea0,Enemy_Golem_Senior,Surface59,Popla Foothills,0,,1,,,"[1825.59, 132.59, 3495.33]",Table,['Default']
272421,MainField,J-2,0xa002f270c495bb3f,Enemy_Golem_Senior,Surface54,Ulri Mountain,0,,1,,,"[4677.88, 107.77, -2998.28]",Table,['Default']
534231,MainField,Cave__Cave_GerudoHighlands_0002_GroupSet_000 ,0xabd0710e7c9d97f1,Enemy_Golem_Senior,Cave4,,0,,0,,,"[-2599.58, 282.85, 1781.64]",Table,['Default']
283180,MinusField,A-1,0x08873436a743aca3,Enemy_Golem_Senior,Depths39,,0,,1,,,"[-4432.53, -627.79, -3386.98]",Table,['Minus']
284674,MinusField,A-2,0xd60fd39368a2026e,Enemy_Golem_Senior,Depths3,,0,,1,,,"[-4499.8, -457.98, -2450.41]",Table,['Minus']
305544,MinusField,B-3,0x7cc43300dbf5f98f,Enemy_Golem_Senior,Depths42,,0,,1,,,"[-3386.52, -543.17, -1076.03]",Table,['Minus']
331169,MinusField,C-3,0x1c76763e93f3b99e,Enemy_Golem_Senior,Depths23,,0,,1,,,"[-2635.38, -304.84, -1491.78]",Table,['Minus']
409193,MinusField,F-4,0x4f3b9984c6189c54,Enemy_Golem_Senior,Depths41,,0,,1,,,"[697.14, -377.19, -513.47]",Table,['Minus']
437100,MinusField,G-6,0xc4df9ce9b313c7f7,Enemy_Golem_Senior,Depths93,,0,,1,,,"[1483.02, -493.04, 975.01]",Table,['Minus']
