objid,map_type,map_name,hash_id,name,fieldarea,region,scale,equip,map_static,korok_id,korok_type,pos,drop.type,drop.value
109611,MainField,E-4,0xca3f27af712cd4ce,Enemy_Horablin_Guard_Middle,Surface79,Lookout Landing,0,['Weapon_Lsword_108'],0,,,"[-293.46, 376.62, -1107.77]",Table,['Default']
522091,MainField,Cave__Cave_Akkala_0010_GroupSet_000 ,0x6563617ec6bcc679,Enemy_Horablin_Guard_Middle,Cave2,,0,"['Weapon_Spear_103', 'Weapon_Spear_021']",1,,,"[3278.7, 396.64, -1538.13]",Table,['Default']
531789,MainField,Cave__Cave_GerudoDesert_0040_GroupSet_000 ,0x0edeef4fe9b27921,Enemy_Horablin_Guard_Middle,Cave21,,0,"['Weapon_Spear_103', 'Weapon_Spear_021']",1,,,"[-3004.14, 103.72, 3763.09]",Table,['Default']
540109,MainField,Cave__Cave_HyruleForest_0008_GroupSet_000 ,0x2bad39fe5d68008b,Enemy_Horablin_Guard_Middle,Cave15,,0,"['Weapon_Spear_103', 'Weapon_Spear_021']",1,,,"[348.01, 170.92, -3495.72]",Table,['Default']
540110,MainField,Cave__Cave_HyruleForest_0008_GroupSet_000 ,0x2c3aba3122b7a35c,Enemy_Horablin_Guard_Middle,Cave15,,0,"['Weapon_Spear_108', 'Item_Mushroom_E']",1,,,"[366.88, 176.92, -3550.25]",Table,['Default']
540496,MainField,Cave__Cave_HyruleRidge_0002_GroupSet_000 ,0xf0d53aa4c0f01c62,Enemy_Horablin_Guard_Middle,Cave80,,0,"['Weapon_Spear_108', 'Weapon_Spear_021']",1,,,"[-2940.93, 119.77, 839.93]",Table,['Default']
543030,MainField,Cave__Cave_LanayruMountain_0016_GroupSet_000 ,0xdd46932eb3033603,Enemy_Horablin_Guard_Middle,Cave38,,0,['Weapon_Spear_103'],1,,,"[3972.56, 248.93, 2001.39]",Table,['Default']
440995,MinusField,G-7,0x9ba070c2c9aeeb0e,Enemy_Horablin_Guard_Middle,Depths102,,0,"['Weapon_Spear_103', 'Weapon_Spear_021']",1,,,"[1186.5, -504.07, 2436.19]",Table,['Minus']
444462,MinusField,G-8,0x029486310d063e06,Enemy_Horablin_Guard_Middle,Depths59,,0,"['Weapon_Spear_103', 'Weapon_Spear_021']",1,,,"[1505.7, -532.07, 3084.21]",Table,['Minus']
448142,MinusField,H-3,0x7f93922fcb426c75,Enemy_Horablin_Guard_Middle,Depths7,,0,"['Weapon_Spear_112', 'Weapon_Spear_021']",1,,,"[2361.9, -483.57, -1569.12]",Table,['Minus']
448151,MinusField,H-3,0xa3233525a84f9324,Enemy_Horablin_Guard_Middle,Depths7,,0,"['Weapon_Spear_112', 'Weapon_Spear_021']",1,,,"[2507.57, -491.07, -1706.74]",Table,['Minus']
