objid,map_type,map_name,hash_id,name,fieldarea,region,scale,equip,map_static,korok_id,korok_type,pos,drop.type,drop.value
180131,MainField,G-3,0xb6258f1f846b8464,Enemy_Horablin_Junior,Surface66,Eldin Canyon,1,['Weapon_Spear_106'],0,,,"[1638.3, 435.07, -1880.9]",Table,['Default']
180132,MainField,G-3,0x1018a6af15a3fcbe,Enemy_Horablin_Junior,Surface66,Eldin Canyon,0,['Weapon_Spear_106'],0,,,"[1631.57, 434.6, -1869.01]",Table,['Default']
227895,MainField,H-6,0x5b0fd99a96917dff,Enemy_Horablin_Junior,Surface13,Sahasra Slope,0,"['Weapon_Spear_103', 'Weapon_Spear_021']",1,,,"[2231.98, 143.9, 1524.34]",Table,['Default']
227896,MainField,H-6,0xa1e96556a2b7a836,Enemy_Horablin_Junior,Surface13,Sahasra Slope,0,"['Weapon_Spear_103', 'Weapon_Spear_021']",1,,,"[2236.4, 144.99, 1545]",Table,['Default']
522723,MainField,Cave__Cave_CentralHyrule_0008_GroupSet_000 ,0x3d542a3668c6f9c8,Enemy_Horablin_Junior,Cave6,,0,"['Weapon_Spear_103', 'AsbObj_RockParts_C_S_01']",1,,,"[28.75, 131.91, 190.03]",Table,['Default']
523965,MainField,Cave__Cave_CentralHyrule_0022_GroupSet_000 ,0xcb3e3bab850d8001,Enemy_Horablin_Junior,Cave76,,0,['Weapon_Spear_103'],1,,,"[-563.07, 142.39, -147.03]",Table,['Default']
523966,MainField,Cave__Cave_CentralHyrule_0022_GroupSet_000 ,0x1fe53ad3bb29d109,Enemy_Horablin_Junior,Cave76,,1,"['Weapon_Spear_106', 'Weapon_Spear_021']",1,,,"[-542.37, 141.93, -157.84]",Table,['Default']
524222,MainField,Cave__Cave_Eldin_0020_GroupSet_000 ,0x0d70a6f6bdb10680,Enemy_Horablin_Junior,Cave44,,0,['Weapon_Spear_106'],1,,,"[2733.98, 635.57, -2753.92]",Table,['Default']
526191,MainField,Cave__Cave_Eldin_0031_GroupSet_000 ,0x0a115154da699f4d,Enemy_Horablin_Junior,Cave7,,0,['Weapon_Spear_106'],1,,,"[2440.69, 251.64, -1813.06]",Table,['Default']
526326,MainField,Cave__Cave_Eldin_0033_GroupSet_000 ,0x64b48da2f4c6367f,Enemy_Horablin_Junior,Cave67,,0,['Weapon_Spear_106'],1,,,"[1792.73, 492.17, -2913.38]",Table,['Default']
526465,MainField,Cave__Cave_Eldin_0034_GroupSet_000 ,0xc0dba2ffc6f7b1ae,Enemy_Horablin_Junior,Cave67,,0,"['Weapon_Spear_106', 'Weapon_Spear_021']",1,,,"[1689.55, 498.08, -2778.98]",Table,['Default']
526643,MainField,Cave__Cave_Eldin_0035_GroupSet_000 ,0x464206c17875bd91,Enemy_Horablin_Junior,Cave66,,0,"['Weapon_Spear_106', 'Weapon_Spear_021']",1,,,"[2072.34, 539.03, -2689.58]",Table,['Default']
526645,MainField,Cave__Cave_Eldin_0035_GroupSet_000 ,0x846baa733b5d602d,Enemy_Horablin_Junior,Cave66,,0,"['Weapon_Spear_106', 'AsbObj_SharpRock_A_S_01']",1,,,"[2066.15, 538.43, -2666.07]",Table,['Default']
528031,MainField,Cave__Cave_Firone_0029_GroupSet_000 ,0x68d1635e49ac3c4e,Enemy_Horablin_Junior,Cave24,,1,"['Weapon_Spear_103', 'Weapon_Spear_021']",1,,,"[282.98, 158.31, 3873.97]",Table,['Default']
537126,MainField,Cave__Cave_HateruWest_0002_GroupSet_000 ,0x49abae9cd4cc2d54,Enemy_Horablin_Junior,Cave19,,0,['Weapon_Spear_103'],1,,,"[1533.04, 130.93, 1120.3]",Table,['Default']
537127,MainField,Cave__Cave_HateruWest_0002_GroupSet_000 ,0x9ba7f0edb47b6bd5,Enemy_Horablin_Junior,Cave93,,0,['Weapon_Spear_103'],1,,,"[1550.03, 130.73, 1118.81]",Table,['Default']
537128,MainField,Cave__Cave_HateruWest_0002_GroupSet_000 ,0x9f5fc333af49f2e0,Enemy_Horablin_Junior,Cave93,,1,"['Weapon_Spear_103', 'Weapon_Spear_021']",1,,,"[1536.03, 126.2, 1099.31]",Table,['Default']
537254,MainField,Cave__Cave_HateruWest_0008_GroupSet_000 ,0xa566548e5e609436,Enemy_Horablin_Junior,Cave1,,0,['Weapon_Spear_103'],0,,,"[1381.71, 249.08, 1150.31]",Table,['Default']
