objid,map_type,map_name,hash_id,name,fieldarea,region,scale,equip,map_static,korok_id,korok_type,pos,drop.type,drop.value
109602,MainField,E-4,0x3a93047087d32814,Enemy_Horablin_Senior,Surface79,Lookout Landing,0,['Weapon_Spear_108'],0,,,"[-254, 208.44, -832.87]",Table,['Default']
109603,MainField,E-4,0x162143964f7353bd,Enemy_Horablin_Senior,Surface79,Lookout Landing,0,['Weapon_Spear_108'],0,,,"[-254, 208.44, -818.87]",Table,['Default']
109604,MainField,E-4,0x249b422a86f6f978,Enemy_Horablin_Senior,Surface79,Lookout Landing,0,['Weapon_Spear_108'],0,,,"[-276.01, 381.68, -1127.37]",Table,['Default']
109605,MainField,E-4,0x13f05e36f017a9b0,Enemy_Horablin_Senior,Surface79,Lookout Landing,0,,0,,,"[-285.34, 381.11, -1120.58]",Table,['Default']
109606,MainField,E-4,0xfd90f32f9ecb79f1,Enemy_Horablin_Senior,Surface79,Lookout Landing,0,['Weapon_Lsword_112'],0,,,"[-274.17, 381.12, -1133.01]",Table,['Default']
109610,MainField,E-4,0x86087d87eb1538ea,Enemy_Horablin_Senior,Surface79,Lookout Landing,0,,0,,,"[-282.11, 381.78, -1125.42]",Table,['Default']
109612,MainField,E-4,0xb9cc0962155b63d7,Enemy_Horablin_Senior,Surface79,Lookout Landing,0,['Weapon_Lsword_108'],0,,,"[-288.18, 380.84, -1113.73]",Table,['Default']
109613,MainField,E-4,0x7fc1a5f2288a40cf,Enemy_Horablin_Senior,Surface79,Lookout Landing,0,['Weapon_Lsword_108'],0,,,"[-279.91, 377.57, -1116.09]",Table,['Default']
113258,MainField,E-4,0x581ebe974f335ecc,Enemy_Horablin_Senior,Surface79,Lookout Landing,0,"['Weapon_Spear_108', 'Weapon_Spear_021']",1,,,"[-288.6, 168.32, -805.88]",Table,['Default']
113260,MainField,E-4,0xad0326021183ae7c,Enemy_Horablin_Senior,Surface79,Lookout Landing,1,['Weapon_Spear_113'],1,,,"[-231.64, 151.48, -791.48]",Table,['Default']
521904,MainField,Cave__Cave_Akkala_0003_GroupSet_000 ,0xaa564499523d4f49,Enemy_Horablin_Senior,Cave56,,0,['Weapon_Spear_108'],1,,,"[4301.17, 256.28, -767.52]",Table,['Default']
521905,MainField,Cave__Cave_Akkala_0003_GroupSet_000 ,0xdd5b9b7b34cc7f5e,Enemy_Horablin_Senior,Cave56,,1,"['Weapon_Spear_108', 'Item_Mushroom_A']",1,,,"[4324.77, 247.13, -758.88]",Table,['Default']
522089,MainField,Cave__Cave_Akkala_0010_GroupSet_000 ,0x6fcb896620eb52df,Enemy_Horablin_Senior,Cave2,,0,"['Weapon_Spear_112', 'Weapon_Lsword_020']",1,,,"[3314.86, 398.59, -1534.25]",Table,['Default']
522090,MainField,Cave__Cave_Akkala_0010_GroupSet_000 ,0xbf275c2aa096086b,Enemy_Horablin_Senior,Cave2,,1,"['Weapon_Spear_113', 'Weapon_Lsword_020']",1,,,"[3295.9, 420.47, -1530.71]",Table,['Default']
522559,MainField,Cave__Cave_Akkala_0014_GroupSet_000 ,0x9bee40d32945c1a9,Enemy_Horablin_Senior,Cave54,,1,['Weapon_Spear_108'],1,,,"[4600.42, 76.6, -3338.99]",Table,['Default']
522560,MainField,Cave__Cave_Akkala_0014_GroupSet_000 ,0x644d03a75f284231,Enemy_Horablin_Senior,Cave20,,0,['Weapon_Spear_108'],1,,,"[4591.51, 75.21, -3296.8]",Table,['Default']
522832,MainField,Cave__Cave_CentralHyrule_0009_GroupSet_000 ,0xe5eee405818c421f,Enemy_Horablin_Senior,Cave46,,1,"['Weapon_Spear_112', 'AsbObj_RockParts_C_S_01']",1,,,"[-784.45, 132.25, 1534.07]",Table,['Default']
