objid,map_type,map_name,hash_id,name,fieldarea,region,scale,equip,map_static,korok_id,korok_type,pos,drop.type,drop.value
3483,MainField,A-2,0x5bf5d59cb670f4a2,Enemy_Keese_Ice,Surface107,Rospro Pass,0,,1,,,"[-4414.12, 390.4, -2952.77]",Table,['Default']
3484,MainField,A-2,0x5bf5d59c7b7b6c20,Enemy_Keese_Ice,Surface107,Rospro Pass,0,,1,,,"[-4408.23, 390.4, -2949.97]",Table,['Default']
3485,MainField,A-2,0x5bf5d59cab48b675,Enemy_Keese_Ice,Surface107,Rospro Pass,0,,1,,,"[-4416.19, 394.4, -2928.03]",Table,['Default']
3486,MainField,A-2,0x5bf5d59c1ca6b0f9,Enemy_Keese_Ice,Surface107,Rospro Pass,0,,1,,,"[-4410.06, 394.4, -2925.66]",Table,['Default']
5117,MainField,A-5,0xbd237c6f24463c88,Enemy_Keese_Ice_AllDay,Surface0,Gerudo Highlands,0,,0,,,"[-4567.49, 630.84, 723.71]",Table,['Default']
5118,MainField,A-5,0xcae57dbf6390a3da,Enemy_Keese_Ice_AllDay,Surface0,Gerudo Highlands,0,,0,,,"[-4572.03, 632.37, 731.21]",Table,['Default']
18127,MainField,B-2,0x5ef363663c80e99c,Enemy_Keese_Ice_AllDay,Surface3,Rospro Pass,0,,0,,,"[-3436, 359.25, -2401.5]",Table,['Default']
18218,MainField,B-2,0xd9f30cfa87fa8906,Enemy_Keese_Ice_AllDay,Surface3,Rospro Pass,0,,0,,,"[-3431.71, 362.15, -2407.79]",Table,['Default']
21127,MainField,B-2,0x8dc1a75e2ac0d7fe,Enemy_Keese_Swarm_Cave,Surface3,Rospro Pass,0,,1,,,"[-3917, 105.5, -2790]",Table,['Default']
29087,MainField,B-4,0x344f0a3f1d300812,Enemy_Keese_Swarm_Cave,Surface23,Lindor's Brow,0,,1,,,"[-3170, 115.5, -783]",Table,['Default']
39322,MainField,B-7,0xd64c5bd14020214e,Enemy_Keese_Electric_AllDay,Surface72,Gerudo Canyon,0,,0,,,"[-3685.58, 153.08, 2766.3]",Table,['Default']
39381,MainField,B-7,0x003622f5bd9fd470,Enemy_Keese_Electric,Surface72,Gerudo Canyon,0,,0,,,"[-3695.29, 161.78, 2603.84]",Table,['Default']
49811,MainField,C-2,0x91394c4ab1b5d76d,Enemy_Keese_Ice_AllDay,Surface3,Rospro Pass,0,,0,,,"[-3000.89, 548.6, -2700.42]",Table,['Default']
49812,MainField,C-2,0x91394c4aaf0b3937,Enemy_Keese_Ice_AllDay,Surface3,Rospro Pass,0,,0,,,"[-3002.2, 548.61, -2699.77]",Table,['Default']
49813,MainField,C-2,0x91394c4a00e5779e,Enemy_Keese_Ice_AllDay,Surface3,Rospro Pass,0,,0,,,"[-3009.32, 545.86, -2703.48]",Table,['Default']
49814,MainField,C-2,0x91394c4a461ae993,Enemy_Keese_Ice_AllDay,Surface3,Rospro Pass,0,,0,,,"[-3010.24, 546.61, -2702.36]",Table,['Default']
52701,MainField,C-2,0x85ca65e04ca042da,Enemy_Keese_Swarm_Cave,Surface48,Pikida Stonegrove,0,,1,,,"[-2853.5, 514, -2445]",Table,['Default']
56516,MainField,C-3,0x1dbcfffed8a4001d,Enemy_Keese_Swarm_Cave,Surface42,Lindor's Brow,0,,1,,,"[-2827.5, 350.83, -1704.49]",Table,['Default']
56527,MainField,C-3,0x67529c55219a8657,Enemy_Keese_Swarm_Cave,Surface23,Lindor's Brow,0,,1,,,"[-2076, 110, -1698]",Table,['Default']
