objid,map_type,map_name,hash_id,name,fieldarea,region,scale,equip,map_static,korok_id,korok_type,pos,drop.type,drop.value
135692,MainField,F-2,0x77c1d0d5735591b4,Enemy_Keese_Fire_AllDay,Surface8,Thyphlo Ruins,0,,0,,,"[611.54, 276.59, -2225.5]",Table,['Default']
135693,MainField,F-2,0x478e05ef3fd82ada,Enemy_Keese_Fire_AllDay,Surface8,Thyphlo Ruins,0,,0,,,"[594.11, 281.93, -2241.9]",Table,['Default']
137375,MainField,F-2,0x5b41556973999950,Enemy_Keese_Fire_AllDay,Surface8,Thyphlo Ruins,0,,0,,,"[618.16, 274.07, -2233.24]",Table,['Default']
181254,MainField,G-3,0x9bf357bc143564f8,Enemy_Keese_Fire_AllDay,Surface66,Eldin Canyon,0,,1,,,"[1789.04, 438.61, -1974.68]",Table,['Default']
181255,MainField,G-3,0x9bf357bcdfbcd010,Enemy_Keese_Fire_AllDay,Surface66,Eldin Canyon,0,,1,,,"[1790.31, 438.45, -1973.25]",Table,['Default']
181256,MainField,G-3,0x9bf357bcebdbc6ca,Enemy_Keese_Fire_AllDay,Surface66,Eldin Canyon,0,,1,,,"[1792.68, 437.53, -1971.37]",Table,['Default']
208501,MainField,H-2,0x11ad4c68c9a19c3a,Enemy_Keese_Fire_AllDay,Surface44,Eldin Canyon,0,,0,,,"[2721.88, 823.72, -2518.5]",Table,['Default']
208502,MainField,H-2,0x78357a678a9eaed6,Enemy_Keese_Fire_AllDay,Surface44,Eldin Canyon,0,,0,,,"[2723.49, 825.17, -2519.58]",Table,['Default']
208503,MainField,H-2,0x73d3464f8e7bb1d0,Enemy_Keese_Fire_AllDay,Surface44,Eldin Canyon,0,,0,,,"[2656.26, 870.08, -2737.58]",Table,['Default']
208504,MainField,H-2,0xbb1dca9c3240314e,Enemy_Keese_Fire_AllDay,Surface44,Eldin Canyon,0,,0,,,"[2657.3, 868.91, -2734]",Table,['Default']
208505,MainField,H-2,0x1dff66cf93e5b419,Enemy_Keese_Fire_AllDay,Surface44,Eldin Canyon,0,,0,,,"[2660.77, 868.14, -2733.07]",Table,['Default']
209468,MainField,H-2,0x0af75a546a1cf82e,Enemy_Keese_Fire_AllDay,Surface44,Eldin Canyon,0,,0,,,"[2721.82, 827.25, -2523.94]",Table,['Default']
209469,MainField,H-2,0x5fca0514c0f4034e,Enemy_Keese_Fire_AllDay,Surface44,Eldin Canyon,0,,0,,,"[2727.05, 828.69, -2523.34]",Table,['Default']
209470,MainField,H-2,0xd26a09f883062ed3,Enemy_Keese_Fire_AllDay,Surface44,Eldin Canyon,0,,0,,,"[2651.71, 871.39, -2738.01]",Table,['Default']
209471,MainField,H-2,0x5d94e1628a26886f,Enemy_Keese_Fire_AllDay,Surface44,Eldin Canyon,0,,0,,,"[2650.74, 867.75, -2740.22]",Table,['Default']
209560,MainField,H-2,0x7ddbcbad95a7635e,Enemy_Keese_Fire_AllDay,Surface44,Eldin Canyon,0,,0,,,"[2357.43, 685.45, -2336.17]",Table,['Default']
209561,MainField,H-2,0x6b3ba48c002e933a,Enemy_Keese_Fire_AllDay,Surface44,Eldin Canyon,0,,0,,,"[2362.15, 688.36, -2332.75]",Table,['Default']
209562,MainField,H-2,0x734021dbf65286a2,Enemy_Keese_Fire_AllDay,Surface44,Eldin Canyon,0,,0,,,"[2363.99, 687.32, -2337.06]",Table,['Default']
524626,MainField,Cave__Cave_Eldin_0023_GroupSet_000 ,0xe0776cfca7c87b1b,Enemy_Keese_Fire_AllDay,Cave66,,0,,0,,,"[1534, 436.88, -3211.71]",Table,['Default']
524627,MainField,Cave__Cave_Eldin_0023_GroupSet_000 ,0xfd353841adc49c5c,Enemy_Keese_Fire_AllDay,Cave66,,0,,0,,,"[1531.74, 436.88, -3216.79]",Table,['Default']
524628,MainField,Cave__Cave_Eldin_0023_GroupSet_000 ,0x210f9c8f4cefdd21,Enemy_Keese_Fire_AllDay,Cave66,,0,,0,,,"[1532.96, 439.8, -3214.03]",Table,['Default']
524638,MainField,Cave__Cave_Eldin_0023_GroupSet_000 ,0xa90ea6fd784c8354,Enemy_Keese_Fire,Cave67,,0,,0,,,"[1736.9, 350.66, -2984.55]",Table,['Default']
524639,MainField,Cave__Cave_Eldin_0023_GroupSet_000 ,0x06fbf4f62f756118,Enemy_Keese_Fire,Cave67,,0,,0,,,"[1731.08, 350.66, -2984.55]",Table,['Default']
524640,MainField,Cave__Cave_Eldin_0023_GroupSet_000 ,0x463f61ef49d92834,Enemy_Keese_Fire,Cave67,,0,,0,,,"[1734.86, 349.5, -2976.33]",Table,['Default']
