objid,map_type,map_name,hash_id,name,fieldarea,region,scale,equip,map_static,korok_id,korok_type,pos,drop.type,drop.value
32830,MainField,B-5,0x13ca2d2b789b9eb4,Enemy_LikeLike_Crack_RagdollShort,Surface4,Gerudo Highlands,0,,1,,,"[-3632.59, 414.86, 605.38]",Table,['Gerudo']
32831,MainField,B-5,0xcc7c367e688c5744,Enemy_LikeLike_Crack,Surface4,Gerudo Highlands,0,,1,,,"[-3609.4, 383.3, 561.9]",Table,['Gerudo']
104205,MainField,E-1,0xd2b7cd404c72b582,Enemy_LikeLike_Crack_RagdollShort,Surface15,Thyphlo Ruins,0,,0,,,"[-359.48, 219.75, -3064.34]",Table,['Korok']
144960,MainField,F-4,0x2da2cd3b21dcab65,Enemy_LikeLike_Crack,Surface41,Sahasra Slope,0,,0,,,"[689.32, 202.87, -823.35]",Table,['Default']
144961,MainField,F-4,0x0a5318731120788e,Enemy_LikeLike_Crack_RagdollShort,Surface41,Sahasra Slope,0,,0,,,"[383.98, 124.24, -698.91]",Table,['Default']
169395,MainField,G-1,0xca66cedf1c90113e,Enemy_LikeLike_Crack_RagdollShort,Surface7,Eldin Canyon,0,,0,,,"[1835.52, 440.68, -3343.15]",Table,['Goron']
170169,MainField,G-1,0x3d54672bb8229b64,Enemy_LikeLike_Crack,Surface97,Thyphlo Ruins,0,,1,,,"[1873.73, 263.72, -3518.96]",Table,['Goron']
170170,MainField,G-1,0xa5f72a8cd0c91279,Enemy_LikeLike_Crack,Surface97,Eldin Canyon,0,,1,,,"[1921.93, 266.14, -3527.55]",Table,['Goron']
173772,MainField,G-2,0xb0c8b7225887e422,Enemy_LikeLike_Crack_RagdollShort,Surface105,Eldin Canyon,0,,0,,,"[1969.28, 605.29, -2259.45]",Table,['Goron']
181686,MainField,G-3,0x18e90e44d789acbf,Enemy_LikeLike_Crack,Surface66,Eldin Canyon,0,,1,,,"[1741.72, 443.99, -1978.04]",Table,['Goron']
206527,MainField,H-1,0x2d61a8c15d023868,Enemy_LikeLike_Crack,Surface66,Eldin Canyon,0,,0,,,"[2449.61, 522.35, -3191.84]",Table,['Goron']
