objid,map_type,map_name,hash_id,name,fieldarea,region,scale,equip,map_static,korok_id,korok_type,pos,drop.type,drop.value
74494,MainField,C-8,0x90c2135c227f363d,Enemy_LikeLike_Fire_RagdollShort,Surface21,Gerudo Canyon,0,,0,,,"[-2662.37, 122.72, 3269]",Table,['Gerudo']
137383,MainField,F-2,0xc02d48aa2ef3f4e7,Enemy_LikeLike_Fire_RagdollShort,Surface8,Thyphlo Ruins,0,,0,,,"[723.18, 295.68, -2332.44]",Table,['Korok']
212941,MainField,H-3,0x662d0e9305a1e67f,Enemy_LikeLike_Fire,Surface7,Eldin Canyon,0,,0,,,"[2693.04, 343.25, -1831.18]",Table,['Goron']
242026,MainField,I-2,0x19600d873828a068,Enemy_LikeLike_Fire_RagdollShort,Surface2,Ulri Mountain,0,,0,,,"[3484.61, 227.2, -2255.44]",Table,['Default']
524624,MainField,Cave__Cave_Eldin_0023_GroupSet_000 ,0x65139d12139a40d4,Enemy_LikeLike_Fire,Cave67,,0,,0,,,"[1556.8, 365.42, -2830.12]",Table,['Goron']
525335,MainField,Cave__Cave_Eldin_0025_GroupSet_000 ,0x7c86bb79842b7284,Enemy_LikeLike_Fire_RagdollShort,Cave7,,0,,0,,,"[1321.25, 392.91, -2192.32]",Table,['Goron']
526011,MainField,Cave__Cave_Eldin_0031_GroupSet_000 ,0xe60af08e54d0fed8,Enemy_LikeLike_Fire,Cave7,,0,,0,,,"[2505.8, 242.53, -1908.97]",Table,['Goron']
526253,MainField,Cave__Cave_Eldin_0033_GroupSet_000 ,0x74dbf978949339cb,Enemy_LikeLike_Fire_RagdollShort,Cave66,,0,,0,,,"[1853.13, 486.07, -2900.25]",Table,['Goron']
526533,MainField,Cave__Cave_Eldin_0035_GroupSet_000 ,0x17d41d288841933f,Enemy_LikeLike_Fire_RagdollShort,Cave66,,0,,0,,,"[2036.02, 526.5, -2661.11]",Table,['Goron']
530657,MainField,Cave__Cave_GerudoDesert_0037_GroupSet_000 ,0xa91fa0256e13ea79,Enemy_LikeLike_Fire_RagdollShort,Cave73,,0,,0,,,"[-2300.59, 356.7, 2438.71]",Table,['Gerudo']
539933,MainField,Cave__Cave_HyruleForest_0008_GroupSet_000 ,0x8e0add13eea49429,Enemy_LikeLike_Fire,Cave89,,0,,0,,,"[439.69, 186.42, -3547.3]",Table,['Korok']
547369,MainField,Cave__Well_0006_GroupSet_000 ,0x7adac3ca7c25f91c,Enemy_LikeLike_Fire,Cave26,,0,,0,,,"[-621.5, 95.93, -1534.74]",Table,['Default']
548597,MainField,Cave__Well_0033_GroupSet_000 ,0xcc2fe4c57b2388b1,Enemy_LikeLike_Fire_RagdollShort,Cave7,,0,,0,,,"[3063.25, 426.48, -2299.73]",Table,['Goron']
550629,MainField,Castle__Set_HyruleCastle_IslandGround_A ,0xa4e5bac8943e6aab,Enemy_LikeLike_Fire_RagdollShort,Surface79,Lookout Landing,0,,0,,,"[-318.58, 378.37, -892.04]",Table,['Castle']
551966,MainField,LargeDungeon__LargeDungeonWater_AllinArea ,0x1f1da1bd59c8ca0c,Enemy_LikeLike_Fire_RagdollShort,Sky34,,0,,0,,,"[3459.16, 1888.9, -776.43]",Table,['Sky']
425265,MinusField,G-2,0x5bde2f6579cf72fa,Enemy_LikeLike_Fire,Depths67,,0,,0,,,"[1774.12, -724.78, -2929.52]",Table,['Minus_GoronDungeon']
425754,MinusField,G-2,0xa41bb69726bb2434,Enemy_LikeLike_Fire_RagdollShort,Depths91,,0,,0,,,"[1364.58, -742.86, -2227.29]",Table,['Minus_Goron']
425755,MinusField,G-2,0x685dca874b27b589,Enemy_LikeLike_Fire_RagdollShort,Depths91,,0,,0,,,"[1353.28, -744.12, -2236.74]",Table,['Minus_Goron']
445059,MinusField,H-1,0x25de24c3d0f1681a,Enemy_LikeLike_Fire_RagdollShort,Depths103,,0,,0,,,"[1972.93, -723.19, -3037.52]",Table,['Minus_GoronDungeon']
445060,MinusField,H-1,0xe91facdbd065b743,Enemy_LikeLike_Fire_RagdollShort,Depths103,,0,,0,,,"[1984.36, -724.81, -3028.28]",Table,['Minus_GoronDungeon']
446064,MinusField,H-2,0xf4de2b65851b992e,Enemy_LikeLike_Fire,Depths103,,0,,0,,,"[2162.34, -853.13, -2375.45]",Table,['Minus_GoronDungeon']
446065,MinusField,H-2,0x35b3812545030c93,Enemy_LikeLike_Fire_RagdollShort,Depths103,,0,,0,,,"[2114, -854.96, -2768.32]",Table,['Minus_GoronDungeon']
447662,MinusField,H-3,0x1ae66485211ee7bd,Enemy_LikeLike_Fire_RagdollShort,Depths107,,0,,0,,,"[2539.73, -528.96, -1426.62]",Table,['Minus_Goron']
447663,MinusField,H-3,0xd1a71c99c1b47690,Enemy_LikeLike_Fire_RagdollShort,Depths107,,0,,0,,,"[2548.55, -530.58, -1414.86]",Table,['Minus_Goron']
552759,MinusField,LargeDungeon__LargeDungeonFire ,0xf2604e3d864cb663,Enemy_LikeLike_Fire,Depths103,,0,,0,,,"[1356.49, -691.21, -2621.58]",Table,['Minus_GoronDungeon']
