objid,map_type,map_name,hash_id,name,fieldarea,region,scale,equip,map_static,korok_id,korok_type,pos,drop.type,drop.value
5556,MainField,A-5,0x713aeef7ff8b32fd,Enemy_LikeLike_Ice_RagdollShort,Surface0,Gerudo Highlands,0,,0,,,"[-4582.12, 645.28, 978.28]",Table,['Gerudo']
5570,MainField,A-5,0x3d912b391cc0f392,Enemy_LikeLike_Ice,Surface0,Gerudo Highlands,0,,0,,,"[-4312.49, 498.44, 461.64]",Table,['Gerudo']
5571,MainField,A-5,0x0777414307547501,Enemy_LikeLike_Ice_RagdollShort,Surface0,Gerudo Highlands,0,,0,,,"[-4330.39, 509.53, 480.27]",Table,['Gerudo']
7900,MainField,A-6,0x05027eb6ec036c41,Enemy_LikeLike_Ice_RagdollShort,Surface0,Gerudo Highlands,0,,0,,,"[-3999.35, 596.09, 1169.97]",Table,['Gerudo']
7906,MainField,A-6,0xc2fa7d81f9718425,Enemy_LikeLike_Ice,Surface0,Gerudo Highlands,0,,0,,,"[-4361.3, 612.66, 1071.61]",Table,['Gerudo']
31241,MainField,B-5,0xb270ae695484a19c,Enemy_LikeLike_Ice,Surface0,Gerudo Highlands,0,,0,,,"[-3692.1, 625, 730.62]",Table,['Gerudo']
35344,MainField,B-6,0xe89f81f071e1b83a,Enemy_LikeLike_Ice,Surface0,Gerudo Highlands,0,,0,,,"[-3258.21, 478.9, 1409.08]",Table,['Gerudo']
50680,MainField,C-2,0x38ec2e110bd56d9d,Enemy_LikeLike_Ice,Surface3,Rospro Pass,0,,0,,,"[-3013.03, 544.33, -2691.26]",Table,['Rito']
67619,MainField,C-6,0xc0e698fdbe8d64bc,Enemy_LikeLike_Ice,Surface0,Gerudo Highlands,0,,0,,,"[-2880.53, 583.7, 1394.92]",Table,['Gerudo']
99062,MainField,D-7,0x10d1a17d52e34e31,Enemy_LikeLike_Ice_RagdollShort,Surface47,Hyrule Field,0,,0,,,"[-1153.5, 260.71, 2109.7]",Table,['Default']
99063,MainField,D-7,0x25d34fdb5607cbac,Enemy_LikeLike_Ice,Surface47,Hyrule Field,0,,0,,,"[-1327.42, 266.56, 2059.48]",Table,['Default']
109623,MainField,E-4,0x698334cc30c67e13,Enemy_LikeLike_Ice_RagdollShort,Surface79,Lookout Landing,0,,0,,,"[-84.08, 143.75, -1047.43]",Table,['Castle']
279105,MainField,J-6,0x69d4cb104c5b5fc3,Enemy_LikeLike_Ice,Surface38,Mount Lanayru,0,,0,,,"[4071.56, 518.55, 1368.64]",Table,['Default']
279109,MainField,J-6,0xdbdd2eee3f148619,Enemy_LikeLike_Ice,Surface38,Mount Lanayru,0,,0,,,"[4175.79, 421.63, 1269.97]",Table,['Default']
279110,MainField,J-6,0x626bca02a1a8d790,Enemy_LikeLike_Ice_RagdollShort,Surface38,Mount Lanayru,0,,0,,,"[4166.17, 419.55, 1248.34]",Table,['Default']
279171,MainField,J-6,0x9fcf2ed800c1b41e,Enemy_LikeLike_Ice,Surface38,Mount Lanayru,0,,0,,,"[4088.93, 420.18, 1750.12]",Table,['Default']
523028,MainField,Cave__Cave_CentralHyrule_0018_GroupSet_000 ,0x6707daceed16ab7f,Enemy_LikeLike_Ice,Cave76,,0,,0,,,"[-223.49, 73.04, -468.07]",Table,['Default']
534039,MainField,Cave__Cave_GerudoDesert_0051_GroupSet_000 ,0x7be3db77341ad207,Enemy_LikeLike_Ice,Cave73,,0,,0,,,"[-2598.73, 190.84, 2475.32]",Table,['Gerudo']
537887,MainField,Cave__Cave_Hebra_0019_GroupSet_000 ,0x7761a5b78b28bee3,Enemy_LikeLike_Ice,Cave3,,0,,0,,,"[-2545.76, 411.41, -3221.85]",Table,['Rito']
539152,MainField,Cave__Cave_Hebra_0037_GroupSet_000 ,0xd3bfdcb9bf86c11a,Enemy_LikeLike_Ice,Cave31,,0,,0,,,"[-2384.46, 279.27, -2199.53]",Table,['Rito']
542704,MainField,Cave__Cave_LanayruMountain_0016_GroupSet_000 ,0x9f2c927ce653e4de,Enemy_LikeLike_Ice,Cave38,,0,,0,,,"[4078.34, 281.24, 1902.84]",Table,['Default']
542711,MainField,Cave__Cave_LanayruMountain_0016_GroupSet_000 ,0x0e6fd70df1a8bc7e,Enemy_LikeLike_Ice,Cave38,,0,,0,,,"[4150.84, 281.04, 1834.23]",Table,['Default']
545987,MainField,Cave__Cave_Tabantha_0001_GroupSet_000 ,0x661b34ddaf87bbde,Enemy_LikeLike_Ice_RagdollShort,Cave42,,0,,0,,,"[-3939.44, 185.95, -1055.67]",Table,['Rito']
545990,MainField,Cave__Cave_Tabantha_0001_GroupSet_000 ,0x3dec999812a121a1,Enemy_LikeLike_Ice_RagdollShort,Cave42,,0,,0,,,"[-3947.94, 185.5, -1068.08]",Table,['Rito']
546415,MainField,Cave__Cave_Tabantha_0003_GroupSet_000 ,0x05fe48732ab3283b,Enemy_LikeLike_Ice,Cave23,,0,,0,,,"[-3452.98, -17.99, -829.94]",Table,['Rito']
546416,MainField,Cave__Cave_Tabantha_0003_GroupSet_000 ,0xfed66c3292f97b84,Enemy_LikeLike_Ice,Cave23,,0,,0,,,"[-3426.5, -19.95, -743]",Table,['Rito']
546630,MainField,Cave__Pln_Fld_Zora_AncientFacility__01_01 ,0xed864c9a8ff9403d,Enemy_LikeLike_Ice,Cave34,,0,,0,,,"[3601.94, 127.79, -406.17]",Table,['Zora']
550580,MainField,Castle__Set_HyruleCastle_IslandGround_A ,0xaeaf1d582d743146,Enemy_LikeLike_Ice_RagdollShort,Surface79,Lookout Landing,0,,0,,,"[-346.88, 374.32, -968.09]",Table,['Castle']
287233,MinusField,A-5,0x816158910af6663c,Enemy_LikeLike_Ice_RagdollShort,Depths0,,0,,0,,,"[-4922.95, -980.13, 885.22]",Table,['Minus_Gerudo']
287234,MinusField,A-5,0xc6c62051b102947b,Enemy_LikeLike_Ice_RagdollShort,Depths0,,0,,0,,,"[-4912.44, -981.76, 874.96]",Table,['Minus_Gerudo']
290153,MinusField,A-6,0xd6c9ad939d7e20f6,Enemy_LikeLike_Ice_RagdollShort,Depths4,,0,,0,,,"[-4704.06, -695.22, 1608.27]",Table,['Minus_Gerudo']
290154,MinusField,A-6,0x0c26135f3bea123d,Enemy_LikeLike_Ice_RagdollShort,Depths4,,0,,0,,,"[-4717.9, -696.85, 1603.33]",Table,['Minus_Gerudo']
301066,MinusField,B-2,0x5f942f913558d128,Enemy_LikeLike_Ice_RagdollShort,Depths3,,0,,0,,,"[-3100.98, -706.79, -2899.03]",Table,['Minus_Rito']
301067,MinusField,B-2,0x1ab56451180c820d,Enemy_LikeLike_Ice_RagdollShort,Depths3,,0,,0,,,"[-3093.69, -708.41, -2911.79]",Table,['Minus_Rito']
348184,MinusField,D-1,0x6461731d0885e9f7,Enemy_LikeLike_Ice_RagdollShort,Depths98,,0,,0,,,"[-1554.76, -573.7, -3710.8]",Table,['Minus_Rito']
348185,MinusField,D-1,0x1a80a9c04dd7fbb8,Enemy_LikeLike_Ice_RagdollShort,Depths98,,0,,0,,,"[-1540.28, -575.32, -3713.34]",Table,['Minus_Rito']
381255,MinusField,E-4,0x4b0e67d0741713f7,Enemy_LikeLike_Ice,Depths79,,0,,0,,,"[-263.26, -943.87, -697.75]",Table,['Minus_Castle']
381256,MinusField,E-4,0xf7d007c0499686dd,Enemy_LikeLike_Ice,Depths79,,0,,0,,,"[-234.73, -943.39, -680.96]",Table,['Minus_Castle']
381260,MinusField,E-4,0x56a430602aefdb93,Enemy_LikeLike_Ice,Depths79,,0,,0,,,"[-252.1, -945.45, -659.61]",Table,['Minus_Castle']
