objid,map_type,map_name,hash_id,name,fieldarea,region,scale,equip,map_static,korok_id,korok_type,pos,drop.type,drop.value
226218,MainField,H-6,0x120d18e4f2db2ea3,Enemy_LikeLike_Plane,Surface13,Mount Lanayru,0,,0,,,"[2652.37, 127.8, 1876.23]",Table,['Seeker']
262617,MainField,I-7,0x64b650dfeed53553,Enemy_LikeLike_Plane,Surface13,Mount Lanayru,0,,0,,,"[3221.65, 161.12, 2640.07]",Table,['Seeker']
262618,MainField,I-7,0xdc68f0092ac0a317,Enemy_LikeLike_Plane,Surface13,Mount Lanayru,0,,0,,,"[3195.8, 163.42, 2639.77]",Table,['Seeker']
497554,MainField,Sky__Map_SKy_Firone_SmallZonauRuins_Island_B_00 ,0x6f0a68cfe029b9fe,Enemy_LikeLike_Plane_RagdollShort,Sky105,,0,,0,,,"[1056.76, 921.92, 3357.63]",Table,['Sky']
497555,MainField,Sky__Map_SKy_Firone_SmallZonauRuins_Island_B_00 ,0x233f56352e6e41e2,Enemy_LikeLike_Plane_RagdollShort,Sky105,,0,,0,,,"[1047.26, 922.84, 3349.99]",Table,['Sky']
497556,MainField,Sky__Map_SKy_Firone_SmallZonauRuins_Island_B_00 ,0xcbab3e62a71ee8e9,Enemy_LikeLike_Plane_RagdollShort,Sky105,,0,,0,,,"[1051.94, 923.45, 3366.46]",Table,['Sky']
498222,MainField,Sky__Map_SKy_Firone_SmallZonauRuins_Island_B_00 ,0x8af73a51f786d27b,Enemy_LikeLike_Plane_RagdollShort,Sky105,,0,,0,,,"[954.5, 955.79, 3316.38]",Table,['Sky']
517126,MainField,Sky__StartIslandMerge2 ,0x2a19c91a91dc817f,Enemy_LikeLike_Plane,Sky106,,0,,0,,,"[780.52, 1612.5, 1377.75]",Table,['StartIsland_A']
520361,MainField,Sky__StartIslandMerge2 ,0x426c0e96bbff0eda,Enemy_LikeLike_Plane,Sky106,,0,,1,,,"[758.74, 1657, 1368.11]",Table,['StartIsland_A']
521836,MainField,Cave__Cave_Akkala_0003_GroupSet_000 ,0xbb4c21f73999b39d,Enemy_LikeLike_Plane_RagdollShort,Cave56,,0,,0,,,"[4479.58, 217.52, -714.43]",Table,['Default']
522863,MainField,Cave__Cave_CentralHyrule_0018_GroupSet_000 ,0x386c4894904e31bf,Enemy_LikeLike_Plane,Cave76,,0,,0,,,"[-276.11, 103.83, -250.68]",Table,['Default']
523107,MainField,Cave__Cave_CentralHyrule_0018_GroupSet_000 ,0x286500111f098404,Enemy_LikeLike_Plane_RagdollShort,Cave76,,0,,0,,,"[-310.43, 106.02, -280.62]",Table,['Default']
523536,MainField,Cave__Cave_CentralHyrule_0020_GroupSet_000 ,0x483d59506f4fec7d,Enemy_LikeLike_Plane,Cave6,,0,,0,,,"[-1129.83, 82.78, 439.57]",Table,['Default']
527191,MainField,Cave__Cave_Firone_0009_GroupSet_000 ,0xdf358691fec77781,Enemy_LikeLike_Plane_RagdollShort,Cave61,,0,,0,,,"[1155.17, 206.83, 2482.75]",Table,['Seeker']
527192,MainField,Cave__Cave_Firone_0009_GroupSet_000 ,0xecdf16c0c54d02a0,Enemy_LikeLike_Plane_RagdollShort,Cave61,,0,,0,,,"[1147.51, 206.65, 2447.51]",Table,['Seeker']
527532,MainField,Cave__Cave_Firone_0022_GroupSet_000 ,0xf1d328ba944f3005,Enemy_LikeLike_Plane,Cave59,,0,,0,,,"[1523.59, 137.83, 3041.37]",Table,['Seeker']
528059,MainField,Cave__Cave_FirstPlateau_0001_GroupSet_000 ,0x39b2a0c576a7f4ef,Enemy_LikeLike_Plane_RagdollShort,Cave47,,0,,0,,,"[-1098.17, 247.13, 2203.04]",Table,['Default']
529998,MainField,Cave__Cave_GerudoDesert_0015_GroupSet_000 ,0xc153c5e7baa7756c,Enemy_LikeLike_Plane,Cave72,,0,,0,,,"[-3368.98, 80.98, 2942.73]",Table,['Gerudo']
533973,MainField,Cave__Cave_GerudoDesert_0051_GroupSet_000 ,0x694bac194c2c7ca4,Enemy_LikeLike_Plane,Cave73,,0,,0,,,"[-2607.47, 202.91, 2501.01]",Table,['Gerudo']
534012,MainField,Cave__Cave_GerudoDesert_0051_GroupSet_000 ,0x0b305c246fcb7fc8,Enemy_LikeLike_Plane,Cave73,,0,,0,,,"[-2611.17, 223.21, 2526.58]",Table,['Gerudo']
537216,MainField,Cave__Cave_HateruWest_0006_GroupSet_000 ,0x3e2e62620bc71c9f,Enemy_LikeLike_Plane_RagdollShort,Cave19,,0,,0,,,"[1868.87, 300.1, 1199.52]",Table,['Seeker']
537365,MainField,Cave__Cave_HateruWest_0012_GroupSet_000 ,0xdf7435d88fb5ca81,Enemy_LikeLike_Plane_RagdollShort,Cave49,,0,,0,,,"[1192.77, 366.9, 1988.06]",Table,['Seeker']
538506,MainField,Cave__Cave_Hebra_0023_GroupSet_000 ,0xfa84a8f2d4ce5994,Enemy_LikeLike_Plane,Cave94,,0,,0,,,"[-3044.67, 287.53, -1533.3]",Table,['Rito']
539606,MainField,Cave__Cave_HyruleForest_0001_GroupSet_000 ,0x81d32333696ec6c3,Enemy_LikeLike_Plane,Cave60,,0,,0,,,"[726.48, 162.39, -1437.34]",Table,['Default']
540175,MainField,Cave__Cave_HyruleRidge_0000_GroupSet_000 ,0x5db83be393cf5975,Enemy_LikeLike_Plane,Cave26,,0,,0,,,"[-1204.16, 161.7, -687.9]",Table,['Default']
540176,MainField,Cave__Cave_HyruleRidge_0000_GroupSet_000 ,0xd1427f215caf4590,Enemy_LikeLike_Plane,Cave26,,0,,0,,,"[-1196.7, 161.2, -695.22]",Table,['Default']
541134,MainField,Cave__Cave_HyruleRidge_0008_GroupSet_000 ,0xe90df0990f971964,Enemy_LikeLike_Plane,Cave64,,0,,0,,,"[-2218.42, 384.68, 420.5]",Table,['Default']
541135,MainField,Cave__Cave_HyruleRidge_0008_GroupSet_000 ,0xeadbc5b17324a6e1,Enemy_LikeLike_Plane,Cave64,,0,,0,,,"[-2208.4, 390.19, 425.16]",Table,['Default']
542708,MainField,Cave__Cave_LanayruMountain_0016_GroupSet_000 ,0xd7ba3d50c8854f89,Enemy_LikeLike_Plane,Cave38,,0,,0,,,"[3987.34, 228.76, 1980.3]",Table,['Default']
543143,MainField,Cave__Cave_LanayruMountain_0022_GroupSet_000 ,0x177bba21bd2e1f75,Enemy_LikeLike_Plane_RagdollShort,Cave78,,0,,0,,,"[4223.85, 79.82, 2190.54]",Table,['Seeker']
543976,MainField,Cave__Cave_Lanayru_0019_GroupSet_000 ,0x9369ef6425dbcefe,Enemy_LikeLike_Plane_RagdollShort,Cave84,,0,,0,,,"[2657.57, 197.25, -266.8]",Table,['Zora']
543977,MainField,Cave__Cave_Lanayru_0019_GroupSet_000 ,0xcce92b4927b1f59a,Enemy_LikeLike_Plane_RagdollShort,Cave84,,0,,0,,,"[2667.08, 198.18, -226.19]",Table,['Zora']
547214,MainField,Cave__Well_0003_GroupSet_000 ,0x197ea89360af78c8,Enemy_LikeLike_Plane_RagdollShort,Cave26,,0,,0,,,"[-1827.92, 202.38, -1613.03]",Table,['Default']
547604,MainField,Cave__Well_0008_GroupSet_000 ,0xc8ea012da9591062,Enemy_LikeLike_Plane_RagdollShort,Cave76,,0,,0,,,"[-909.5, 118.68, -315.92]",Table,['Default']
547605,MainField,Cave__Well_0008_GroupSet_000 ,0x84ee28086ab3e22d,Enemy_LikeLike_Plane_RagdollShort,Cave76,,0,,0,,,"[-919.07, 116.31, -304.54]",Table,['Default']
548040,MainField,Cave__Well_0023_GroupSet_000 ,0x64316de310fd81e0,Enemy_LikeLike_Plane_RagdollShort,Cave49,,0,,0,,,"[392.53, 65.87, 1975.78]",Table,['Seeker']
549018,MainField,Cave__Well_0045_GroupSet_000 ,0x51173f87e1fd29be,Enemy_LikeLike_Plane_RagdollShort,Cave73,,0,,1,,,"[-2754.88, 112.44, 2235.82]",Table,['Gerudo']
549239,MainField,Cave__Well_0049_GroupSet_000 ,0x1f6a6ee5838ee931,Enemy_LikeLike_Plane_RagdollShort,Cave13,,0,,0,,,"[3461.84, 218.02, 2093.61]",Table,['Seeker']
550616,MainField,Castle__Set_HyruleCastle_IslandGround_A ,0x73c9d5f7bd568727,Enemy_LikeLike_Plane_RagdollShort,Surface79,Lookout Landing,0,,0,,,"[-323.34, 353.09, -1100.74]",Table,['Castle']
290065,MinusField,A-6,0xb8224b4d01b7c21e,Enemy_LikeLike_Plane_RagdollShort,Depths21,,0,,0,,,"[-4618.44, -357.76, 1826.82]",Table,['Minus_Gerudo']
290095,MinusField,A-6,0x62a1ac4df3369a46,Enemy_LikeLike_Plane_RagdollShort,Depths72,,0,,0,,,"[-4213.32, -383.32, 2028.63]",Table,['Minus_Gerudo']
304177,MinusField,B-3,0x73437fac8f92708c,Enemy_LikeLike_Plane_RagdollShort,Depths18,,0,,0,,,"[-3558.99, -475.46, -1504.29]",Table,['Minus_Rito']
304206,MinusField,B-3,0xdd69a922629c25c6,Enemy_LikeLike_Plane_RagdollShort,Depths18,,0,,0,,,"[-3212.11, -508.31, -1596.21]",Table,['Minus_Rito']
329645,MinusField,C-3,0x4893e5097ab4f7ce,Enemy_LikeLike_Plane_RagdollShort,Depths81,,0,,0,,,"[-2507.91, -491.51, -1321.22]",Table,['Minus']
342138,MinusField,C-7,0x258fa0533c72f073,Enemy_LikeLike_Plane_RagdollShort,Depths73,,0,,0,,,"[-2027.51, -596.53, 2890.1]",Table,['Minus_Gerudo']
386422,MinusField,E-5,0x479e6aeecac6a60d,Enemy_LikeLike_Plane_RagdollShort,Depths106,,0,,0,,,"[-258.5, -356.93, 587.4]",Table,['Minus']
390524,MinusField,E-6,0xbdda104b29460003,Enemy_LikeLike_Plane_RagdollShort,Depths106,,0,,0,,,"[-0.27, -356.15, 1027.04]",Table,['Minus']
415031,MinusField,F-6,0x5273e866caa20106,Enemy_LikeLike_Plane_RagdollShort,Depths1,,0,,0,,,"[360.99, -352.22, 1372.59]",Table,['Minus_Seeker']
443091,MinusField,G-8,0x3d50d458a49829dc,Enemy_LikeLike_Plane_RagdollShort,Depths62,,0,,0,,,"[1276.3, -342.21, 3616.59]",Table,['Minus_Seeker']
462980,MinusField,H-8,0x5daaec0503bf3d05,Enemy_LikeLike_Plane_RagdollShort,Depths61,,0,,0,,,"[2268.63, -355.41, 3873.42]",Table,['Minus_Seeker']
496261,MinusField,J-7,0xc75ba833c36548d7,Enemy_LikeLike_Plane_RagdollShort,Depths78,,0,,0,,,"[4172.49, -343.76, 2433.51]",Table,['Minus_Seeker']
