objid,map_type,map_name,hash_id,name,fieldarea,region,scale,equip,map_static,korok_id,korok_type,pos,drop.type,drop.value
11850,MainField,A-7,0x3361d0623a7938da,Enemy_Lizalfos_Electric,Surface21,Gerudo Canyon,0,"['Weapon_Sword_107', 'Weapon_Shield_009']",1,,,"[-4481.38, 144.05, 2953.38]",Table,['Default']
11854,MainField,A-7,0x6f5325175e8db53c,Enemy_Lizalfos_Electric,Surface21,Gerudo Canyon,0,['Weapon_Spear_108'],1,,,"[-4273.02, 152.17, 2987.99]",Table,['Default']
13057,MainField,A-8,0xb2b5c9c628043909,Enemy_Lizalfos_Electric,Surface21,Gerudo Canyon,0,"['Weapon_Lsword_108', 'Obj_LiftRockGerudo_Korok_A_01']",0,,,"[-4095.02, 124.79, 3402.02]",Table,['Default']
13996,MainField,A-8,0xcf4fb2ab7491d684,Enemy_Lizalfos_Electric,Surface21,Gerudo Canyon,0,"['Weapon_Sword_107', 'Weapon_Shield_009']",1,,,"[-4154.75, 145.83, 3058.19]",Table,['Default']
33421,MainField,B-6,0x7e3911d12ec0f48c,Enemy_Lizalfos_Electric,Surface4,Gerudo Highlands,0,"['Weapon_Spear_103', 'Weapon_Lsword_020']",0,,,"[-3502.91, 459.37, 1804.1]",Table,['Default']
37060,MainField,B-6,0xba6e1514a8dafb5f,Enemy_Lizalfos_Electric,Surface4,Gerudo Highlands,0,,1,,,"[-3704.5, 381.94, 1733.8]",Table,['Default']
39291,MainField,B-7,0x0d2d64003dca828c,Enemy_Lizalfos_Electric,Surface72,Gerudo Canyon,0,['Weapon_Lsword_108'],0,,,"[-3037.41, 128.16, 2439.03]",Table,['Default']
41896,MainField,B-7,0x6b8ac7ce5bc17d7c,Enemy_Lizalfos_Electric,Surface72,Gerudo Highlands,0,"['Weapon_Sword_107', 'Weapon_Shield_009']",1,,,"[-3194.99, 124.59, 2224.5]",Table,['Default']
41947,MainField,B-7,0x605a41df34f27a0d,Enemy_Lizalfos_Electric,Surface72,Gerudo Canyon,0,"['Weapon_Sword_107', 'Weapon_Shield_009']",1,,,"[-3030.09, 125.21, 2701.2]",Table,['Default']
42021,MainField,B-7,0xbf623ed7163a4274,Enemy_Lizalfos_Electric,Surface72,Gerudo Highlands,0,"['Weapon_Sword_107', 'Weapon_Shield_009']",1,,,"[-3382.23, 136.07, 2103.06]",Table,['Default']
42752,MainField,B-7,0x6fab98cfb17ca974,Enemy_Lizalfos_Electric,Surface72,Gerudo Canyon,0,"['Weapon_Sword_107', 'Weapon_Shield_009']",1,,,"[-3111.91, 118.56, 2899.12]",Table,['Default']
71082,MainField,C-7,0xddb6d0da2f627214,Enemy_Lizalfos_Electric,Surface72,Gerudo Canyon,0,['Weapon_Lsword_108'],0,,,"[-2673.04, 150.19, 2684.85]",Table,['Default']
71087,MainField,C-7,0x2f6ae7bddf240dea,Enemy_Lizalfos_Electric,Surface72,Gerudo Canyon,0,['Weapon_Spear_129'],0,,,"[-2560.4, 161.7, 2801.21]",Table,['Default']
71088,MainField,C-7,0xdc890c8d4f1fce79,Enemy_Lizalfos_Electric,Surface72,Gerudo Canyon,0,['Weapon_Spear_108'],0,,,"[-2826.18, 146.45, 2795.85]",Table,['Default']
71089,MainField,C-7,0x8c35c8d0710acd5f,Enemy_Lizalfos_Electric,Surface72,Gerudo Canyon,0,"['Weapon_Lsword_108', 'AsbObj_SharpRock_A_S_01']",0,,,"[-2598.99, 145.03, 2931.5]",Table,['Default']
74596,MainField,C-8,0x620e9ae4ab94913f,Enemy_Lizalfos_Electric,Surface72,Gerudo Canyon,0,['Weapon_Lsword_108'],0,,,"[-2645.35, 172.51, 3028.57]",Table,['Default']
75322,MainField,C-8,0xcb021623ebcc7b0e,Enemy_Lizalfos_Electric,Surface21,Gerudo Canyon,0,,0,,,"[-2808.73, 118.35, 3498.39]",Table,['Default']
75948,MainField,C-8,0x6254d9c863f840b3,Enemy_Lizalfos_Electric,Surface21,Gerudo Canyon,0,"['Weapon_Sword_107', 'Weapon_Shield_009']",1,,,"[-2243.33, 127.33, 3331.32]",Table,['Default']
76299,MainField,C-8,0xb475d2d3fd74afba,Enemy_Lizalfos_Electric,Surface21,Gerudo Canyon,1,"['Weapon_Sword_113', 'Weapon_Shield_003']",1,,,"[-2667, 117.29, 3677]",Table,['Default']
76304,MainField,C-8,0x3bea12404cc4ce5f,Enemy_Lizalfos_Electric,Surface21,Gerudo Canyon,0,,1,,,"[-2961.05, 118.8, 3319.32]",Table,['Default']
76305,MainField,C-8,0xa0f176256730138a,Enemy_Lizalfos_Electric,Surface21,Gerudo Canyon,0,,1,,,"[-2312.25, 118.02, 3671.81]",Table,['Default']
130299,MainField,E-8,0xd746518e4aac07c5,Enemy_Lizalfos_Electric,Surface90,Popla Foothills,0,"['Weapon_Sword_105', 'AsbObj_RockParts_C_S_01']",0,,,"[-62.33, 106.07, 3678.86]",Table,['Default']
131092,MainField,E-8,0xd62c44acc7d6ebb1,Enemy_Lizalfos_Electric,Surface55,Popla Foothills,0,"['Weapon_Spear_103', 'Weapon_Lsword_020']",1,,,"[-80.4, 107.6, 3890.1]",Table,['Default']
131093,MainField,E-8,0xb9129349d2fbae53,Enemy_Lizalfos_Electric,Surface55,Popla Foothills,0,"['Weapon_Spear_103', 'Weapon_Lsword_020']",1,,,"[-60.66, 107.6, 3878.32]",Table,['Default']
158300,MainField,F-7,0xcb0c9694449a8626,Enemy_Lizalfos_Electric,Surface29,Popla Foothills,0,['Weapon_Spear_108'],0,,,"[902, 122.01, 2871]",Table,['Default']
158301,MainField,F-7,0xcb0c96949475d66e,Enemy_Lizalfos_Electric,Surface29,Popla Foothills,0,['Weapon_Spear_108'],0,,,"[916.5, 122.01, 2876]",Table,['Default']
165745,MainField,F-8,0xba4d98b30bb52443,Enemy_Lizalfos_Electric,Surface90,Popla Foothills,0,"['Weapon_Sword_105', 'AsbObj_SharpRock_A_S_01']",0,,,"[549.94, 106.47, 3933.04]",Table,['Default']
165746,MainField,F-8,0x95e204653c8bbc7d,Enemy_Lizalfos_Electric,Surface90,Popla Foothills,0,['Weapon_Sword_107'],0,,,"[556.71, 106.59, 3935.49]",Table,['Default']
201956,MainField,G-8,0xadc59507e8853023,Enemy_Lizalfos_Electric,Surface59,Popla Foothills,0,['Weapon_Sword_107'],0,,,"[1106.57, 166.66, 3259.67]",Table,['Default']
201957,MainField,G-8,0x00e2db0d082e72b4,Enemy_Lizalfos_Electric,Surface59,Popla Foothills,0,['Weapon_Sword_107'],0,,,"[1116.62, 167, 3258.52]",Table,['Default']
201961,MainField,G-8,0x5d59ff60735ef2b8,Enemy_Lizalfos_Electric,Surface59,Popla Foothills,0,['Weapon_Sword_107'],0,,,"[1941.65, 152.68, 3445.84]",Table,['Default']
202180,MainField,G-8,0x9fa120b699566a59,Enemy_Lizalfos_Electric,Surface59,Popla Foothills,0,"['Weapon_Spear_108', 'AsbObj_RockParts_C_S_01']",0,,,"[1404.09, 156.35, 3354.66]",Table,['Default']
202181,MainField,G-8,0x324c3a23192aa08e,Enemy_Lizalfos_Electric,Surface62,Popla Foothills,0,['Weapon_Lsword_108'],0,,,"[1400.05, 107.82, 3716.92]",Table,['Default']
202182,MainField,G-8,0x4452f569fe11ffcc,Enemy_Lizalfos_Electric,Surface62,Popla Foothills,0,"['Weapon_Sword_107', 'AsbObj_RockParts_C_S_01']",0,,,"[1388.14, 107.14, 3725.13]",Table,['Default']
549017,MainField,Cave__Well_0045_GroupSet_000 ,0x6ff99fa0138dd54a,Enemy_Lizalfos_Electric,Cave4,,0,['Weapon_Spear_108'],1,,,"[-2734.09, 115.05, 2227.05]",Table,['Default']
285509,MinusField,A-3,0x8ec18f1ef98ac53d,Enemy_Lizalfos_Electric,Depths42,,0,,1,,,"[-3987.44, -509.79, -1734.09]",Table,['Minus']
286011,MinusField,A-4,0x66d0aa8d0a84e75c,Enemy_Lizalfos_Electric,Depths100,,0,,1,,,"[-4026.08, -472.28, -570.1]",Table,['Minus']
294360,MinusField,A-7,0xe51d2eba7c1b992f,Enemy_Lizalfos_Electric,Depths21,,0,,1,,,"[-4662.98, -375.25, 2393.8]",Table,['Minus']
294371,MinusField,A-7,0x8d189ba592b26ef6,Enemy_Lizalfos_Electric,Depths21,,0,,1,,,"[-4352.84, -394.68, 2195.35]",Table,['Minus']
296926,MinusField,A-8,0x772b9576e8be4cbc,Enemy_Lizalfos_Electric,Depths21,,0,,1,,,"[-4538.97, -381.99, 3156.19]",Table,['Minus']
296937,MinusField,A-8,0x738955ab23d28cca,Enemy_Lizalfos_Electric,Depths40,,0,,1,,,"[-4687.58, -377.47, 3800.3]",Table,['Minus']
302672,MinusField,B-2,0x14f04612134c9bf5,Enemy_Lizalfos_Electric,Depths3,,0,,1,,,"[-3356.55, -760.49, -2614.06]",Table,['Minus']
309020,MinusField,B-4,0xe275931b42ba5197,Enemy_Lizalfos_Electric,Depths63,,0,,1,,,"[-2970.25, -513.3, -561.48]",Table,['Minus']
309044,MinusField,B-4,0xc1d93bbfb107891c,Enemy_Lizalfos_Electric,Depths27,,0,,1,,,"[-3055.67, -557.2, -57.08]",Table,['Minus']
323390,MinusField,B-8,0x3b3760d758e2cf7e,Enemy_Lizalfos_Electric,Depths21,,0,,1,,,"[-3229.74, -364.71, 3483.67]",Table,['Minus']
323414,MinusField,B-8,0xcddeb2895ad993b7,Enemy_Lizalfos_Electric,Depths21,,0,,1,,,"[-3005.45, -368.44, 3525.64]",Table,['Minus']
331320,MinusField,C-3,0x5404821e0aa0fb81,Enemy_Lizalfos_Electric,Depths81,,0,,1,,,"[-2211.28, -559.04, -1400.13]",Table,['Minus']
338252,MinusField,C-5,0xc4fe05e9b6a9fad0,Enemy_Lizalfos_Electric,Depths64,,0,,1,,,"[-2445.5, -556.64, 426.27]",Table,['Minus']
344030,MinusField,C-7,0xb2300e9cec85f605,Enemy_Lizalfos_Electric,Depths73,,0,,1,,,"[-2725, -495.99, 2489.58]",Table,['Minus']
344041,MinusField,C-7,0x65e4eab84a816cae,Enemy_Lizalfos_Electric,Depths73,,0,,1,,,"[-2241.36, -607.76, 2589.33]",Table,['Minus']
344052,MinusField,C-7,0x61b372912def3a2c,Enemy_Lizalfos_Electric,Depths73,,0,,1,,,"[-2033.07, -490.2, 2543.68]",Table,['Minus']
353236,MinusField,D-2,0x44210678fe93fdfd,Enemy_Lizalfos_Electric,Depths5,,0,,1,,,"[-1754.2, -581.71, -2760.82]",Table,['Minus']
356981,MinusField,D-3,0x356db76d4219beac,Enemy_Lizalfos_Electric,Depths26,,0,,1,,,"[-1139.47, -452.19, -1119.05]",Table,['Minus']
