objid,map_type,map_name,hash_id,name,fieldarea,region,scale,equip,map_static,korok_id,korok_type,pos,drop.type,drop.value
69238,MainField,C-6,0x1df8312edc713ff3,Enemy_Lizalfos_Fire_GerudoCanyon_PopUp,Surface73,Gerudo Canyon,0,,1,,,"[-2243.5, 286.8, 1897.21]",Table,['Default']
69239,MainField,C-6,0x960f2e8ad3a75a8b,Enemy_Lizalfos_Fire_GerudoCanyon_PopUp,Surface73,Gerudo Canyon,0,,1,,,"[-2244.86, 288.1, 1905.55]",Table,['Default']
69280,MainField,C-6,0x4c2c17eebe9291a9,Enemy_Lizalfos_Fire_GerudoCanyon_PopUp,Surface73,Gerudo Canyon,0,,1,,,"[-2107.79, 246.11, 1774.54]",Table,['Default']
69281,MainField,C-6,0xbfc305f3a1bee549,Enemy_Lizalfos_Fire_GerudoCanyon_PopUp,Surface73,Gerudo Canyon,0,,1,,,"[-2109.37, 247.09, 1784.03]",Table,['Default']
69283,MainField,C-6,0xedc02458d5bfe2d2,Enemy_Lizalfos_Fire_GerudoCanyon_PopUp,Surface73,Gerudo Canyon,0,,1,,,"[-2100.07, 245.4, 1782.77]",Table,['Default']
72094,MainField,C-7,0x8425ca7dc1eeaab8,Enemy_Lizalfos_Fire_GerudoCanyon_PopUp,Surface73,Gerudo Canyon,0,,0,,,"[-2163.51, 334.17, 2359.18]",Table,['Default']
73350,MainField,C-7,0x1d47be4c3b9adc38,Enemy_Lizalfos_Fire_GerudoCanyon,Surface73,Gerudo Canyon,0,,1,,,"[-2597.24, 213.16, 2629.47]",Table,['Default']
73664,MainField,C-7,0xc89bebbe10c3103b,Enemy_Lizalfos_Fire_GerudoCanyon_PopUp,Surface73,Gerudo Canyon,0,['Weapon_Sword_112'],1,,,"[-2124.66, 326.76, 2261.78]",Table,['Default']
73665,MainField,C-7,0x6ddd92a1c44df82c,Enemy_Lizalfos_Fire_GerudoCanyon_PopUp,Surface73,Gerudo Canyon,0,['Weapon_Sword_112'],1,,,"[-2130.63, 327.37, 2274.44]",Table,['Default']
73671,MainField,C-7,0x5c737f26a524e4af,Enemy_Lizalfos_Fire_GerudoCanyon_PopUp,Surface73,Gerudo Canyon,0,,1,,,"[-2156.18, 327.94, 2084.26]",Table,['Default']
73672,MainField,C-7,0x53df6d9247d0f37a,Enemy_Lizalfos_Fire_GerudoCanyon_PopUp,Surface73,Gerudo Canyon,0,,1,,,"[-2150.75, 328.26, 2076.27]",Table,['Default']
73674,MainField,C-7,0x9d4b3dcc4f17d734,Enemy_Lizalfos_Fire_GerudoCanyon_PopUp,Surface73,Gerudo Canyon,0,,1,,,"[-2159.79, 329.26, 2075.99]",Table,['Default']
73680,MainField,C-7,0x2dc7b500291d0804,Enemy_Lizalfos_Fire_GerudoCanyon_PopUp,Surface73,Gerudo Canyon,0,['Weapon_Spear_112'],1,,,"[-2260, 325.73, 2068.56]",Table,['Default']
73682,MainField,C-7,0x865061c4c541b278,Enemy_Lizalfos_Fire_GerudoCanyon_PopUp,Surface73,Gerudo Canyon,0,['Weapon_Sword_112'],1,,,"[-2253.95, 325.74, 2061.09]",Table,['Default']
73686,MainField,C-7,0xc3784f6ed6eedf0b,Enemy_Lizalfos_Fire_GerudoCanyon_PopUp,Surface73,Gerudo Canyon,0,['Weapon_Spear_112'],1,,,"[-2245.55, 356.04, 2256.17]",Table,['Default']
73688,MainField,C-7,0xa5eb5fbfb6e75c08,Enemy_Lizalfos_Fire_GerudoCanyon_PopUp,Surface73,Gerudo Canyon,0,['Weapon_Sword_112'],1,,,"[-2239.64, 356.16, 2248.86]",Table,['Default']
73693,MainField,C-7,0x9ae5278f0ea72af5,Enemy_Lizalfos_Fire_GerudoCanyon_PopUp,Surface73,Gerudo Canyon,0,,1,,,"[-2371.17, 418.24, 2293.11]",Table,['Default']
73694,MainField,C-7,0xbe7eca2da1551566,Enemy_Lizalfos_Fire_GerudoCanyon_PopUp,Surface73,Gerudo Canyon,0,,1,,,"[-2372.21, 418.48, 2303.77]",Table,['Default']
