objid,map_type,map_name,hash_id,name,fieldarea,region,scale,equip,map_static,korok_id,korok_type,pos,drop.type,drop.value
28926,MainField,B-4,0xe16a7f4b4924c6f5,Enemy_Lizalfos_Guard_Junior_LongVisibility,Surface42,Lindor's Brow,0,"['Weapon_Bow_006', 'LizalfosPipe']",1,,,"[-3658.89, 355.59, -978.1]",Table,['Arrow']
151869,MainField,F-5,0x43e8c862fe06f2ac,Enemy_Lizalfos_Guard_Junior,Surface65,Sahasra Slope,0,"['Weapon_Bow_006', 'LizalfosPipe']",1,,,"[854.41, 136.5, 297.21]",Table,['Arrow']
163290,MainField,F-8,0xe16a7f4b17b40c9c,Enemy_Lizalfos_Guard_Junior_LongVisibility,Surface36,Popla Foothills,0,"['Weapon_Bow_006', 'LizalfosPipe']",0,,,"[230, 168.86, 3217]",Table,['Arrow']
163294,MainField,F-8,0xe16a7f4b8347ede1,Enemy_Lizalfos_Guard_Junior_LongVisibility,Surface36,Popla Foothills,0,"['Weapon_Bow_006', 'LizalfosPipe']",0,,,"[311.5, 180.01, 3244.5]",Table,['Arrow']
163296,MainField,F-8,0xe16a7f4b6dbf0103,Enemy_Lizalfos_Guard_Junior_LongVisibility,Surface36,Popla Foothills,0,"['Weapon_Bow_006', 'LizalfosPipe']",0,,,"[294.5, 173.97, 3229.5]",Table,['Arrow']
184227,MainField,G-4,0x3f7f8328ed01b590,Enemy_Lizalfos_Guard_Junior,Surface65,Sahasra Slope,0,"['Weapon_Bow_006', 'LizalfosPipe', 'ElectricalFruit']",0,,,"[1430.62, 122, -35.96]",Table,['Thunder']
187157,MainField,G-5,0xcac202d54974fe27,Enemy_Lizalfos_Guard_Junior,Surface65,Sahasra Slope,0,"['Weapon_Bow_006', 'LizalfosPipe']",0,,,"[1390.1, 223.69, 827.6]",Table,['Arrow']
187737,MainField,G-5,0xe68e16deb605ca58,Enemy_Lizalfos_Guard_Junior,Surface65,Sahasra Slope,0,"['Weapon_Bow_006', 'LizalfosPipe', 'ElectricalFruit']",0,,,"[1659.26, 183.16, 707.9]",Table,['Thunder']
187739,MainField,G-5,0x998dd10b47f1a76e,Enemy_Lizalfos_Guard_Junior,Surface65,Sahasra Slope,0,"['Weapon_Bow_006', 'LizalfosPipe', 'ElectricalFruit']",0,,,"[1673.09, 181.65, 705.97]",Table,['Thunder']
187768,MainField,G-5,0x030e996b7329e4a6,Enemy_Lizalfos_Guard_Junior,Surface65,Sahasra Slope,0,"['Weapon_Bow_006', 'LizalfosPipe', 'ElectricalFruit']",0,,,"[1599.8, 125.5, 450.95]",Table,['Thunder']
