objid,map_type,map_name,hash_id,name,fieldarea,region,scale,equip,map_static,korok_id,korok_type,pos,drop.type,drop.value
11849,MainField,A-7,0x9aea9a6a8ffe3b76,Enemy_Lizalfos_Senior,Surface21,Gerudo Canyon,1,['Weapon_Lsword_113'],1,,,"[-4476.81, 144.33, 2948.63]",Table,['Default']
11853,MainField,A-7,0xf69a1cfd80b2361c,Enemy_Lizalfos_Senior,Surface21,Gerudo Canyon,1,['Weapon_Lsword_113'],1,,,"[-4274.4, 152.98, 2982.2]",Table,['Default']
13986,MainField,A-8,0x67e21f780a176f43,Enemy_Lizalfos_Senior,Surface21,Gerudo Canyon,1,['Weapon_Sword_112'],1,,,"[-4463.51, 140.59, 3264.37]",Table,['Default']
13990,MainField,A-8,0x72b79602075198d1,Enemy_Lizalfos_Senior,Surface21,Gerudo Canyon,0,['Weapon_Spear_129'],1,,,"[-4504.77, 147.78, 3109.15]",Table,['Default']
13999,MainField,A-8,0x32a921e8e2ef4528,Enemy_Lizalfos_Senior,Surface21,Gerudo Canyon,1,['Weapon_Sword_113'],1,,,"[-4186.64, 133.15, 3615.69]",Table,['Default']
14003,MainField,A-8,0xaf8f4f4667f49d7b,Enemy_Lizalfos_Senior,Surface21,Gerudo Canyon,1,['Weapon_Sword_113'],1,,,"[-4545.97, 137.71, 3281.84]",Table,['Default']
38795,MainField,B-7,0x0690d6f6553b2f40,Enemy_Lizalfos_Senior,Surface72,Gerudo Canyon,0,['Weapon_Lsword_174'],0,,,"[-3471.89, 181.53, 2956.91]",Table,['Default']
38885,MainField,B-7,0x1cb7562defebc930,Enemy_Lizalfos_Senior,Surface72,Gerudo Canyon,1,"['Weapon_Lsword_174', 'Obj_LiftRockGerudo_Korok_A_01']",0,,,"[-3597.19, 177.87, 2501.48]",Table,['Default']
41901,MainField,B-7,0xd4401712ff663109,Enemy_Lizalfos_Senior,Surface72,Gerudo Canyon,0,['Weapon_Sword_129'],1,,,"[-3403.84, 138.89, 2255.89]",Table,['Default']
41915,MainField,B-7,0x5cd7d605c58e0cc9,Enemy_Lizalfos_Senior,Surface72,Gerudo Canyon,0,['Weapon_Sword_129'],1,,,"[-3943.97, 160.23, 2314.01]",Table,['Default']
42715,MainField,B-7,0xd120fbe6deb761bc,Enemy_Lizalfos_Senior,Surface72,Gerudo Highlands,1,['Weapon_Spear_113'],1,,,"[-3820.22, 245.11, 2142.78]",Table,['Default']
42738,MainField,B-7,0xe9cfe446f84ec9b3,Enemy_Lizalfos_Senior,Surface72,Gerudo Canyon,0,['Weapon_Sword_113'],1,,,"[-3737.98, 140.88, 2417.57]",Table,['Default']
42746,MainField,B-7,0x215a90fbd0c894e8,Enemy_Lizalfos_Senior,Surface72,Gerudo Canyon,1,['Weapon_Spear_129'],1,,,"[-3300.46, 145.9, 2846.23]",Table,['Default']
42751,MainField,B-7,0xf65456156bff2f25,Enemy_Lizalfos_Senior,Surface72,Gerudo Canyon,0,['Weapon_Lsword_113'],1,,,"[-3110.12, 119.13, 2904]",Table,['Default']
42755,MainField,B-7,0x93d09a3c7061f8a5,Enemy_Lizalfos_Senior,Surface72,Gerudo Canyon,1,['Weapon_Lsword_174'],1,,,"[-3739.7, 138.01, 2573.04]",Table,['Default']
42756,MainField,B-7,0x90ceaef1f4d45f5b,Enemy_Lizalfos_Senior,Surface72,Gerudo Canyon,0,['Weapon_Sword_113'],1,,,"[-3736.48, 138.17, 2575.6]",Table,['Default']
46369,MainField,B-8,0xdd4dac7fb4ee2f5b,Enemy_Lizalfos_Senior,Surface21,Gerudo Canyon,1,['Weapon_Sword_113'],1,,,"[-3787.5, 128.89, 3337]",Table,['Default']
46373,MainField,B-8,0x91fe2f8097cb8963,Enemy_Lizalfos_Senior,Surface21,Gerudo Canyon,0,['Weapon_Sword_113'],1,,,"[-3197.5, 139.54, 3205.01]",Table,['Default']
46374,MainField,B-8,0x9c98ddac19598401,Enemy_Lizalfos_Senior,Surface21,Gerudo Canyon,0,['Weapon_Sword_113'],1,,,"[-3193.45, 140.94, 3203.65]",Table,['Default']
46377,MainField,B-8,0x92333f83a73b3553,Enemy_Lizalfos_Senior,Surface21,Gerudo Canyon,1,"['Weapon_Sword_113', 'Weapon_Shield_003']",1,,,"[-3869.43, 132.67, 3501.77]",Table,['Default']
46390,MainField,B-8,0x34ae9654f651b08e,Enemy_Lizalfos_Senior,Surface21,Gerudo Canyon,1,['Weapon_Sword_112'],1,,,"[-3276.01, 122.4, 3538.36]",Table,['Default']
70084,MainField,C-7,0xcb0c96948d0808eb,Enemy_Lizalfos_Senior,Surface106,Gerudo Highlands,0,"['Weapon_Spear_108', 'AsbObj_SharpRock_A_S_01']",0,,,"[-2910.64, 306.88, 2208.59]",Table,['Default']
73728,MainField,C-7,0x2e07255cb29c383b,Enemy_Lizalfos_Senior,Surface72,Gerudo Canyon,1,,1,,,"[-2950.17, 134.82, 2474.89]",Table,['Default']
76312,MainField,C-8,0xdb30bcd43bb591fc,Enemy_Lizalfos_Senior,Surface72,Gerudo Canyon,0,['Weapon_Sword_113'],1,,,"[-2986.74, 115.08, 3057.85]",Table,['Default']
99064,MainField,D-7,0xbd98c3f3e073e681,Enemy_Lizalfos_Senior,Surface47,Hyrule Field,0,"['Weapon_Spear_108', 'AsbObj_Icicle_A_02']",0,,,"[-1294.58, 314.85, 2079.54]",Table,['Default']
100798,MainField,D-7,0x879cea540512d200,Enemy_Lizalfos_Senior,Surface47,Hyrule Field,1,['Weapon_Spear_113'],1,,,"[-1274.69, 359.6, 2277.09]",Table,['Default']
158299,MainField,F-7,0xcb0c969406943e03,Enemy_Lizalfos_Senior,Surface29,Popla Foothills,1,['Weapon_Spear_113'],0,,,"[997, 112.98, 2676]",Table,['Default']
160444,MainField,F-7,0xf02bfec3cc7e3e0f,Enemy_Lizalfos_Senior,Surface29,Popla Foothills,1,['Weapon_Spear_113'],0,,,"[748.47, 116.21, 2718.87]",Table,['Default']
161927,MainField,F-7,0xcb0c9694d55a3176,Enemy_Lizalfos_Senior,Surface29,Popla Foothills,0,['Weapon_Spear_113'],1,,,"[987.06, 112.98, 2623.62]",Table,['Default']
196865,MainField,G-7,0xafc7d82e1b271150,Enemy_Lizalfos_Senior,Surface59,Popla Foothills,0,['Weapon_Sword_113'],0,,,"[1723.5, 349.6, 2984]",Table,['Default']
198343,MainField,G-7,0x0c8a16fcc53aa956,Enemy_Lizalfos_Senior,Surface104,Popla Foothills,1,['Weapon_Sword_113'],1,,,"[1784, 374.38, 2616.99]",Table,['Default']
198537,MainField,G-7,0x9adf322445ce565b,Enemy_Lizalfos_Senior,Surface104,Popla Foothills,1,,1,,,"[1456.47, 277.97, 2426.2]",Table,['Default']
198567,MainField,G-7,0x859cbab52afcc7a4,Enemy_Lizalfos_Senior,Surface49,Popla Foothills,0,['Weapon_Sword_107'],1,,,"[1521.28, 281.53, 2302.57]",Table,['Default']
201959,MainField,G-8,0x296741de6b820104,Enemy_Lizalfos_Senior,Surface59,Popla Foothills,0,['Weapon_Spear_108'],0,,,"[1196.1, 150.95, 3393.6]",Table,['Default']
201960,MainField,G-8,0x475bb4da5a53aa5c,Enemy_Lizalfos_Senior,Surface59,Popla Foothills,1,"['Weapon_Sword_107', 'Weapon_Shield_009', 'AsbObj_RockParts_C_S_01']",0,,,"[1183.67, 151.13, 3390.7]",Table,['Default']
201963,MainField,G-8,0x0110941b474c9940,Enemy_Lizalfos_Senior,Surface59,Popla Foothills,0,['Weapon_Spear_108'],0,,,"[1785.29, 272.3, 3729.28]",Table,['Default']
201964,MainField,G-8,0x3685636eb20e6e0d,Enemy_Lizalfos_Senior,Surface59,Popla Foothills,1,"['Weapon_Spear_108', 'AsbObj_RockParts_C_S_01']",0,,,"[1782.31, 271.67, 3737.78]",Table,['Default']
204145,MainField,G-8,0xa9c38aeccde417af,Enemy_Lizalfos_Senior,Surface59,Popla Foothills,1,['Weapon_Sword_113'],1,,,"[1085.91, 141.21, 3165.72]",Table,['Default']
218970,MainField,H-4,0xbd4c474f80603051,Enemy_Lizalfos_Senior,Surface34,Upland Zorana,0,"['Weapon_Sword_113', 'Weapon_Shield_003', 'AsbObj_RockParts_C_S_01']",1,,,"[2962.2, 260.36, -95]",Table,['Default']
219734,MainField,H-4,0xd353a805ba881bf1,Enemy_Lizalfos_Senior,Surface84,Upland Zorana,0,['Weapon_Spear_127'],1,,,"[2731.53, 207.1, -235.53]",Table,['Default']
232491,MainField,H-7,0x5168a24073e41320,Enemy_Lizalfos_Senior,Surface61,Rabella Wetlands,1,,1,,,"[2776.55, 322.45, 2570.15]",Table,['Default']
236344,MainField,H-8,0x2cd65d212501b9f4,Enemy_Lizalfos_Senior,Surface62,Rabella Wetlands,1,['Weapon_Sword_112'],1,,,"[2859.65, 111.63, 3476.71]",Table,['Default']
