objid,map_type,map_name,hash_id,name,fieldarea,region,scale,equip,map_static,korok_id,korok_type,pos,drop.type,drop.value
341088,MinusField,C-7,0x916c66dc7244a5d0,Enemy_Lynel_Boss_Middle,Depths73,,1,"['Weapon_Bow_026', 'Weapon_Sword_112', 'Weapon_Shield_017']",0,,,"[-2798.87, -376.93, 2238.38]",Table,['Minus']
349964,MinusField,D-2,0xb7c892120179f208,Enemy_Lynel_Boss_Senior,Depths5,,1,"['Weapon_Bow_032', 'Weapon_Lsword_124']",0,,,"[-1602.82, -579.03, -2523.13]",Table,['Minus']
357275,MinusField,D-4,0x5b32186d9e14397b,Enemy_Lynel_Boss_Senior,Depths26,,0,"['Weapon_Bow_032', 'Weapon_Lsword_124']",0,,,"[-1224.31, -446.34, -763.76]",Table,['Minus']
364406,MinusField,D-6,0x3f21577acc0312ea,Enemy_Lynel_Boss,Depths6,,0,"['Weapon_Bow_009', 'Weapon_Lsword_112']",0,,,"[-1438.63, -379.5, 1261.72]",Table,['Minus']
366620,MinusField,D-6,0xa046572acecea033,Enemy_Lynel_Boss_Dark,Depths6,,0,"['Weapon_Bow_032', 'Weapon_Lsword_124', 'Obj_SpikeBall_B']",1,,,"[-1192.48, -393.59, 1222.32]",Table,['Minus_Arrow']
410115,MinusField,F-5,0x23da9af489c2b136,Enemy_Lynel_Boss_Dark,Depths65,,0,"['Weapon_Bow_032', 'Weapon_Spear_124']",0,,,"[1083.7, -361.28, 266.92]",Table,['Minus']
413909,MinusField,F-6,0x13737102680c78dc,Enemy_Lynel_Boss,Depths32,,0,"['Weapon_Bow_009', 'Weapon_Sword_112', 'Weapon_Shield_016']",0,,,"[253.33, -367.93, 1186.69]",Table,['Minus']
421453,MinusField,F-8,0x1857c7a0ad9860fb,Enemy_Lynel_Boss_Senior,Depths36,,0,"['Weapon_Bow_032', 'Weapon_Lsword_124']",0,,,"[499.52, -394.56, 3456.91]",Table,['Minus']
427259,MinusField,G-3,0x8705145e6bb128b0,Enemy_Lynel_Boss_Middle,Depths17,,1,"['Weapon_Bow_026', 'Weapon_Lsword_113']",0,,,"[1040.62, -369.17, -1124.46]",Table,['Minus']
434307,MinusField,G-6,0x28f83fe7a8be90d2,Enemy_Lynel_Boss_Senior,Depths1,,0,"['Weapon_Bow_032', 'Weapon_Lsword_124']",0,,,"[1761.31, -357.88, 1926.24]",Table,['Minus']
441973,MinusField,G-8,0x9776eaac075d5f5f,Enemy_Lynel_Boss_Middle,Depths59,,1,"['Weapon_Bow_026', 'Weapon_Spear_113']",0,,,"[1584.7, -407.09, 3496.46]",Table,['Minus']
447140,MinusField,H-3,0x0e98c9d3017e3cef,Enemy_Lynel_Boss_Middle,Depths107,,0,"['Weapon_Bow_026', 'Weapon_Sword_112', 'Weapon_Shield_017']",0,,,"[2604.15, -492.46, -1145.44]",Table,['Minus']
470303,MinusField,I-3,0x9cff0a9c03ee457a,Enemy_Lynel_Boss_Middle,Depths2,,0,"['Weapon_Bow_026', 'Weapon_Lsword_113']",0,,,"[3149.83, -544.6, -1692.65]",Table,['Minus']
488145,MinusField,J-2,0xd7ea4f964fa3ffb0,Enemy_Lynel_Boss_Middle,Depths20,,1,"['Weapon_Bow_026', 'Weapon_Sword_112', 'Weapon_Shield_017']",0,,,"[4212.09, -467.54, -2721.1]",Table,['Minus']
