objid,map_type,map_name,hash_id,name,fieldarea,region,scale,equip,map_static,korok_id,korok_type,pos,drop.type,drop.value
446075,MinusField,H-2,0xf75fa72f6aae273a,Enemy_Mogurudo_Baby_Junior,Depths44,,0,,0,,,"[2223.24, -858.26, -2590.32]",Table,['Default']
446076,MinusField,H-2,0x7c96563e4b4857dc,Enemy_Mogurudo_Baby_Junior,Depths44,,0,,0,,,"[2211.59, -858.3, -2590.39]",Table,['Default']
446077,MinusField,H-2,0xfcf7478ccfb38870,Enemy_Mogurudo_Baby_Junior,Depths44,,0,,0,,,"[2215.23, -858.96, -2580.09]",Table,['Default']
446078,MinusField,H-2,0xecfb3da8b48431e4,Enemy_Mogurudo_Baby_Junior,Depths44,,0,,0,,,"[2206.8, -859.12, -2584.97]",Table,['Default']
488686,MinusField,J-2,0xa39a767506c7f3f5,Enemy_Mogurudo_Baby_Junior,Depths101,,0,,0,,,"[4812.45, -348.71, -2207]",Table,['Default']
488687,MinusField,J-2,0x822331be810b9ece,Enemy_Mogurudo_Baby_Junior,Depths101,,0,,0,,,"[4819.67, -348.88, -2201.46]",Table,['Default']
488688,MinusField,J-2,0xe88a7b318ca5c249,Enemy_Mogurudo_Baby_Junior,Depths101,,0,,0,,,"[4824.29, -348.88, -2212.46]",Table,['Default']
488689,MinusField,J-2,0x574605fd6acdd717,Enemy_Mogurudo_Baby_Junior,Depths101,,0,,0,,,"[4810.57, -348.7, -2218.43]",Table,['Default']
488690,MinusField,J-2,0xfe20c555bf6a2be2,Enemy_Mogurudo_Baby_Junior,Depths101,,0,,0,,,"[4812.65, -348.77, -2119.82]",Table,['Default']
488691,MinusField,J-2,0x5847e24cfa3fe0cd,Enemy_Mogurudo_Baby_Junior,Depths101,,0,,0,,,"[4765.01, -348.87, -2293.3]",Table,['Default']
488692,MinusField,J-2,0xf4859556faeb5152,Enemy_Mogurudo_Baby_Junior,Depths101,,0,,0,,,"[4757.27, -348.91, -2297.44]",Table,['Default']
488693,MinusField,J-2,0x4b38b7e98f9e1215,Enemy_Mogurudo_Baby_Junior,Depths54,,0,,0,,,"[4763.92, -346.41, -2314.41]",Table,['Default']
