objid,map_type,map_name,hash_id,name,fieldarea,region,scale,equip,map_static,korok_id,korok_type,pos,drop.type,drop.value
323152,MinusField,B-8,0x3e0db8e966784601,Enemy_Mogurudo_Junior,Depths21,,0,,1,,,"[-3428.3, -361.99, 3228.98]",Table,['Default']
340857,MinusField,C-6,0x26b7746911947d00,Enemy_Mogurudo_Junior,Depths73,,0,,1,,,"[-2252.92, -477.77, 1975.24]",Table,['Default']
346594,MinusField,C-8,0xa901e7ccc8be872d,Enemy_Mogurudo_Junior,Depths21,,0,,1,,,"[-2770.76, -335.8, 3329.55]",Table,['Default']
346673,MinusField,C-8,0x88a425e8d5ca3740,Enemy_Mogurudo_Junior,Depths73,,0,,1,,,"[-2439.35, -368.77, 3123.45]",Table,['Default']
370383,MinusField,D-7,0x998fb1829c77783f,Enemy_Mogurudo_Junior,Depths73,,0,,1,,,"[-1909.97, -483.71, 2608.05]",Table,['Default']
383588,MinusField,E-4,0x1b76b5d289c2d43b,Enemy_Mogurudo_Junior,Depths76,,0,,1,,,"[-571.5, -358.61, -222.5]",Table,['Default']
392376,MinusField,E-6,0xad790d082dec37e4,Enemy_Mogurudo_Junior,Depths70,,0,,1,,,"[-293.3, -355.53, 1813.55]",Table,['Default']
392403,MinusField,E-6,0x8f556340093c7d60,Enemy_Mogurudo_Junior,Depths32,,0,,1,,,"[-794.37, -363.89, 1088.92]",Table,['Default']
394614,MinusField,E-7,0x844dbc463446497b,Enemy_Mogurudo_Junior,Depths25,,0,,1,,,"[-845.63, -409.58, 2867.85]",Table,['Default']
397246,MinusField,E-8,0xb3fbad88e23fb180,Enemy_Mogurudo_Junior,Depths25,,0,,1,,,"[-325.07, -360.04, 3141.81]",Table,['Default']
412509,MinusField,F-5,0xa9305156d60a6b06,Enemy_Mogurudo_Junior,Depths106,,0,,1,,,"[176.5, -371.01, 862.5]",Table,['Default']
448238,MinusField,H-3,0x3cb45e0bdc011136,Enemy_Mogurudo_Junior,Depths66,,0,,1,,,"[2119.38, -648.55, -1749.79]",Table,['Default']
