objid,map_type,map_name,hash_id,name,fieldarea,region,scale,equip,map_static,korok_id,korok_type,pos,drop.type,drop.value
294172,MinusField,A-7,0x1533bc90305784b7,Enemy_Mogurudo_Middle,Depths72,,0,,1,,,"[-4094.03, -385, 2554.79]",Table,['Default']
296821,MinusField,A-8,0xc7f15bce344c5a2c,Enemy_Mogurudo_Middle,Depths40,,0,,1,,,"[-4674.43, -362.55, 3502.28]",Table,['Default']
334456,MinusField,C-4,0x5c8608f55e49be36,Enemy_Mogurudo_Middle,Depths63,,0,,1,,,"[-2248.71, -443.48, -451.18]",Table,['Default']
343813,MinusField,C-7,0x9f163f80aa6e7605,Enemy_Mogurudo_Middle,Depths72,,0,,1,,,"[-2998.11, -357.36, 2680.18]",Table,['Default']
352996,MinusField,D-2,0x47a68d1349cb33f4,Enemy_Mogurudo_Middle,Depths15,,0,,1,,,"[-960.1, -513.51, -2852.44]",Table,['Default']
360165,MinusField,D-4,0x84518d5ca07602a3,Enemy_Mogurudo_Middle,Depths26,,0,,1,,,"[-1339.56, -435.09, -972.64]",Table,['Default']
363648,MinusField,D-5,0xb9b2e4ab94acb37a,Enemy_Mogurudo_Middle,Depths77,,0,,1,,,"[-1619.07, -393.14, 395.15]",Table,['Default']
377042,MinusField,E-2,0x0e65fb5a46146e24,Enemy_Mogurudo_Middle,Depths16,,0,,1,,,"[-190.07, -510.86, -2937.95]",Table,['Default']
379620,MinusField,E-3,0x088ef8a36588c102,Enemy_Mogurudo_Middle,Depths26,,0,,1,,,"[-875.31, -439.93, -1742.17]",Table,['Default']
399959,MinusField,F-1,0x4eb2212aea8e1e8d,Enemy_Mogurudo_Middle,Depths95,,0,,1,,,"[551.93, -485.95, -3439.71]",Table,['Default']
423574,MinusField,F-8,0xaa062c9e7d5c471d,Enemy_Mogurudo_Middle,Depths36,,0,,1,,,"[844.96, -369.68, 3388.04]",Table,['Default']
451086,MinusField,H-4,0xe709820b7209007d,Enemy_Mogurudo_Middle,Depths92,,0,,1,,,"[2490.97, -394.67, -841.89]",Table,['Default']
478983,MinusField,I-5,0x9f0a8dac8deaf737,Enemy_Mogurudo_Middle,Depths11,,0,,1,,,"[3035.56, -407.2, 798.21]",Table,['Default']
489739,MinusField,J-2,0xa25610411bfaa585,Enemy_Mogurudo_Middle,Depths2,,0,,1,,,"[4028.19, -363.63, -2187.6]",Table,['Default']
493209,MinusField,J-4,0xc007ce31d3619ff4,Enemy_Mogurudo_Middle,Depths56,,0,,1,,,"[4142.49, -579.64, -1002.47]",Table,['Default']
