objid,map_type,map_name,hash_id,name,fieldarea,region,scale,equip,map_static,korok_id,korok_type,pos,drop.type,drop.value
550776,MainField,Castle__Set_HyruleCastle_IslandGround_A ,0xe47008728e097549,Enemy_Moriblin_Dark,Surface79,Lookout Landing,0,['Weapon_Lsword_113'],1,,,"[-377.37, 345.44, -983.09]",Table,['Default']
302650,MinusField,B-2,0x5429753720dabbf5,Enemy_Moriblin_Dark,Depths3,,0,['Weapon_Spear_113'],1,,,"[-3759.37, -671.15, -2919.46]",Table,['Minus']
302651,MinusField,B-2,0x5e5c0e09c25faad7,Enemy_Moriblin_Dark,Depths3,,0,['Weapon_Spear_124'],1,,,"[-3762.69, -670.98, -2913.69]",Table,['Minus']
302657,MinusField,B-2,0xaa08a185a336888c,Enemy_Moriblin_Dark,Depths3,,0,,1,,,"[-3773.38, -481.37, -2595.89]",Table,['Minus']
316358,MinusField,B-6,0x633f803d7ddf61b9,Enemy_Moriblin_Dark,Depths0,,0,['Weapon_Lsword_113'],1,,,"[-3996.47, -821.52, 1195.19]",Table,['Minus']
316362,MinusField,B-6,0x9e6748e8a187916a,Enemy_Moriblin_Dark,Depths0,,0,['Weapon_Lsword_113'],1,,,"[-4002.33, -821.44, 1206.67]",Table,['Minus']
316428,MinusField,B-6,0x28acc6d343a2ddda,Enemy_Moriblin_Dark,Depths4,,0,['Weapon_Spear_124'],1,,,"[-3578.26, -699.17, 1649.36]",Table,['Minus']
316457,MinusField,B-6,0x89a9afed72f903e7,Enemy_Moriblin_Dark,Depths0,,0,['Weapon_Spear_124'],1,,,"[-3138.16, -807.2, 1177.41]",Table,['Minus']
316458,MinusField,B-6,0x8582c9dfcf3e2ac8,Enemy_Moriblin_Dark,Depths0,,0,['Weapon_Spear_113'],1,,,"[-3140.91, -807.06, 1183.49]",Table,['Minus']
325021,MinusField,C-1,0x7b1cde9a637a67a4,Enemy_Moriblin_Dark,Depths3,,0,['Weapon_Sword_113'],1,,,"[-2878.66, -928.47, -3112.71]",Table,['Minus']
340951,MinusField,C-6,0x93dabe7ae7f241ed,Enemy_Moriblin_Dark,Depths0,,0,,1,,,"[-2449.76, -747.41, 1429.58]",Table,['Minus']
370656,MinusField,D-7,0x4b875d2d9da3ba29,Enemy_Moriblin_Dark,Depths4,,0,['Weapon_Sword_124'],1,,,"[-1930.03, -437.18, 2049.78]",Table,['Minus']
383337,MinusField,E-4,0x0584613099fc9eb0,Enemy_Moriblin_Dark,Depths79,,0,"['Weapon_Bow_036', 'FireFruit']",1,,,"[-249.78, -1114.1, -739.73]",Table,['Minus_Arrow']
416473,MinusField,F-6,0xc9f86c55f615efc3,Enemy_Moriblin_Dark,Depths1,,0,['Weapon_Sword_124'],1,,,"[974.95, -357.39, 1128.96]",Table,['Minus']
431803,MinusField,G-4,0xacba502ede93ca6d,Enemy_Moriblin_Dark,Depths41,,0,['Weapon_Lsword_113'],1,,,"[1355.72, -373.75, -123.57]",Table,['Minus']
431807,MinusField,G-4,0xb3629a677d3b6498,Enemy_Moriblin_Dark,Depths41,,0,['Weapon_Lsword_113'],1,,,"[1361.31, -373.69, -111.96]",Table,['Minus']
431831,MinusField,G-4,0x88ad94ca50270091,Enemy_Moriblin_Dark,Depths41,,0,,1,,,"[1319.05, -369.22, -583.75]",Table,['Minus']
433943,MinusField,G-5,0x6fe21ce73513536d,Enemy_Moriblin_Dark,Depths65,,0,,1,,,"[988.47, -383.55, 846.96]",Table,['Minus']
437535,MinusField,G-6,0x1eff021a84e526c8,Enemy_Moriblin_Dark,Depths1,,0,['Weapon_Sword_113'],1,,,"[1766.34, -358.34, 1727.61]",Table,['Minus']
445243,MinusField,H-1,0x4520371924048ff8,Enemy_Moriblin_Dark,Depths103,,0,"['Weapon_Lsword_124', 'Obj_SpikeBall_B']",1,,,"[2124.16, -733.46, -3125.89]",Table,['Minus']
445246,MinusField,H-1,0x8884d91da6d1661f,Enemy_Moriblin_Dark,Depths66,,0,"['Weapon_Lsword_136', 'Obj_SpikeBall_B']",1,,,"[2200.64, -733.46, -3195.72]",Table,['Minus']
486960,MinusField,I-8,0x00e3661adab77b95,Enemy_Moriblin_Dark,Depths62,,0,['Weapon_Sword_124'],1,,,"[3476.29, -352.11, 3420.4]",Table,['Minus']
486980,MinusField,I-8,0xde6d147da5dac468,Enemy_Moriblin_Dark,Depths62,,0,['Weapon_Sword_124'],1,,,"[3343.88, -349.04, 3828.72]",Table,['Minus']
497213,MinusField,J-8,0x4e90b95dc8b28b87,Enemy_Moriblin_Dark,Depths28,,0,,1,,,"[4476.06, -375.15, 3755.2]",Table,['Minus']
