objid,map_type,map_name,hash_id,name,fieldarea,region,scale,equip,map_static,korok_id,korok_type,pos,drop.type,drop.value
28928,MainField,B-4,0x5dff94a5c62ea68b,Enemy_Moriblin_Junior,Surface42,Lindor's Brow,1,"['Weapon_Sword_103', 'Weapon_Shield_001']",1,,,"[-3620.07, 383.68, -348.68]",Table,['Default']
28934,MainField,B-4,0xdc39bb600af56747,Enemy_Moriblin_Junior,Surface27,Gerudo Highlands,1,['Weapon_Sword_103'],1,,,"[-3912.01, 157.76, -94]",Table,['Default']
28936,MainField,B-4,0x277833c69736c6ab,Enemy_Moriblin_Junior,Surface27,Gerudo Highlands,0,['Weapon_Sword_103'],1,,,"[-3917.76, 157.59, -90.85]",Table,['Default']
60727,MainField,C-4,0x756a9915fb11fc41,Enemy_Moriblin_Junior,Surface80,Lindor's Brow,1,,1,,,"[-2841.56, 331.82, -375.8]",Table,['Default']
60729,MainField,C-4,0xe836d1a0b5aa82e2,Enemy_Moriblin_Junior,Surface80,Lindor's Brow,0,,1,,,"[-2841.04, 331.7, -385.92]",Table,['Default']
61495,MainField,C-5,0x5dff94a5cebf81ac,Enemy_Moriblin_Junior,Surface80,Lindor's Brow,0,['Weapon_Sword_103'],0,,,"[-2894.82, 212.06, 106.22]",Table,['Default']
61496,MainField,C-5,0x5dff94a5bcc7c3a0,Enemy_Moriblin_Junior,Surface80,Gerudo Highlands,0,['Weapon_Sword_103'],0,,,"[-2916.5, 193.55, 190.75]",Table,['Default']
61497,MainField,C-5,0x5dff94a5f3811387,Enemy_Moriblin_Junior,Surface80,Lindor's Brow,1,['Weapon_Sword_103'],0,,,"[-2899.33, 206.5, 141.39]",Table,['Default']
65168,MainField,C-5,0x96b5176acd90c3f3,Enemy_Moriblin_Junior,Surface80,Gerudo Highlands,0,,1,,,"[-2932.43, 180.09, 259.78]",Table,['Default']
85225,MainField,D-3,0xd33e6009ad495921,Enemy_Moriblin_Junior,Surface26,Lindor's Brow,1,,1,,,"[-1494.98, 273.18, -1475.53]",Table,['Default']
85266,MainField,D-3,0x2874a2d31e1e63c0,Enemy_Moriblin_Junior,Surface26,Lindor's Brow,1,,1,,,"[-1394.82, 245.41, -1307.98]",Table,['Default']
85524,MainField,D-3,0xf3917aabbf7b7c86,Enemy_Moriblin_Junior,Surface26,Lindor's Brow,0,,1,,,"[-1571.02, 229.85, -1598.31]",Table,['Default']
87226,MainField,D-4,0xc9b6137d3e172818,Enemy_Moriblin_Junior,Surface80,Lindor's Brow,0,,0,,,"[-1880.47, 225.2, -236.22]",Table,['Default']
88741,MainField,D-4,0xc300c6fbafe96047,Enemy_Moriblin_Junior,Surface80,Lindor's Brow,0,,1,,,"[-1966.42, 260.78, -36.82]",Table,['Default']
92058,MainField,D-5,0xfad9e7fffe9a77d6,Enemy_Moriblin_Junior,Surface6,Lookout Landing,0,,1,,,"[-1193.23, 150.27, 324.04]",Table,['Default']
92093,MainField,D-5,0x6303dd0afee89f14,Enemy_Moriblin_Junior,Surface77,Hyrule Field,1,,1,,,"[-1803.47, 200.03, 544.31]",Table,['Default']
92095,MainField,D-5,0x6303dd0a560af819,Enemy_Moriblin_Junior,Surface77,Hyrule Field,0,,1,,,"[-1809.65, 199.59, 552.33]",Table,['Default']
93984,MainField,D-6,0x4653ab9846037b4a,Enemy_Moriblin_Junior,Surface77,Hyrule Field,0,,0,,,"[-1926.28, 204.57, 1126.34]",Table,['Default']
108608,MainField,E-3,0x3670f8daf3b71b28,Enemy_Moriblin_Junior,Surface26,Lindor's Brow,0,['Weapon_Spear_106'],1,,,"[-878.93, 211.65, -1437.23]",Table,['Default']
108642,MainField,E-3,0xabc771f00568d5f6,Enemy_Moriblin_Junior,Surface26,Thyphlo Ruins,1,,1,,,"[-661.83, 263.24, -1502.97]",Table,['Default']
108649,MainField,E-3,0x2b84ee11ccd5236c,Enemy_Moriblin_Junior,Surface26,Thyphlo Ruins,0,['Weapon_Sword_103'],1,,,"[-726.1, 244.37, -1688]",Table,['Default']
108652,MainField,E-3,0x312cc3c29c32500c,Enemy_Moriblin_Junior,Surface26,Lindor's Brow,0,['Weapon_Lsword_103'],1,,,"[-901.25, 213.84, -1520.25]",Table,['Default']
118949,MainField,E-5,0xb52e6756db02289c,Enemy_Moriblin_Junior,Surface6,Hyrule Field,0,"['Weapon_Sword_112', 'Weapon_Shield_035']",1,,,"[-437.88, 136.94, 618.3]",Table,['Default']
119099,MainField,E-5,0x0bd9d3ddcebc0958,Enemy_Moriblin_Junior,Surface6,Lookout Landing,1,,1,,,"[-722.31, 123.32, 572.15]",Table,['Default']
119411,MainField,E-5,0xcca8841af51929ef,Enemy_Moriblin_Junior,Surface6,Lookout Landing,1,['Weapon_Sword_106'],1,,,"[-576.86, 129.53, 520.24]",Table,['Default']
119531,MainField,E-5,0xe47dfbccb9892ab3,Enemy_Moriblin_Junior,Surface6,Hyrule Field,0,,1,,,"[-966.18, 127.19, 717.96]",Table,['Default']
125033,MainField,E-6,0x369d26708fafa248,Enemy_Moriblin_Junior,Surface32,Hyrule Field,1,,1,,,"[-231.83, 131.66, 1481.07]",Table,['Default']
