objid,map_type,map_name,hash_id,name,fieldarea,region,scale,equip,map_static,korok_id,korok_type,pos,drop.type,drop.value
6622,MainField,A-5,0xe2d574f3bc8e5c1c,Enemy_Moriblin_Senior,Surface0,Gerudo Highlands,0,['Weapon_Sword_108'],1,,,"[-4569.93, 617.9, 991.81]",Table,['Default']
6623,MainField,A-5,0xe2d574f31521e1e7,Enemy_Moriblin_Senior,Surface0,Gerudo Highlands,0,"['Weapon_Sword_108', 'Weapon_Shield_001']",1,,,"[-4583.33, 618.61, 991.99]",Table,['Default']
6624,MainField,A-5,0xe2d574f30a2af079,Enemy_Moriblin_Senior,Surface0,Gerudo Highlands,1,['Weapon_Sword_112'],1,,,"[-4576.64, 617.94, 996.23]",Table,['Default']
9095,MainField,A-6,0x5dff94a5d91acca1,Enemy_Moriblin_Senior,Surface0,Gerudo Highlands,0,,1,,,"[-3999.19, 616.95, 1161.16]",Table,['Default']
9100,MainField,A-6,0x5dff94a596734575,Enemy_Moriblin_Senior,Surface0,Gerudo Highlands,0,"['Weapon_Lsword_108', 'BrokenSnowBallForAttachmentSmall']",1,,,"[-4301.55, 597.47, 1083.93]",Table,['Default']
9297,MainField,A-6,0x66a042578b102d73,Enemy_Moriblin_Senior,Surface0,Gerudo Highlands,0,,1,,,"[-4755.32, 612.88, 1367.6]",Table,['Default']
9341,MainField,A-6,0xb582edf943d8287b,Enemy_Moriblin_Senior,Surface4,Gerudo Highlands,1,,1,,,"[-4320.22, 417.53, 1447.77]",Table,['Default']
13963,MainField,A-8,0xeb5ee0a4accb2bfb,Enemy_Moriblin_Senior,Surface21,Gerudo Canyon,0,"['Weapon_Lsword_108', 'FireFruit', 'Obj_LiftRockGerudo_Korok_A_01']",1,,,"[-4697.44, 147.81, 3106.46]",Table,['Default']
13964,MainField,A-8,0xee6921b9824e22f9,Enemy_Moriblin_Senior,Surface21,Gerudo Canyon,1,"['Weapon_Sword_108', 'FireFruit']",1,,,"[-4650, 148.7, 3073]",Table,['Default']
16672,MainField,B-1,0xc88d49a347c204b7,Enemy_Moriblin_Senior,Surface39,Rospro Pass,1,"['Weapon_Sword_108', 'AsbObj_SharpRock_A_S_01']",1,,,"[-3960, 530.21, -3687.72]",Table,['Default']
31246,MainField,B-5,0x3569a32f51c85f44,Enemy_Moriblin_Senior,Surface4,Gerudo Highlands,0,['Weapon_Lsword_113'],0,,,"[-3507, 328.82, 496.64]",Table,['Default']
35276,MainField,B-6,0xfad34a8261c38c7d,Enemy_Moriblin_Senior,Surface4,Gerudo Highlands,0,['Weapon_Lsword_113'],0,,,"[-3406.25, 466.54, 1753.82]",Table,['Default']
37056,MainField,B-6,0x5dff94a5855bc37e,Enemy_Moriblin_Senior,Surface106,Gerudo Highlands,1,,1,,,"[-3776, 325.68, 1846]",Table,['Default']
37260,MainField,B-6,0x3d93592a0c5080c3,Enemy_Moriblin_Senior,Surface0,Gerudo Highlands,0,,1,,,"[-3065.3, 667.77, 1606.58]",Table,['Default']
42798,MainField,B-7,0x32935de19ee59237,Enemy_Moriblin_Senior,Surface106,Gerudo Highlands,0,,1,,,"[-3658.33, 285.62, 2147.36]",Table,['Default']
69252,MainField,C-6,0xe775de36b80b9a81,Enemy_Moriblin_Senior,Surface0,Gerudo Highlands,1,,1,,,"[-2808.28, 625.99, 1559.71]",Table,['Default']
70080,MainField,C-7,0xcb0c96941efef471,Enemy_Moriblin_Senior,Surface73,Gerudo Canyon,0,['Weapon_Spear_113'],0,,,"[-2763.73, 271.04, 2428.53]",Table,['Default']
75904,MainField,C-8,0x2d268c59139ad31c,Enemy_Moriblin_Senior,Surface21,Gerudo Canyon,0,['Weapon_Sword_108'],1,,,"[-2663.67, 97.18, 3250.82]",Table,['Default']
75905,MainField,C-8,0x2d268c594ac4082b,Enemy_Moriblin_Senior,Surface21,Gerudo Canyon,0,"['Weapon_Sword_108', 'Weapon_Shield_001']",1,,,"[-2652.99, 97.33, 3258.93]",Table,['Default']
75906,MainField,C-8,0x2d268c5979fd78b9,Enemy_Moriblin_Senior,Surface21,Gerudo Canyon,1,['Weapon_Sword_112'],1,,,"[-2655.65, 97.23, 3251.41]",Table,['Default']
100807,MainField,D-7,0x012e5a59c74d21b1,Enemy_Moriblin_Senior,Surface47,Hyrule Field,0,,1,,,"[-1388.05, 317.37, 1995.3]",Table,['Default']
100810,MainField,D-7,0xe6f1242d03116440,Enemy_Moriblin_Senior,Surface47,Hyrule Field,0,,1,,,"[-1032.29, 293.34, 2262.22]",Table,['Default']
131242,MainField,E-8,0x07baa768209f74f8,Enemy_Moriblin_Senior,Surface55,Popla Foothills,1,,1,,,"[-74.95, 120.62, 3446.35]",Table,['Default']
131248,MainField,E-8,0x5bd55207a9952481,Enemy_Moriblin_Senior,Surface55,Popla Foothills,1,,1,,,"[-42.87, 113.39, 3478.91]",Table,['Default']
147236,MainField,F-4,0x6af4b8e509ca31fd,Enemy_Moriblin_Senior,Surface41,Sahasra Slope,1,['Weapon_Sword_108'],1,,,"[648.4, 191.67, -877.45]",Table,['Default']
167566,MainField,F-8,0x876a078457b0694d,Enemy_Moriblin_Senior,Surface74,Popla Foothills,1,['Weapon_Lsword_124'],1,,,"[754.45, 123.16, 3101.91]",Table,['Default']
178497,MainField,G-3,0x827db02954675c9c,Enemy_Moriblin_Senior,Surface91,Eldin Canyon,0,['Weapon_Lsword_113'],0,,,"[1400.87, 525.1, -1943.41]",Table,['Default']
198300,MainField,G-7,0x5dff94a536976ae0,Enemy_Moriblin_Senior,Surface104,Popla Foothills,0,['Weapon_Lsword_108'],1,,,"[1800.71, 374.87, 2657.68]",Table,['Default']
198544,MainField,G-7,0x57b0b2473c6a8f08,Enemy_Moriblin_Senior,Surface104,Popla Foothills,1,['Weapon_Lsword_108'],1,,,"[1472.73, 221.77, 2842.02]",Table,['Default']
198561,MainField,G-7,0xb9acbed5d7c97239,Enemy_Moriblin_Senior,Surface104,Popla Foothills,0,"['Weapon_Sword_108', 'Weapon_Shield_001']",1,,,"[1264.87, 259.74, 2826.96]",Table,['Default']
230780,MainField,H-7,0xcfc4c8e26b2fae71,Enemy_Moriblin_Senior,Surface61,Rabella Wetlands,0,"['Weapon_Spear_108', 'AsbObj_RockParts_C_S_01']",0,,,"[2962.42, 245.27, 2953.8]",Table,['Default']
232869,MainField,H-7,0xcd79fe6114a34935,Enemy_Moriblin_Senior,Surface13,Rabella Wetlands,0,"['Weapon_Lsword_108', 'AsbObj_RockParts_C_S_01']",1,,,"[2930.43, 228.39, 2486.45]",Table,['Default']
240085,MainField,I-1,0xc2bd1ba18abde857,Enemy_Moriblin_Senior,Surface22,Ulri Mountain,1,,1,,,"[3195.65, 83.27, -3486.45]",Table,['Default']
240086,MainField,I-1,0xeccf86800ead7a96,Enemy_Moriblin_Senior,Surface22,Ulri Mountain,0,,1,,,"[3205.46, 83.32, -3487.65]",Table,['Default']
243530,MainField,I-2,0xe639ccfa039cf508,Enemy_Moriblin_Senior,Surface2,Ulri Mountain,1,['Weapon_Sword_113'],1,,,"[3990.33, 165.73, -2407]",Table,['Default']
243728,MainField,I-2,0xdc9c9f3b67b4e292,Enemy_Moriblin_Senior,Surface2,Ulri Mountain,1,['Weapon_Sword_113'],1,,,"[3467.58, 201.72, -2247.46]",Table,['Default']
243802,MainField,I-2,0x228b822667973242,Enemy_Moriblin_Senior,Surface20,Ulri Mountain,1,['Weapon_Sword_108'],1,,,"[3835, 156.33, -2780]",Table,['Default']
243803,MainField,I-2,0x6ea1306169101cfe,Enemy_Moriblin_Senior,Surface20,Ulri Mountain,0,['Weapon_Lsword_113'],1,,,"[3828, 156.19, -2779.49]",Table,['Default']
243828,MainField,I-2,0x3af9aafc7ae88907,Enemy_Moriblin_Senior,Surface2,Ulri Mountain,1,['Weapon_Lsword_113'],1,,,"[3686.04, 179.42, -2392.93]",Table,['Default']
243840,MainField,I-2,0x8ab4b86dd85f5c2f,Enemy_Moriblin_Senior,Surface2,Ulri Mountain,0,['Weapon_Sword_112'],1,,,"[3786.26, 223.23, -2019.17]",Table,['Default']
243911,MainField,I-2,0x1aae8b24e4294cc1,Enemy_Moriblin_Senior,Surface20,Ulri Mountain,0,['Weapon_Sword_108'],1,,,"[3908.98, 210.34, -2947.43]",Table,['Default']
243913,MainField,I-2,0xb09b98cebeb7fe24,Enemy_Moriblin_Senior,Surface20,Ulri Mountain,0,"['Weapon_Sword_108', 'AsbObj_SpikeDynamic_A_01']",1,,,"[3914.51, 211.89, -2957.47]",Table,['Default']
247430,MainField,I-3,0x9a34899f1d0b5bd9,Enemy_Moriblin_Senior,Surface2,Eldin Canyon,0,,1,,,"[3001.26, 386.96, -1230.86]",Table,['Default']
247441,MainField,I-3,0xc7138936ce335310,Enemy_Moriblin_Senior,Surface2,Eldin Canyon,0,"['Weapon_Sword_113', 'Weapon_Shield_003']",1,,,"[3007.49, 386.96, -1256.33]",Table,['Default']
247444,MainField,I-3,0xca10fa60c407fb46,Enemy_Moriblin_Senior,Surface2,Eldin Canyon,1,,1,,,"[3016.5, 386.96, -1230.14]",Table,['Default']
247578,MainField,I-3,0x515b6d58f629a9e8,Enemy_Moriblin_Senior,Surface2,Ulri Mountain,1,['Weapon_Spear_124'],1,,,"[3412.82, 273.65, -1977.1]",Table,['Default']
248047,MainField,I-3,0x0089582e67b7285e,Enemy_Moriblin_Senior,Surface2,Ulri Mountain,1,['Weapon_Lsword_108'],1,,,"[3384.92, 491.49, -1465.1]",Table,['Default']
259938,MainField,I-6,0xec7b86f39f6c2cb6,Enemy_Moriblin_Senior,Surface38,Mount Lanayru,0,['Weapon_Lsword_113'],1,,,"[3487.5, 305.5, 1098.5]",Table,['Default']
260071,MainField,I-6,0x0c38c4fd680fd2ed,Enemy_Moriblin_Senior,Surface13,Mount Lanayru,0,,1,,,"[3292.96, 337.2, 1470.85]",Table,['Default']
268662,MainField,J-1,0x5dff94a5eb3b4856,Enemy_Moriblin_Senior,Surface20,Ulri Mountain,0,"['Weapon_Lsword_108', 'AsbObj_SharpRock_A_S_01']",0,,,"[4228.18, 336.6, -3175.77]",Table,['Default']
