objid,map_type,map_name,hash_id,name,fieldarea,region,scale,equip,map_static,korok_id,korok_type,pos,drop.type,drop.value
1735,MainField,A-2,0x0706b5f05920ad71,Enemy_Octarock,Surface3,Rospro Pass,0,['OctObj_Grass_08'],0,,,"[-3967.8, 86.21, -2739.41]",Table,['Default']
1736,MainField,A-2,0x0706b5f067f50b41,Enemy_Octarock,Surface3,Rospro Pass,0,['OctObj_Grass_08'],0,,,"[-4073.65, 86.26, -2471.97]",Table,['Default']
5075,MainField,A-5,0x6753d4b6499cd6fc,Enemy_Octarock_Desert,Surface0,Gerudo Highlands,0,,0,,,"[-4497.75, 613.67, 751.77]",Table,['Default']
5106,MainField,A-5,0x6753d4b61e5573c7,Enemy_Octarock_Desert,Surface0,Gerudo Highlands,0,,0,,,"[-4080.31, 791.21, 707.55]",Table,['Default']
5107,MainField,A-5,0x6753d4b6274ddd73,Enemy_Octarock_Desert,Surface0,Gerudo Highlands,0,,0,,,"[-4225.42, 784.79, 642.55]",Table,['Default']
5108,MainField,A-5,0x6753d4b614272748,Enemy_Octarock_Desert,Surface0,Gerudo Highlands,0,,0,,,"[-4206.65, 792.31, 689.07]",Table,['Default']
5572,MainField,A-5,0x387fef9e9e11e1d9,Enemy_Octarock_Desert,Surface0,Gerudo Highlands,0,,0,,,"[-4455, 662.66, 360]",Table,['Default']
7001,MainField,A-6,0x6753d4b61bac0132,Enemy_Octarock_Desert,Surface0,Gerudo Highlands,0,,0,,,"[-4359.31, 624.88, 1016.9]",Table,['Default']
7039,MainField,A-6,0x27e8b40c37c62561,Enemy_Octarock_Snow,Surface0,Gerudo Highlands,0,,0,,,"[-4462.2, 564.91, 1369.9]",Table,['Default']
7040,MainField,A-6,0x27e8b40c9a19d1f7,Enemy_Octarock_Snow,Surface0,Gerudo Highlands,0,,0,,,"[-4465.1, 567.13, 1348.6]",Table,['Default']
10025,MainField,A-7,0x6753d4b678038e0f,Enemy_Octarock_Desert,Surface72,Gerudo Canyon,0,,0,,,"[-4094, 152, 2777]",Table,['Default']
10763,MainField,A-7,0xc986ca3c282a9764,Enemy_Octarock_Desert,Surface21,Gerudo Canyon,0,,0,,,"[-4426, 166.15, 2371]",Table,['Default']
10776,MainField,A-7,0x785597776e24f1ca,Enemy_Octarock_Desert,Surface21,Gerudo Canyon,0,,0,,,"[-4787, 140, 2050]",Table,['Default']
22615,MainField,B-3,0xd39a6877ae4c2338,Enemy_Octarock_Snow,Surface18,Lindor's Brow,0,,0,,,"[-3285.03, 224.99, -1660.62]",Table,['Default']
22616,MainField,B-3,0x5549c77a04f55a3a,Enemy_Octarock_Snow,Surface18,Lindor's Brow,0,,0,,,"[-3316.18, 224.91, -1644]",Table,['Default']
22617,MainField,B-3,0x0a1fdee4f00503d2,Enemy_Octarock_Snow,Surface18,Lindor's Brow,0,,0,,,"[-3326.89, 224.76, -1625.51]",Table,['Default']
24225,MainField,B-3,0x82ae93aaa24e8a16,Enemy_Octarock_Forest,Surface42,Lindor's Brow,0,,0,,,"[-3101.84, 322.84, -1344.3]",Table,['Default']
31239,MainField,B-5,0xc5c323f90c78a7a0,Enemy_Octarock_Snow,Surface0,Gerudo Highlands,0,,0,,,"[-3466.55, 684.74, 993.86]",Table,['Default']
31240,MainField,B-5,0xaf878ae92381b8d8,Enemy_Octarock_Snow,Surface0,Gerudo Highlands,0,,0,,,"[-3451.7, 687.78, 984.56]",Table,['Default']
33357,MainField,B-6,0x58343f85262730a0,Enemy_Octarock_Stone,Surface106,Gerudo Highlands,0,,0,,,"[-3699.3, 243.91, 1963.1]",Table,['Default']
