objid,map_type,map_name,hash_id,name,fieldarea,region,scale,equip,map_static,korok_id,korok_type,pos,drop.type,drop.value
5075,MainField,A-5,0x6753d4b6499cd6fc,Enemy_Octarock_Desert,Surface0,Gerudo Highlands,0,,0,,,"[-4497.75, 613.67, 751.77]",Table,['Default']
5106,MainField,A-5,0x6753d4b61e5573c7,Enemy_Octarock_Desert,Surface0,Gerudo Highlands,0,,0,,,"[-4080.31, 791.21, 707.55]",Table,['Default']
5107,MainField,A-5,0x6753d4b6274ddd73,Enemy_Octarock_Desert,Surface0,Gerudo Highlands,0,,0,,,"[-4225.42, 784.79, 642.55]",Table,['Default']
5108,MainField,A-5,0x6753d4b614272748,Enemy_Octarock_Desert,Surface0,Gerudo Highlands,0,,0,,,"[-4206.65, 792.31, 689.07]",Table,['Default']
5572,MainField,A-5,0x387fef9e9e11e1d9,Enemy_Octarock_Desert,Surface0,Gerudo Highlands,0,,0,,,"[-4455, 662.66, 360]",Table,['Default']
7001,MainField,A-6,0x6753d4b61bac0132,Enemy_Octarock_Desert,Surface0,Gerudo Highlands,0,,0,,,"[-4359.31, 624.88, 1016.9]",Table,['Default']
10025,MainField,A-7,0x6753d4b678038e0f,Enemy_Octarock_Desert,Surface72,Gerudo Canyon,0,,0,,,"[-4094, 152, 2777]",Table,['Default']
10763,MainField,A-7,0xc986ca3c282a9764,Enemy_Octarock_Desert,Surface21,Gerudo Canyon,0,,0,,,"[-4426, 166.15, 2371]",Table,['Default']
10776,MainField,A-7,0x785597776e24f1ca,Enemy_Octarock_Desert,Surface21,Gerudo Canyon,0,,0,,,"[-4787, 140, 2050]",Table,['Default']
33387,MainField,B-6,0x6753d4b67bb2b421,Enemy_Octarock_Desert,Surface0,Gerudo Highlands,0,,0,,,"[-3323.62, 695.06, 1002.47]",Table,['Default']
33430,MainField,B-6,0x6753d4b6f46a6565,Enemy_Octarock_Desert,Surface106,Gerudo Highlands,0,,0,,,"[-3798, 355.01, 1756.4]",Table,['Default']
44734,MainField,B-8,0x6753d4b6c07b5344,Enemy_Octarock_Desert,Surface21,Gerudo Canyon,0,,0,,,"[-3748, 125.89, 3561]",Table,['Default']
165689,MainField,F-8,0x799fb82b9b7f3260,Enemy_Octarock_Desert,Surface36,Popla Foothills,0,,0,,,"[1009.17, 143.94, 3329.68]",Table,['Default']
165690,MainField,F-8,0x90c70430a49530f0,Enemy_Octarock_Desert,Surface36,Popla Foothills,0,,0,,,"[874.6, 155.3, 3540.6]",Table,['Default']
165691,MainField,F-8,0xb261d4b8572dd5ea,Enemy_Octarock_Desert,Surface36,Popla Foothills,0,,0,,,"[798.32, 143.71, 3279.5]",Table,['Default']
165692,MainField,F-8,0x64ee6deecb758d4d,Enemy_Octarock_Desert,Surface36,Popla Foothills,0,,0,,,"[884.39, 135.53, 3245.55]",Table,['Default']
165695,MainField,F-8,0x8a27f026b0b48fdc,Enemy_Octarock_Desert,Surface74,Popla Foothills,0,,0,,,"[754.5, 132.27, 3037]",Table,['Default']
165700,MainField,F-8,0xe1a6d28beafa1d36,Enemy_Octarock_Desert,Surface29,Popla Foothills,0,,0,,,"[919.74, 133.31, 3033.63]",Table,['Default']
199477,MainField,G-8,0x6753d4b6e1812250,Enemy_Octarock_Desert,Surface59,Popla Foothills,0,,0,,,"[1491.47, 165.07, 3332.93]",Table,['Default']
199480,MainField,G-8,0x6753d4b6aea089b6,Enemy_Octarock_Desert,Surface58,Popla Foothills,0,,0,,,"[1360.01, 106.29, 3623.72]",Table,['Default']
201951,MainField,G-8,0x9dfc8bf37601b509,Enemy_Octarock_Desert,Surface59,Popla Foothills,0,,0,,,"[1064.1, 167.87, 3075.62]",Table,['Default']
201958,MainField,G-8,0x4a6858f95eee8161,Enemy_Octarock_Desert,Surface59,Popla Foothills,0,,0,,,"[1188.29, 150.75, 3397.02]",Table,['Default']
201962,MainField,G-8,0x152af7cc5ae7f916,Enemy_Octarock_Desert,Surface59,Popla Foothills,0,,0,,,"[1961.57, 215.82, 3542.96]",Table,['Default']
201966,MainField,G-8,0xfced37333337221a,Enemy_Octarock_Desert,Surface59,Popla Foothills,0,,0,,,"[1724.2, 269.06, 3669]",Table,['Default']
234950,MainField,H-8,0x28fb59bcf2a0c41d,Enemy_Octarock_Desert,Surface58,Rabella Wetlands,0,,0,,,"[2778.98, 106.5, 3894.51]",Table,['Default']
267309,MainField,I-8,0xcb6516b71c316516,Enemy_Octarock_Desert,Surface62,Rabella Wetlands,0,,0,,,"[3270.53, 109.75, 3543.65]",Table,['Default']
277405,MainField,J-5,0x6753d4b66f9ef155,Enemy_Octarock_Desert,Surface57,Upland Zorana,0,,0,,,"[4230.08, 107.31, 596.06]",Table,['Default']
