objid,map_type,map_name,hash_id,name,fieldarea,region,scale,equip,map_static,korok_id,korok_type,pos,drop.type,drop.value
24225,MainField,B-3,0x82ae93aaa24e8a16,Enemy_Octarock_Forest,Surface42,Lindor's Brow,0,,0,,,"[-3101.84, 322.84, -1344.3]",Table,['Default']
54086,MainField,C-3,0xba41cd7f746e60bc,Enemy_Octarock_Forest,Surface63,Lindor's Brow,0,,0,,,"[-2401.1, 209.19, -1029.6]",Table,['Default']
54087,MainField,C-3,0xba41cd7ff46c7431,Enemy_Octarock_Forest,Surface63,Lindor's Brow,0,,0,,,"[-2079.1, 207.46, -1012]",Table,['Default']
57453,MainField,C-4,0xba41cd7fb4b6023e,Enemy_Octarock_Forest,Surface63,Lindor's Brow,0,,0,,,"[-2085, 207.44, -997.5]",Table,['Default']
57454,MainField,C-4,0xba41cd7fbf5b579d,Enemy_Octarock_Forest,Surface63,Lindor's Brow,0,,0,,,"[-2067.5, 207.31, -874]",Table,['Default']
57455,MainField,C-4,0xba41cd7fbe351791,Enemy_Octarock_Forest,Surface63,Lindor's Brow,0,,0,,,"[-2094.4, 207.77, -860]",Table,['Default']
57456,MainField,C-4,0xba41cd7fc961007c,Enemy_Octarock_Forest,Surface63,Lindor's Brow,0,,0,,,"[-2361.9, 207.55, -830.7]",Table,['Default']
57474,MainField,C-4,0xba41cd7fb784a2e0,Enemy_Octarock_Forest,Surface63,Lindor's Brow,0,,0,,,"[-2355.7, 207.02, -785.2]",Table,['Default']
57475,MainField,C-4,0xba41cd7f019cfd40,Enemy_Octarock_Forest,Surface63,Lindor's Brow,0,,0,,,"[-2407.8, 207.52, -870.7]",Table,['Default']
57476,MainField,C-4,0xba41cd7f491829df,Enemy_Octarock_Forest,Surface63,Lindor's Brow,0,,0,,,"[-2409.7, 207.38, -879.7]",Table,['Default']
57477,MainField,C-4,0xba41cd7f98b18040,Enemy_Octarock_Forest,Surface63,Lindor's Brow,0,,0,,,"[-2370.9, 207.44, -835.4]",Table,['Default']
57478,MainField,C-4,0xba41cd7fc0de2ee4,Enemy_Octarock_Forest,Surface63,Lindor's Brow,0,,0,,,"[-2060.5, 207.35, -876.5]",Table,['Default']
61423,MainField,C-5,0xba41cd7fdcfbdb8c,Enemy_Octarock_Forest,Surface64,Hyrule Field,0,,0,,,"[-2406.3, 311.76, 781.1]",Table,['Default']
61424,MainField,C-5,0xba41cd7fa68d2ac0,Enemy_Octarock_Forest,Surface64,Hyrule Field,0,,0,,,"[-2469, 313.5, 734.5]",Table,['Default']
61425,MainField,C-5,0xba41cd7f4c3f9166,Enemy_Octarock_Forest,Surface64,Hyrule Field,0,,0,,,"[-2480, 311.6, 740.2]",Table,['Default']
61426,MainField,C-5,0xba41cd7f5d44387f,Enemy_Octarock_Forest,Surface64,Hyrule Field,0,,0,,,"[-2427.6, 310.26, 745.4]",Table,['Default']
61427,MainField,C-5,0xba41cd7f631d1f6c,Enemy_Octarock_Forest,Surface64,Hyrule Field,0,,0,,,"[-2423, 309.55, 694.3]",Table,['Default']
61428,MainField,C-5,0xba41cd7ff4d2a055,Enemy_Octarock_Forest,Surface64,Hyrule Field,0,,0,,,"[-2448.2, 305.19, 692.3]",Table,['Default']
61429,MainField,C-5,0xba41cd7f6951a4a2,Enemy_Octarock_Forest,Surface64,Hyrule Field,0,,0,,,"[-2436.9, 317.08, 792.6]",Table,['Default']
120237,MainField,E-6,0xba41cd7f41e9b5fa,Enemy_Octarock_Forest,Surface32,Hyrule Field,0,,0,,,"[-255.24, 132.87, 1349.99]",Table,['Default']
120238,MainField,E-6,0xba41cd7fcee0a508,Enemy_Octarock_Forest,Surface32,Hyrule Field,0,['OctObj_Grass_03'],0,,,"[-204.57, 133.25, 1342.32]",Table,['Default']
152696,MainField,F-6,0xba41cd7fc12a768a,Enemy_Octarock_Forest,Surface1,Popla Foothills,0,['OctObj_Grass_03'],0,,,"[414.51, 124.26, 1373.63]",Table,['Default']
152697,MainField,F-6,0xba41cd7febb12c3e,Enemy_Octarock_Forest,Surface1,Popla Foothills,0,['OctObj_Grass_06'],0,,,"[491, 124.86, 1442.5]",Table,['Default']
152698,MainField,F-6,0xba41cd7f7c8ff704,Enemy_Octarock_Forest,Surface1,Popla Foothills,0,['OctObj_Grass_03'],0,,,"[541, 118.83, 1143.5]",Table,['Default']
152699,MainField,F-6,0xba41cd7fd841453a,Enemy_Octarock_Forest,Surface1,Popla Foothills,0,['OctObj_Grass_03'],0,,,"[649, 122.7, 1163]",Table,['Default']
152701,MainField,F-6,0xba41cd7f5ac5aa09,Enemy_Octarock_Forest,Surface1,Popla Foothills,0,['OctObj_Grass_06'],0,,,"[458, 116.06, 1188.5]",Table,['Default']
152702,MainField,F-6,0xba41cd7f576a555f,Enemy_Octarock_Forest,Surface1,Popla Foothills,0,['OctObj_Grass_03'],0,,,"[564.5, 127.16, 1406]",Table,['Default']
152703,MainField,F-6,0xba41cd7f01f0bc5a,Enemy_Octarock_Forest,Surface1,Popla Foothills,0,['OctObj_Grass_03'],0,,,"[472.5, 126.71, 1357.5]",Table,['Default']
155411,MainField,F-6,0xcccd742f2853190d,Enemy_Octarock_Forest,Surface49,Popla Foothills,0,,0,,,"[717.23, 118.83, 1871.64]",Table,['Default']
158302,MainField,F-7,0xba41cd7fd5e0d62b,Enemy_Octarock_Forest,Surface49,Popla Foothills,0,,0,,,"[332, 118.27, 2968.5]",Table,['Default']
158303,MainField,F-7,0xba41cd7f7e0dbfcb,Enemy_Octarock_Forest,Surface49,Popla Foothills,0,['OctObj_Grass_03'],0,,,"[384.5, 117.06, 2963]",Table,['Default']
160632,MainField,F-7,0x523588807270560f,Enemy_Octarock_Forest,Surface49,Popla Foothills,0,,0,,,"[347.38, 117.82, 2977.9]",Table,['Default']
160633,MainField,F-7,0x5cb215ebf83e89c5,Enemy_Octarock_Forest,Surface49,Popla Foothills,0,,0,,,"[415.42, 117.69, 2949.71]",Table,['Default']
160634,MainField,F-7,0x8d8d6894524530b8,Enemy_Octarock_Forest,Surface49,Popla Foothills,0,,0,,,"[482.43, 119.33, 2983.54]",Table,['Default']
187117,MainField,G-5,0x47f25cef296c9685,Enemy_Octarock_Forest,Surface65,Sahasra Slope,0,,0,,,"[1399, 116, 309.5]",Table,['Default']
222675,MainField,H-5,0x82f300cbe6635935,Enemy_Octarock_Forest,Surface11,Sahasra Slope,0,,0,,,"[2694.33, 220.27, 482.64]",Table,['Default']
222676,MainField,H-5,0xf873159ab2b91952,Enemy_Octarock_Forest,Surface11,Sahasra Slope,0,,0,,,"[2891.03, 199.37, 549.46]",Table,['Default']
222677,MainField,H-5,0x8158c3ad76c15805,Enemy_Octarock_Forest,Surface11,Sahasra Slope,0,,0,,,"[2899.61, 198.01, 561.29]",Table,['Default']
222678,MainField,H-5,0x0d814abab8a83909,Enemy_Octarock_Forest,Surface11,Sahasra Slope,0,,0,,,"[2900.01, 194.08, 645.12]",Table,['Default']
222679,MainField,H-5,0x5433b06edcc97026,Enemy_Octarock_Forest,Surface11,Sahasra Slope,0,,0,,,"[2908.07, 193.05, 645.35]",Table,['Default']
238128,MainField,I-1,0xba41cd7f816ae684,Enemy_Octarock_Forest,Surface20,Ulri Mountain,0,['OctObj_Grass_07'],0,,,"[3371.41, 160.47, -3095.22]",Table,['Default']
238129,MainField,I-1,0xba41cd7fc420227a,Enemy_Octarock_Forest,Surface20,Ulri Mountain,0,['OctObj_Grass_02'],0,,,"[3311.1, 162.27, -3093.76]",Table,['Default']
238130,MainField,I-1,0xba41cd7ffe7e7820,Enemy_Octarock_Forest,Surface20,Ulri Mountain,0,['OctObj_Grass_02'],0,,,"[3329.19, 168.19, -3046.61]",Table,['Default']
238131,MainField,I-1,0xba41cd7fd8cfdfe0,Enemy_Octarock_Forest,Surface20,Ulri Mountain,0,['OctObj_Grass_06'],0,,,"[3386.48, 169.79, -3029.89]",Table,['Default']
238132,MainField,I-1,0xba41cd7f376a846c,Enemy_Octarock_Forest,Surface20,Ulri Mountain,0,['OctObj_Grass_07'],0,,,"[3426.78, 163.94, -3051]",Table,['Default']
238133,MainField,I-1,0xba41cd7f6e3fcebb,Enemy_Octarock_Forest,Surface20,Ulri Mountain,0,['OctObj_Grass_04'],0,,,"[3239.28, 170.39, -3066.62]",Table,['Default']
238134,MainField,I-1,0xba41cd7fd125a007,Enemy_Octarock_Forest,Surface20,Ulri Mountain,0,['OctObj_Grass_04'],0,,,"[3221.5, 178.67, -3043.5]",Table,['Default']
238135,MainField,I-1,0xba41cd7fa9a92bdc,Enemy_Octarock_Forest,Surface20,Ulri Mountain,0,['OctObj_Grass_02'],0,,,"[3263.8, 158.49, -3110.98]",Table,['Default']
238136,MainField,I-1,0xba41cd7fc27bfc21,Enemy_Octarock_Forest,Surface20,Ulri Mountain,0,['OctObj_Grass_02'],0,,,"[3344.35, 162.88, -3086.04]",Table,['Default']
238137,MainField,I-1,0xba41cd7f9d6e34d7,Enemy_Octarock_Forest,Surface20,Ulri Mountain,0,['OctObj_Grass_06'],0,,,"[3404, 161.84, -3069.5]",Table,['Default']
