objid,map_type,map_name,hash_id,name,fieldarea,region,scale,equip,map_static,korok_id,korok_type,pos,drop.type,drop.value
33357,MainField,B-6,0x58343f85262730a0,Enemy_Octarock_Stone,Surface106,Gerudo Highlands,0,,0,,,"[-3699.3, 243.91, 1963.1]",Table,['Default']
137344,MainField,F-2,0xc9fb5c9e0c0f1fed,Enemy_Octarock_Stone,Surface89,Thyphlo Ruins,0,,0,,,"[968.58, 358.98, -2996.35]",Table,['Default']
168738,MainField,G-1,0x58343f851099e4e4,Enemy_Octarock_Stone,Surface105,Eldin Canyon,0,,0,,,"[1569.6, 506.22, -3190.8]",Table,['Default']
168739,MainField,G-1,0x58343f85987b1cab,Enemy_Octarock_Stone,Surface105,Eldin Canyon,0,,0,,,"[1376.5, 514.22, -3216.1]",Table,['Default']
168740,MainField,G-1,0x58343f85d9c673f4,Enemy_Octarock_Stone,Surface7,Eldin Canyon,0,,0,,,"[1193.47, 463.01, -3276.13]",Table,['Default']
168741,MainField,G-1,0x58343f85a20c36e5,Enemy_Octarock_Stone,Surface7,Eldin Canyon,0,,0,,,"[1625.94, 407.06, -3427.26]",Table,['Default']
168742,MainField,G-1,0x58343f85ca23f131,Enemy_Octarock_Stone,Surface97,Thyphlo Ruins,0,,0,,,"[1282.9, 258.2, -3610]",Table,['Default']
169394,MainField,G-1,0x637b33cad72bce8d,Enemy_Octarock_Stone,Surface7,Eldin Canyon,0,,0,,,"[1641.32, 422.95, -3410.79]",Table,['Default']
169398,MainField,G-1,0x64cccde73adf6d96,Enemy_Octarock_Stone,Surface7,Thyphlo Ruins,0,,0,,,"[1043.45, 388.31, -3010.4]",Table,['Default']
172527,MainField,G-2,0x6b9ffb042d72c34f,Enemy_Octarock_Stone,Surface67,Eldin Canyon,0,,0,,,"[1634.83, 504.21, -2747.94]",Table,['Default']
174072,MainField,G-2,0x3af097da738a1ad9,Enemy_Octarock_Stone,Surface66,Eldin Canyon,0,,0,,,"[1413.82, 430.82, -2350.73]",Table,['Default']
174073,MainField,G-2,0x667fddff6868183f,Enemy_Octarock_Stone,Surface66,Eldin Canyon,0,,0,,,"[1686.31, 546.54, -2296.17]",Table,['Default']
174074,MainField,G-2,0x04437109999981f6,Enemy_Octarock_Stone,Surface105,Eldin Canyon,0,,0,,,"[1886.02, 502.01, -2715.21]",Table,['Default']
174075,MainField,G-2,0x5d233e9d6b57bc27,Enemy_Octarock_Stone,Surface66,Eldin Canyon,0,,0,,,"[1442.17, 400.07, -2180.89]",Table,['Default']
180387,MainField,G-3,0x9ff8165e33c8e54c,Enemy_Octarock_Stone,Surface7,Eldin Canyon,0,,0,,,"[1449.79, 424.6, -1691.86]",Table,['Default']
180388,MainField,G-3,0x29ecaa1fdc6bc9bb,Enemy_Octarock_Stone,Surface66,Eldin Canyon,0,,0,,,"[1868.2, 382.66, -1473.27]",Table,['Default']
180389,MainField,G-3,0x66fb0071cdf9d946,Enemy_Octarock_Stone,Surface66,Eldin Canyon,0,,0,,,"[1626.34, 403.68, -1436.77]",Table,['Default']
180390,MainField,G-3,0xbbddec9f768a1c27,Enemy_Octarock_Stone,Surface91,Eldin Canyon,0,,0,,,"[1515.43, 422.07, -1756.83]",Table,['Default']
180391,MainField,G-3,0x3d668ec728680a45,Enemy_Octarock_Stone,Surface66,Eldin Canyon,0,,0,,,"[1436.56, 401.85, -2004.02]",Table,['Default']
205762,MainField,H-1,0x58343f859239a6f9,Enemy_Octarock_Stone,Surface7,Eldin Canyon,0,,0,,,"[2183.5, 458.82, -3460]",Table,['Default']
205763,MainField,H-1,0x58343f85325ddb36,Enemy_Octarock_Stone,Surface7,Eldin Canyon,0,,0,,,"[2379.63, 394.43, -3683.78]",Table,['Default']
205764,MainField,H-1,0x58343f850151ed8e,Enemy_Octarock_Stone,Surface7,Eldin Canyon,0,,0,,,"[2354.44, 411.84, -3602.01]",Table,['Default']
205765,MainField,H-1,0x58343f8513d65b49,Enemy_Octarock_Stone,Surface7,Eldin Canyon,0,,0,,,"[2367.28, 467.12, -3488.88]",Table,['Default']
205766,MainField,H-1,0x58343f8553ae5734,Enemy_Octarock_Stone,Surface7,Eldin Canyon,0,,0,,,"[2411.3, 479.49, -3452.4]",Table,['Default']
205771,MainField,H-1,0x58343f854768b64c,Enemy_Octarock_Stone,Surface7,Eldin Canyon,0,,0,,,"[2175.22, 335.08, -3638.54]",Table,['Default']
205772,MainField,H-1,0x58343f852b056c18,Enemy_Octarock_Stone,Surface7,Eldin Canyon,0,,0,,,"[2165.36, 333.75, -3642.11]",Table,['Default']
209750,MainField,H-2,0xc8eba40b4a6e0a17,Enemy_Octarock_Stone,Surface44,Eldin Canyon,0,,0,,,"[2697.5, 627.31, -2927]",Table,['Default']
209751,MainField,H-2,0xcc0d207059d08648,Enemy_Octarock_Stone,Surface66,Eldin Canyon,0,,0,,,"[2742.5, 627, -2274]",Table,['Default']
209752,MainField,H-2,0x4beffdc881d131d5,Enemy_Octarock_Stone,Surface105,Eldin Canyon,0,,0,,,"[2169.5, 630.57, -2430.5]",Table,['Default']
209807,MainField,H-2,0x166344fcbadbcbfb,Enemy_Octarock_Stone,Surface66,Eldin Canyon,0,,0,,,"[2865, 627.18, -2828]",Table,['Default']
209808,MainField,H-2,0x3d6d5d6fc7b6936a,Enemy_Octarock_Stone,Surface66,Eldin Canyon,0,,0,,,"[2900.25, 627.1, -2723]",Table,['Default']
210340,MainField,H-2,0x7a765a3de1c007a3,Enemy_Octarock_Stone,Surface44,Eldin Canyon,0,,1,,,"[2735.04, 850.25, -2632.54]",Table,['Default']
210341,MainField,H-2,0x83585582d30a0a91,Enemy_Octarock_Stone,Surface44,Eldin Canyon,0,,1,,,"[2495.32, 720.46, -2325.43]",Table,['Default']
524636,MainField,Cave__Cave_Eldin_0023_GroupSet_000 ,0xabf0da5f668c501c,Enemy_Octarock_Stone,Cave66,,0,,0,,,"[1703.72, 344.35, -3040.86]",Table,['Default']
524637,MainField,Cave__Cave_Eldin_0023_GroupSet_000 ,0xe698f528f16f3d12,Enemy_Octarock_Stone,Cave67,,0,,0,,,"[1697.22, 344.14, -2996.52]",Table,['Default']
