objid,map_type,map_name,hash_id,name,fieldarea,region,scale,equip,map_static,korok_id,korok_type,pos,drop.type,drop.value
3624,MainField,A-2,0xf3ceb41a2aef002c,Enemy_Toby_Junior,Surface39,Rospro Pass,0,,1,,,"[-4435.5, 425.5, -2966.5]",Table,['Default']
11835,MainField,A-7,0x65d2b8697e04e18f,Enemy_Toby_Junior,Surface21,Gerudo Canyon,0,,1,,,"[-4715.6, 172.99, 2410.96]",Table,['Default']
11838,MainField,A-7,0x4a071e919aefd811,Enemy_Toby_Junior,Surface21,Gerudo Canyon,0,,1,,,"[-4708.6, 177.24, 2316.69]",Table,['Default']
13965,MainField,A-8,0xda8a775a6d9f4599,Enemy_Toby_Junior,Surface21,Gerudo Canyon,0,,1,,,"[-4078.51, 140, 3824]",Table,['Default']
13968,MainField,A-8,0x5f3a35864d570a4b,Enemy_Toby_Junior,Surface21,Gerudo Canyon,0,,1,,,"[-4155.55, 140, 3909.63]",Table,['Default']
13971,MainField,A-8,0x33cf6432d3a1f61b,Enemy_Toby_Junior,Surface21,Gerudo Canyon,0,,1,,,"[-4236.64, 140, 3851.13]",Table,['Default']
20845,MainField,B-2,0x98d9b51834954ea8,Enemy_Toby_Junior,Surface3,Rospro Pass,0,,1,,,"[-3022.67, 664.12, -2748.73]",Table,['Default']
25613,MainField,B-3,0xac17c854817baa0b,Enemy_Toby_Junior,Surface42,Lindor's Brow,0,,1,,,"[-3054.26, 286.11, -1948.96]",Table,['Default']
27545,MainField,B-4,0x7e372c013283659e,Enemy_Toby_Junior_Sky,Surface42,Lindor's Brow,0,,0,,,"[-3802.04, 1332.09, -441.68]",Table,['Default']
27546,MainField,B-4,0x7c0a9bc9e9475a57,Enemy_Toby_Junior_Sky,Surface42,Lindor's Brow,0,,0,,,"[-3811.48, 1363.95, -411.42]",Table,['Default']
27547,MainField,B-4,0x2094ed3a2a63aeca,Enemy_Toby_Junior_Sky,Surface42,Lindor's Brow,0,,0,,,"[-3767.43, 1355.4, -424.1]",Table,['Default']
29001,MainField,B-4,0xd824814411ebaee4,Enemy_Toby_Junior,Surface42,Lindor's Brow,0,,1,,,"[-3422.44, 312.74, -719.87]",Table,['Default']
