objid,map_type,map_name,hash_id,name,fieldarea,region,scale,equip,map_static,korok_id,korok_type,drop,pos,drop.type,drop.value
83835,MainField,D-3,0xa443d97ad57a23c6,Enemy_Treant_Broadleaf_Dummy,Surface26,Lindor's Brow,0,,0,,,,"[-1180.12, 227.64, -1384.55]",,
83836,MainField,D-3,0x06f9f7f474968d45,Enemy_Treant_Broadleaf_Dummy,Surface26,Lindor's Brow,0,,0,,,,"[-1177.16, 228.37, -1411.24]",,
85288,MainField,D-3,0x9aacba4bf29b7c13,Enemy_Treant_Broadleaf,Surface81,Lindor's Brow,0,,1,,,,"[-1712.87, 314.13, -1097.81]",Table,['Default']
85290,MainField,D-3,0x5f086765fcad149f,Enemy_Treant_Broadleaf,Surface81,Lindor's Brow,0,,1,,,,"[-1724.99, 315.29, -1090.91]",Table,['Default']
87225,MainField,D-4,0x2d78e4ac20db4280,Enemy_Treant_Broadleaf_Dummy,Surface80,Lindor's Brow,0,,0,,,,"[-1877.28, 224.14, -241.53]",,
87227,MainField,D-4,0x2dfd6cced09c2f8e,Enemy_Treant_Broadleaf_Dummy,Surface80,Lindor's Brow,0,,0,,,,"[-1890.67, 226.93, -227.94]",,
87263,MainField,D-4,0xd937f6a9651bcb32,Enemy_Treant_Broadleaf_Dummy,Surface80,Lindor's Brow,0,,0,,,,"[-1953.78, 259, -52.14]",,
90062,MainField,D-5,0xc591cedd8778c3a4,Enemy_Treant_Broadleaf_Dummy,Surface6,Lookout Landing,0,,0,,,,"[-1228.99, 143.51, 326.66]",,
93983,MainField,D-6,0x9a9bedc9f8af4142,Enemy_Treant_Broadleaf_Dummy,Surface77,Hyrule Field,0,,0,,,,"[-1920.22, 205.88, 1125.35]",,
93985,MainField,D-6,0x984a77177892feca,Enemy_Treant_Broadleaf_Dummy,Surface77,Hyrule Field,0,,0,,,,"[-1936.22, 204.62, 1130.99]",,
