objid,map_type,map_name,hash_id,name,fieldarea,region,scale,equip,map_static,korok_id,korok_type,pos,drop.type,drop.value
4860,MainField,A-4,0x3f6b5d3b7222bca1,Enemy_Wizzrobe_Electric,Surface102,Lindor's Brow,0,"['Weapon_Sword_101', 'ElectricalFruit']",0,,,"[-4140.3, 204.12, -410.37]",Table,['Default']
23170,MainField,B-3,0x043b908e2904798a,Enemy_Wizzrobe_Electric,Surface42,Lindor's Brow,0,"['Weapon_Sword_101', 'ElectricalFruit']",0,,,"[-3750.5, 347.66, -1335.87]",Table,['Default']
55191,MainField,C-3,0xc5b73e5507eddfe4,Enemy_Wizzrobe_Electric,Surface23,Lindor's Brow,0,"['Weapon_Sword_101', 'ElectricalFruit']",0,,,"[-2602.45, 62.31, -1487.32]",Table,['Default']
63756,MainField,C-5,0xc63fa92bbeef4389,Enemy_Wizzrobe_Electric,Surface64,Hyrule Field,0,"['Weapon_Sword_101', 'ElectricalFruit']",0,,,"[-2084.87, 396.53, 296.75]",Table,['Default']
83913,MainField,D-3,0x4c2fc53176e04b9c,Enemy_Wizzrobe_Electric,Surface23,Lindor's Brow,0,"['Weapon_Sword_101', 'ElectricalFruit']",0,,,"[-1783.45, 14.73, -1942.95]",Table,['Default']
87506,MainField,D-4,0x3efd5bbba8516f79,Enemy_Wizzrobe_Electric,Surface82,Lindor's Brow,0,"['Weapon_Sword_101', 'ElectricalFruit']",0,,,"[-1557.85, 127.55, -529.02]",Table,['Default']
90654,MainField,D-5,0xfb2e69cfb6fa933e,Enemy_Wizzrobe_Electric,Surface77,Hyrule Field,0,"['Weapon_Sword_101', 'ElectricalFruit']",0,,,"[-1711.64, 239.77, 843.48]",Table,['Default']
90657,MainField,D-5,0x9db8696894d07b77,Enemy_Wizzrobe_Electric,Surface6,Hyrule Field,0,"['Weapon_Sword_101', 'ElectricalFruit']",0,,,"[-1091.96, 140.51, 765.68]",Table,['Default']
94795,MainField,D-6,0x84ce3083c9b6cd21,Enemy_Wizzrobe_Electric_Senior,Surface46,Hyrule Field,0,"['Weapon_Sword_161', 'ElectricalFruit']",0,,,"[-1396.87, 226.04, 1555.26]",Table,['Default']
105390,MainField,E-2,0xfbe615ae82de86ea,Enemy_Wizzrobe_Electric,Surface60,Thyphlo Ruins,0,"['Weapon_Sword_101', 'ElectricalFruit']",0,,,"[-251.34, 250.58, -2198.37]",Table,['Default']
109479,MainField,E-4,0x4ca255cb7e2429cc,Enemy_Wizzrobe_Electric_Senior,Surface79,Lookout Landing,0,"['Weapon_Sword_161', 'ElectricalFruit']",0,,,"[-489.91, 160.09, -1043.01]",Table,['Default']
109480,MainField,E-4,0x2588ac3f1bcc6577,Enemy_Wizzrobe_Electric_Senior,Surface79,Lookout Landing,0,"['Weapon_Sword_161', 'ElectricalFruit']",0,,,"[-10.3, 145.76, -1099.73]",Table,['Default']
109481,MainField,E-4,0xd5f24ba4d5a814c3,Enemy_Wizzrobe_Electric_Senior,Surface79,Lookout Landing,0,"['Weapon_Sword_161', 'ElectricalFruit']",0,,,"[-44.61, 214.28, -824.36]",Table,['Default']
127281,MainField,E-7,0x4c507a70e1b85afd,Enemy_Wizzrobe_Electric_Senior,Surface46,Hyrule Field,0,"['Weapon_Sword_161', 'ElectricalFruit']",0,,,"[-937.87, 279.41, 2104.86]",Table,['Default']
137371,MainField,F-2,0x7774cf88bee449e1,Enemy_Wizzrobe_Electric,Surface8,Thyphlo Ruins,0,"['Weapon_Sword_101', 'ElectricalFruit']",0,,,"[812.1, 283.14, -2367.62]",Table,['Default']
141214,MainField,F-3,0xd1e8e5023f8228fd,Enemy_Wizzrobe_Electric,Surface60,Thyphlo Ruins,0,"['Weapon_Sword_101', 'ElectricalFruit']",0,,,"[587.5, 243.67, -1470.99]",Table,['Default']
160593,MainField,F-7,0x0675ffc7ed06726a,Enemy_Wizzrobe_Electric_Senior,Surface29,Popla Foothills,0,"['Weapon_Sword_161', 'ElectricalFruit']",0,,,"[822.48, 140.65, 2731.62]",Table,['Default']
160594,MainField,F-7,0x2920efbe5ba373c7,Enemy_Wizzrobe_Electric,Surface49,Popla Foothills,0,"['Weapon_Sword_101', 'ElectricalFruit']",0,,,"[283.19, 151.91, 2314.28]",Table,['Default']
165701,MainField,F-8,0x3843d221160555dc,Enemy_Wizzrobe_Electric_Senior,Surface59,Popla Foothills,0,"['Weapon_Sword_161', 'ElectricalFruit']",0,,,"[984.16, 174.27, 3150.5]",Table,['Default']
165881,MainField,F-8,0xfb7629bbcdc2158c,Enemy_Wizzrobe_Electric,Surface36,Popla Foothills,0,"['Weapon_Sword_101', 'ElectricalFruit']",0,,,"[871.82, 132.17, 3410.54]",Table,['Default']
187909,MainField,G-5,0xcdaddc954aaba497,Enemy_Wizzrobe_Electric,Surface65,Sahasra Slope,0,"['Weapon_Sword_101', 'ElectricalFruit']",0,,,"[1207.21, 196.47, 855.67]",Table,['Default']
187914,MainField,G-5,0x7fe69bd2aa972c90,Enemy_Wizzrobe_Electric,Surface65,Sahasra Slope,0,"['Weapon_Sword_101', 'ElectricalFruit']",0,,,"[1399.15, 118.84, 307.81]",Table,['Default']
199474,MainField,G-8,0x043b908e14608ff5,Enemy_Wizzrobe_Electric_Senior,Surface59,Popla Foothills,0,"['Weapon_Sword_161', 'ElectricalFruit']",0,,,"[1951.02, 356.72, 3033]",Table,['Default']
201967,MainField,G-8,0x7bb67f6ee8c29ad4,Enemy_Wizzrobe_Electric_Senior,Surface59,Popla Foothills,0,"['Weapon_Sword_161', 'ElectricalFruit']",0,,,"[1399.76, 258.61, 3501.97]",Table,['Default']
217558,MainField,H-4,0x139c7e730955c93b,Enemy_Wizzrobe_Electric,Surface85,Upland Zorana,0,"['Weapon_Sword_101', 'ElectricalFruit']",0,,,"[2758.57, 448.14, -589.34]",Table,['Default']
217731,MainField,H-4,0xa6b62d021c60a244,Enemy_Wizzrobe_Electric,Surface84,Upland Zorana,0,"['Weapon_Sword_101', 'ElectricalFruit']",0,,,"[2626.91, 321.22, -576.99]",Table,['Default']
230768,MainField,H-7,0x649c28e39a408436,Enemy_Wizzrobe_Electric_Senior,Surface61,Rabella Wetlands,0,"['Weapon_Sword_161', 'ElectricalFruit']",0,,,"[2318.32, 259.94, 2567.1]",Table,['Default']
251118,MainField,I-4,0x072ab7e1ef0f08a8,Enemy_Wizzrobe_Electric,Surface34,Upland Zorana,0,"['Weapon_Sword_101', 'ElectricalFruit']",0,,,"[3673.1, 384.08, -474.75]",Table,['Default']
277889,MainField,J-5,0x41d649ca72364206,Enemy_Wizzrobe_Electric_Senior,Surface68,Upland Zorana,0,"['Weapon_Sword_161', 'ElectricalFruit']",0,,,"[4366.15, 150.67, 116.24]",Table,['Default']
277925,MainField,J-5,0x1a7762f68856ba66,Enemy_Wizzrobe_Electric_Senior,Surface68,Upland Zorana,0,"['Weapon_Sword_161', 'ElectricalFruit']",0,,,"[4576.97, 159.98, 495.33]",Table,['Default']
280058,MainField,J-7,0xefa1e7ebcf7d97f5,Enemy_Wizzrobe_Electric,Surface78,Mount Lanayru,0,"['Weapon_Sword_101', 'ElectricalFruit']",0,,,"[4001.76, 108.98, 2304.8]",Table,['Default']
497983,MainField,Sky__Map_SKy_Firone_SmallZonauRuins_Island_B_00 ,0x87f6b7bf9e897eb1,Enemy_Wizzrobe_Electric_Senior,Sky105,,0,"['Weapon_Sword_161', 'ElectricalFruit']",0,,,"[988.95, 884.65, 2978.93]",Table,['Default']
