objid,map_type,map_name,hash_id,name,fieldarea,region,scale,equip,map_static,korok_id,korok_type,pos,drop.type,drop.value
2261,MainField,A-2,0x2daeb16edf05df4c,Enemy_Wizzrobe_Ice,Surface107,Rospro Pass,0,"['Weapon_Sword_106', 'IceFruit']",0,,,"[-4587.6, 342.31, -2979.96]",Table,['Default']
4312,MainField,A-3,0x6ade536b627132ac,Enemy_Wizzrobe_Ice,Surface3,Rospro Pass,0,"['Weapon_Sword_106', 'IceFruit']",0,,,"[-4217.28, 284.57, -1831.43]",Table,['Default']
5569,MainField,A-5,0x49a53e5e849342f5,Enemy_Wizzrobe_Ice_Senior,Surface0,Gerudo Highlands,0,"['Weapon_Sword_161', 'IceFruit']",0,,,"[-4176.83, 641.75, 545.45]",Table,['Default']
5573,MainField,A-5,0xdf74a354181df589,Enemy_Wizzrobe_Ice_Senior,Surface0,Gerudo Highlands,0,"['Weapon_Sword_161', 'IceFruit']",0,,,"[-4548.62, 698.43, 498.39]",Table,['Default']
7907,MainField,A-6,0x86d59ce5091f4053,Enemy_Wizzrobe_Ice_Senior,Surface0,Gerudo Highlands,0,"['Weapon_Sword_161', 'IceFruit']",0,,,"[-4571.51, 634.63, 1199.26]",Table,['Default']
18176,MainField,B-2,0x3875c9a88c26bde3,Enemy_Wizzrobe_Ice,Surface3,Rospro Pass,0,"['Weapon_Sword_106', 'IceFruit']",0,,,"[-3268, 383, -2134]",Table,['Default']
18179,MainField,B-2,0xf6c43308a5c34dc7,Enemy_Wizzrobe_Ice,Surface3,Rospro Pass,0,"['Weapon_Sword_106', 'IceFruit']",0,,,"[-3288.89, 557.95, -2757.09]",Table,['Default']
18216,MainField,B-2,0x1ffcc2a8ed1d6ec1,Enemy_Wizzrobe_Ice,Surface3,Rospro Pass,0,"['Weapon_Sword_106', 'IceFruit']",0,,,"[-3636.57, 251, -2095.67]",Table,['Default']
35237,MainField,B-6,0x97c626509e7e1667,Enemy_Wizzrobe_Ice_Senior,Surface0,Gerudo Highlands,0,"['Weapon_Sword_161', 'IceFruit']",0,,,"[-3895.8, 686.83, 1088.13]",Table,['Default']
35350,MainField,B-6,0xb562dffbd582ad73,Enemy_Wizzrobe_Ice_Senior,Surface0,Gerudo Highlands,0,"['Weapon_Sword_161', 'IceFruit']",0,,,"[-3005.41, 680.68, 1144.73]",Table,['Default']
35351,MainField,B-6,0x4d2d0307cc5dafb7,Enemy_Wizzrobe_Ice_Senior,Surface0,Gerudo Highlands,0,"['Weapon_Sword_161', 'IceFruit']",0,,,"[-3308.87, 644.98, 1575.48]",Table,['Default']
79805,MainField,D-2,0x4b420e55c0a3194d,Enemy_Wizzrobe_Ice,Surface5,Pikida Stonegrove,0,"['Weapon_Sword_106', 'IceFruit']",0,,,"[-1443.48, 350.31, -2574.95]",Table,['Default']
79977,MainField,D-2,0x6b5226c0a74e118c,Enemy_Wizzrobe_Ice,Surface5,Pikida Stonegrove,0,"['Weapon_Sword_106', 'IceFruit']",0,,,"[-1718.5, 349.13, -2396.23]",Table,['Default']
188019,MainField,G-5,0xe1de368bb5184bfe,Enemy_Wizzrobe_Ice,Surface69,Sahasra Slope,0,"['Weapon_Sword_106', 'IceFruit']",0,,,"[1974.34, 118.82, 94.06]",Table,['Default']
279130,MainField,J-6,0x45f70c5941401232,Enemy_Wizzrobe_Ice_Senior,Surface38,Mount Lanayru,0,"['Weapon_Sword_161', 'IceFruit']",0,,,"[4212.8, 418.5, 1866.23]",Table,['Default']
