objid,map_type,map_name,hash_id,name,fieldarea,region,scale,equip,map_static,korok_id,korok_type,pos,drop.type,drop.value,drop
11757,MainField,A-7,0x33112f16094b7e33,Enemy_Zombie_Boss_Junior,Surface21,Gerudo Canyon,0,,1,,,"[-4459.43, 143.83, 2967.12]",Table,['Default'],
13854,MainField,A-8,0xaa1776083f475d8b,Enemy_Zombie_Boss_Junior,Surface21,Gerudo Canyon,0,,1,,,"[-4098.5, 124.7, 3411.48]",Table,['Default'],
13857,MainField,A-8,0xce3dbbead0e596cf,Enemy_Zombie_Boss_Junior,Surface21,Gerudo Canyon,0,,1,,,"[-4780.56, 135.6, 3319.83]",Table,['Default'],
13858,MainField,A-8,0xbae891a19c1d90fc,Enemy_Zombie_Boss_Junior,Surface21,Gerudo Canyon,0,,1,,,"[-4783.1, 135.31, 3325.27]",Table,['Default'],
13877,MainField,A-8,0x081fb3a909d0521e,Enemy_Zombie_Boss_Junior,Surface21,Gerudo Canyon,0,,1,,,"[-4169.59, 146.12, 3185.76]",Table,['Default'],
13878,MainField,A-8,0x00e041959472d4eb,Enemy_Zombie_Boss_Junior,Surface21,Gerudo Canyon,0,,1,,,"[-4169.59, 146.38, 3191.76]",Table,['Default'],
13936,MainField,A-8,0x2edd4ffc51448d73,Enemy_Zombie_Boss_Junior,Surface21,Gerudo Canyon,0,,1,,,"[-4134.47, 128.18, 3717.26]",Table,['Default'],
13937,MainField,A-8,0x384fb378f0d84759,Enemy_Zombie_Boss_Junior,Surface21,Gerudo Canyon,0,,1,,,"[-4125.21, 128.73, 3872.01]",Table,['Default'],
13938,MainField,A-8,0xdd5aedfc447513a3,Enemy_Zombie_Boss_Junior,Surface21,Gerudo Canyon,0,,1,,,"[-4102, 129.36, 3784]",Table,['Default'],
13939,MainField,A-8,0x016f4d100025cd32,Enemy_Zombie_Boss_Junior,Surface21,Gerudo Canyon,0,,1,,,"[-4118.78, 128.71, 3881.63]",Table,['Default'],
13940,MainField,A-8,0x1eec71ea5b9d61b5,Enemy_Zombie_Boss_Junior,Surface21,Gerudo Canyon,0,,1,,,"[-4222.97, 129.45, 3878.65]",Table,['Default'],
13941,MainField,A-8,0x33d747f15fca8a23,Enemy_Zombie_Boss_Junior,Surface21,Gerudo Canyon,0,,1,,,"[-4130.7, 128.18, 3710.28]",Table,['Default'],
13942,MainField,A-8,0x06c04588626adbad,Enemy_Zombie_Boss_Junior,Surface21,Gerudo Canyon,0,,1,,,"[-4187.92, 129, 3717]",Table,['Default'],
14027,MainField,A-8,0xf388472de62eabd3,Enemy_Zombie_Boss_Junior,Surface21,Gerudo Canyon,0,,1,,,"[-4182.92, 128.86, 3776.99]",Table,['Default'],
40234,MainField,B-7,0xe813b57cc9b5f547,Enemy_Zombie_Boss_Junior,Surface72,Gerudo Canyon,0,,0,,,"[-3658.06, 151.74, 2804.85]",Table,['Default'],
46319,MainField,B-8,0x50ccd324564602dc,Enemy_Zombie_Boss_Junior,Surface21,Gerudo Canyon,0,,1,,,"[-3785.01, 119.18, 3659]",Table,['Default'],
46320,MainField,B-8,0x4821e9f04ecb18ae,Enemy_Zombie_Boss_Junior,Surface21,Gerudo Canyon,0,,1,,,"[-3790.99, 118.82, 3659]",Table,['Default'],
532425,MainField,Cave__Cave_GerudoDesert_0044_GroupSet_000 ,0x593a8af72a0d4310,Enemy_Zombie_Boss_Junior,Cave21,,0,,1,,,"[-2556.95, 71.78, 3723.62]",Table,['Default'],
532426,MainField,Cave__Cave_GerudoDesert_0044_GroupSet_000 ,0x5f87d0dae1841936,Enemy_Zombie_Boss_Junior,Cave21,,0,,1,,,"[-2494.62, 69.99, 3724.54]",Table,['Default'],
532427,MainField,Cave__Cave_GerudoDesert_0044_GroupSet_000 ,0xab9a272ef3820338,Enemy_Zombie_Boss_Junior,Cave21,,0,,1,,,"[-2499.39, 81.24, 3729.74]",Table,['Default'],
534346,MainField,Cave__Cave_GerudoHighlands_0008_GroupSet_000 ,0xb867ca242a0dcff8,Enemy_Zombie_Boss_Junior,Cave0,,0,,1,,,"[-4447.41, 560.32, 625.22]",Table,['Default'],
550768,MainField,Castle__Set_HyruleCastle_IslandGround_A ,0xaf136957afc34248,Enemy_Zombie_Boss_Junior,Surface79,Lookout Landing,0,,1,,,"[-171.7, 344.24, -1163.46]",Table,['Default'],
551520,MainField,LargeDungeon__LargeDungeonThunder ,0xe11ec1baed265dfc,FldObj_Gerudo_ZombieNest_A_02,Surface21,Gerudo Canyon,0,,1,,,"[-4398.07, 132.47, 3464.1]",,,
551526,MainField,LargeDungeon__LargeDungeonThunder ,0x283766a74b8d62d3,FldObj_Gerudo_ZombieNest_A_02,Surface21,Gerudo Canyon,0,,1,,,"[-4371.03, 130.28, 3493.16]",,,
551553,MainField,LargeDungeon__LargeDungeonThunder ,0x585ea0191ec86610,FldObj_Gerudo_ZombieNest_A_02_ForDungeonBossGerudoBattle,Surface40,Gerudo Canyon,0,,1,,,"[-4547.01, 229.67, 3611.39]",,,
551555,MainField,LargeDungeon__LargeDungeonThunder ,0x5e98e3e28e8056a9,FldObj_Gerudo_ZombieNest_A_02_ForDungeonBossGerudoBattle,Surface40,Gerudo Canyon,0,,1,,,"[-4490.44, 229.67, 3611.39]",,,
