objid,map_type,map_name,hash_id,name,fieldarea,region,scale,equip,map_static,korok_id,korok_type,pos,drop.type,drop.value,drop
11750,MainField,A-7,0xdf1b2630ccc78c9b,Enemy_Zombie_Junior,Surface21,Gerudo Canyon,0,,1,,,"[-4204.39, 145.79, 2965.62]",Table,['Default'],
11751,MainField,A-7,0xf76ca62a5daa9fab,Enemy_Zombie_Junior,Surface21,Gerudo Canyon,0,,1,,,"[-4209.59, 145.3, 2968.62]",Table,['Default'],
11752,MainField,A-7,0x87fd60c1ace2451c,Enemy_Zombie_Junior,Surface21,Gerudo Canyon,0,,1,,,"[-4208.99, 145.5, 2963.66]",Table,['Default'],
11758,MainField,A-7,0x78a5fa312e177014,Enemy_Zombie_Junior,Surface21,Gerudo Canyon,0,,1,,,"[-4460.03, 144.02, 2962.16]",Table,['Default'],
11759,MainField,A-7,0x0f581ffb49353f73,Enemy_Zombie_Junior,Surface21,Gerudo Canyon,0,,1,,,"[-4454.84, 143.81, 2965.16]",Table,['Default'],
11797,MainField,A-7,0x586d231c7816fd98,Enemy_Zombie_Junior,Surface72,Gerudo Canyon,0,,1,,,"[-4037, 149.29, 2717]",Table,['Default'],
11798,MainField,A-7,0x933c8fc9df01ee7a,Enemy_Zombie_Junior,Surface72,Gerudo Canyon,0,,1,,,"[-4017, 149, 2707]",Table,['Default'],
11799,MainField,A-7,0x8cecf9883fb3cac2,Enemy_Zombie_Junior,Surface72,Gerudo Canyon,0,,1,,,"[-4040, 150, 2710]",Table,['Default'],
11800,MainField,A-7,0xda4fd45c0e7b6f8b,Enemy_Zombie_Junior,Surface72,Gerudo Canyon,0,,1,,,"[-4026, 149, 2702]",Table,['Default'],
11801,MainField,A-7,0xfb77f21e2773376b,Enemy_Zombie_Junior,Surface72,Gerudo Canyon,0,,1,,,"[-4014, 149, 2712]",Table,['Default'],
11802,MainField,A-7,0x481f2232bf77069a,Enemy_Zombie_Junior,Surface72,Gerudo Canyon,0,,1,,,"[-4017, 149, 2717]",Table,['Default'],
11803,MainField,A-7,0xba60407a0e1f33d9,Enemy_Zombie_Junior,Surface72,Gerudo Canyon,0,,1,,,"[-4030, 149.14, 2711]",Table,['Default'],
11804,MainField,A-7,0xc1fa82c5f82d11bb,Enemy_Zombie_Junior,Surface72,Gerudo Canyon,0,,1,,,"[-4027, 148.92, 2720]",Table,['Default'],
11882,MainField,A-7,0x1b649dcefbfdf785,Enemy_Zombie_Junior,Surface21,Gerudo Canyon,0,,1,,,"[-4289.39, 144.9, 2857.1]",Table,['Default'],
11883,MainField,A-7,0xe187d46492ed11bb,Enemy_Zombie_Junior,Surface21,Gerudo Canyon,0,,1,,,"[-4276.96, 144.89, 2821.59]",Table,['Default'],
11884,MainField,A-7,0x5f9080b3d34261a2,Enemy_Zombie_Junior,Surface21,Gerudo Canyon,0,,1,,,"[-4304.73, 146.57, 2867.76]",Table,['Default'],
11885,MainField,A-7,0xf81375f0adf638ad,Enemy_Zombie_Junior,Surface21,Gerudo Canyon,0,,1,,,"[-4296.44, 143.78, 2826.79]",Table,['Default'],
11886,MainField,A-7,0x13d6ea6876a917ea,Enemy_Zombie_Junior,Surface21,Gerudo Canyon,0,,1,,,"[-4279.27, 145.39, 2854.86]",Table,['Default'],
13827,MainField,A-8,0x1a0d329ce95d3bf6,Enemy_Zombie_Junior,Surface21,Gerudo Canyon,0,,1,,,"[-4923, 123.91, 3348]",Table,['Default'],
13828,MainField,A-8,0x3106d98a7ace0d44,Enemy_Zombie_Junior,Surface21,Gerudo Canyon,0,,1,,,"[-4917, 124.41, 3348]",Table,['Default'],
13829,MainField,A-8,0xcd5367af016d2278,Enemy_Zombie_Junior,Surface21,Gerudo Canyon,0,,1,,,"[-4920, 124.44, 3352]",Table,['Default'],
13832,MainField,A-8,0x3f9b022d225a23ef,Enemy_Zombie_Junior,Surface40,Gerudo Canyon,0,,1,,,"[-4358.03, 128.24, 3869.29]",Table,['Default'],
13833,MainField,A-8,0xd7ac783ba7653a9f,Enemy_Zombie_Junior,Surface40,Gerudo Canyon,0,,1,,,"[-4352.03, 128.55, 3869.29]",Table,['Default'],
13834,MainField,A-8,0xe7bd175e46363a6d,Enemy_Zombie_Junior,Surface40,Gerudo Canyon,0,,1,,,"[-4355.03, 128.32, 3873.29]",Table,['Default'],
13837,MainField,A-8,0x731fac3f3725ef9e,Enemy_Zombie_Junior,Surface21,Gerudo Canyon,0,,1,,,"[-4113, 147.87, 3058]",Table,['Default'],
13838,MainField,A-8,0x182a214eb459f150,Enemy_Zombie_Junior,Surface21,Gerudo Canyon,0,,1,,,"[-4107, 148.18, 3058]",Table,['Default'],
13839,MainField,A-8,0x2a3d636b7b1d7603,Enemy_Zombie_Junior,Surface21,Gerudo Canyon,0,,1,,,"[-4110, 148.16, 3062]",Table,['Default'],
13842,MainField,A-8,0xdb68fb0a5f0da2aa,Enemy_Zombie_Junior,Surface21,Gerudo Canyon,0,,1,,,"[-4337.65, 144.2, 3063.03]",Table,['Default'],
13843,MainField,A-8,0xf2db9673ad19bc34,Enemy_Zombie_Junior,Surface21,Gerudo Canyon,0,,1,,,"[-4331.65, 144.1, 3063.03]",Table,['Default'],
