objid,map_type,map_name,hash_id,name,fieldarea,region,scale,equip,map_static,korok_id,korok_type,pos,drop.type,drop.value
500809,MainField,Sky__Pln_Fld_Zora_SkyField_Before_DungeonWay ,0xae9f2a37a42c8d82,Enemy_Zonau_BlockMaster_Middle,Sky34,,0,,1,,,"[3386.44, 1395.97, -633.13]",Table,['Default']
501807,MainField,Sky__Set_SkyIsland_Akkare_I-3_Sky ,0xc490391a0975f8c1,Enemy_Zonau_BlockMaster_Middle,Sky33,,0,,1,,,"[3674.13, 1094.38, -1808.69]",Table,['Default']
503123,MainField,Sky__Set_SkyIsland_CentralHyrule_D-6_Sky ,0xe49b5ef8ba5d523e,Enemy_Zonau_BlockMaster_Middle,Sky46,,0,,1,,,"[-1343.78, 907.24, 1547.72]",Table,['Default']
512243,MainField,Sky__Set_SkyIsland_Zora_H-5_Sky ,0xff309cbff694ac82,Enemy_Zonau_BlockMaster_Middle,Sky34,,0,,1,,,"[3000.41, 1000.13, 251.78]",Table,['Default']
295481,MinusField,A-8,0xbd5d3280de3741b1,Enemy_Zonau_BlockMaster_Middle,Depths21,,0,,0,,,"[-4146.5, -379.4, 2961]",Table,['Minus']
378181,MinusField,E-3,0x30586b3dcbe6a060,Enemy_Zonau_BlockMaster_Middle,Depths26,,0,,0,,,"[-723.27, -409.19, -1263.34]",Table,['Minus']
398419,MinusField,F-1,0x10803d424a3a5980,Enemy_Zonau_BlockMaster_Middle,Depths94,,0,,0,,,"[224.61, -405.98, -3673.67]",Table,['Minus']
444988,MinusField,H-1,0xef468ac597beb653,Enemy_Zonau_BlockMaster_Middle,Depths7,,0,,0,,,"[2680.14, -572.89, -3472.9]",Table,['Minus']
452468,MinusField,H-5,0x3c9017d5d75ec3cd,Enemy_Zonau_BlockMaster_Middle,Depths11,,0,,0,,,"[2638.95, -551.75, 937.24]",Table,['Minus']
455802,MinusField,H-6,0xe91cd1b52e943688,Enemy_Zonau_BlockMaster_Middle,Depths13,,0,,0,,,"[2512.44, -540.23, 1271.55]",Table,['Minus']
468478,MinusField,I-2,0x9aad113ea4ebb2e4,Enemy_Zonau_BlockMaster_Middle,Depths20,,0,,0,,,"[3700.93, -365.65, -2906.14]",Table,['Minus']
471060,MinusField,I-3,0x45d2ffef8ae58322,Enemy_Zonau_BlockMaster_Middle,Depths85,,0,,0,,,"[3197.77, -737.28, -1019.61]",Table,['Minus']
480387,MinusField,I-6,0xf43acedeba93490f,Enemy_Zonau_BlockMaster_Middle,Depths38,,0,,0,,,"[3527.25, -499.76, 1340.16]",Table,['Minus']
