objid,map_type,map_name,hash_id,name,fieldarea,region,scale,equip,map_static,korok_id,korok_type,pos,drop.type,drop.value
499086,MainField,Sky__Map_SKy_Firone_SmallZonauRuins_Island_B_00 ,0xaaf293566632424e,Enemy_Zonau_BlockMaster_Senior,Sky105,,0,,1,,,"[1133.32, 862.67, 3272.54]",Table,['Default']
503941,MainField,Sky__Set_SkyIsland_Eldin_I-1_Sky ,0x821e623ecb830c97,Enemy_Zonau_BlockMaster_Senior,Sky22,,0,,1,,,"[3301.5, 900.13, -3434.16]",Table,['Default']
505684,MainField,Sky__Set_SkyIsland_Firone_H-7_Sky ,0xa0cca1e8768530fe,Enemy_Zonau_BlockMaster_Senior,Sky61,,0,,1,,,"[3044.02, 1306.88, 2777.21]",Table,['Default']
506450,MainField,Sky__Set_SkyIsland_Hateru_H-8_Sky ,0xee686ad6075857ae,Enemy_Zonau_BlockMaster_Senior,Sky61,,0,,1,,,"[2559.25, 1000.13, 3601.44]",Table,['Default']
507995,MainField,Sky__Set_SkyIsland_HyruleHill_C-5_Sky ,0xf0632e40a942bbf0,Enemy_Zonau_BlockMaster_Senior,Sky64,,0,,1,,,"[-2290.43, 1000.13, 411.74]",Table,['Default']
508067,MainField,Sky__Set_SkyIsland_HyruleLake_E-7_Sky ,0xf0742bec4ed36807,Enemy_Zonau_BlockMaster_Senior,Sky10,,0,,1,,,"[-325.65, 1000.13, 2591.48]",Table,['Default']
511781,MainField,Sky__Set_SkyIsland_Tabanta_B-4_Sky ,0x5bc59415a1a57123,Enemy_Zonau_BlockMaster_Senior,Sky42,,0,,1,,,"[-3450.49, 1539.91, -658.07]",Table,['Default']
283851,MinusField,A-2,0x2439b1a2762e05af,Enemy_Zonau_BlockMaster_Senior,Depths3,,0,,0,,,"[-4412.77, -440.33, -2239.77]",Table,['Minus']
287040,MinusField,A-5,0x5058b0f32c49603d,Enemy_Zonau_BlockMaster_Senior,Depths0,,0,,0,,,"[-4085.54, -1005.22, 952.67]",Table,['Minus']
329373,MinusField,C-3,0x51edfca900046bec,Enemy_Zonau_BlockMaster_Senior,Depths31,,0,,0,,,"[-2619.93, -582.28, -1705.06]",Table,['Minus']
373625,MinusField,D-8,0x795ba2da04b99cc7,Enemy_Zonau_BlockMaster_Senior,Depths73,,0,,1,,,"[-1795, -417.51, 3462.5]",Table,['Minus']
374989,MinusField,E-1,0x5ca362efc15e8f32,Enemy_Zonau_BlockMaster_Senior,Depths5,,0,,1,,,"[-814.75, -576.76, -3534.4]",Table,['Minus']
407592,MinusField,F-4,0xc337b04248b71159,Enemy_Zonau_BlockMaster_Senior,Depths41,,0,,0,,,"[869.61, -433.47, -678.48]",Table,['Minus']
485901,MinusField,I-8,0x85812ae825b9b1da,Enemy_Zonau_BlockMaster_Senior,Depths62,,0,,0,,,"[3263.08, -340.86, 3702.87]",Table,['Minus']
487798,MinusField,J-1,0x0cc0434920c68c50,Enemy_Zonau_BlockMaster_Senior,Depths30,,0,,1,,,"[4654.9, -340.45, -3697]",Table,['Minus']
