objid,map_type,map_name,hash_id,name,fieldarea,region,scale,equip,map_static,korok_id,korok_type,pos,drop.type,drop.value
9342,MainField,A-6,0x9e8fee16ac4c7c56,Enemy_Zonau_Golem_Senior,Surface4,Gerudo Highlands,1,,1,,,"[-4312.55, 409.88, 1500.97]",Table,['Arrow']
37662,MainField,B-6,0xecd7a017510cc64a,Enemy_Zonau_Golem_Senior,Surface0,Gerudo Highlands,0,,1,,,"[-3448.65, 626.62, 1146.13]",Table,['Arrow']
134692,MainField,F-1,0x20573b9b04148366,Enemy_Zonau_Golem_Senior,Surface88,Thyphlo Ruins,0,,1,,,"[216, 280.2, -3207]",Table,['Arrow']
134693,MainField,F-1,0x88ac926cca7ec45c,Enemy_Zonau_Golem_Senior,Surface88,Thyphlo Ruins,0,,1,,,"[369.31, 281.07, -3208.27]",Table,['Arrow']
236775,MainField,H-8,0x3c044b4cb904681f,Enemy_Zonau_Golem_Senior,Surface58,Rabella Wetlands,0,,1,,,"[2102.8, 131.83, 3927.9]",Table,['Arrow']
236971,MainField,H-8,0x469ef67d21cb6602,Enemy_Zonau_Golem_Senior,Surface58,Rabella Wetlands,0,,1,,,"[2090.33, 122.97, 3891.43]",Table,['Arrow']
276647,MainField,J-4,0x521606aaaf788b91,Enemy_Zonau_Golem_Senior,Surface56,Upland Zorana,0,,1,,,"[4153.2, 390.12, -988.93]",Table,['Arrow']
500703,MainField,Sky__Pln_Fld_Zora_SkyField_Before_DungeonWay ,0xb5acd40932c6e503,Enemy_Zonau_Golem_Senior,Sky34,,0,,1,,,"[3433.44, 1653.38, -565.58]",Table,['Default']
500720,MainField,Sky__Pln_Fld_Zora_SkyField_Before_DungeonWay ,0x11c292db1c8c9df0,Enemy_Zonau_Golem_Senior,Sky34,,1,,1,,,"[3853.7, 1264.06, -540.31]",Table,['Arrow']
551317,MainField,LargeDungeon__LargeDungeonThunder ,0xdbb5b8242eaef25f,Enemy_Zonau_Golem_Senior,Surface40,Gerudo Canyon,1,['Weapon_Sword_163'],0,,,"[-4583.61, 112.67, 3676.62]",Table,['Arrow']
