objid,map_type,map_name,hash_id,name,fieldarea,region,scale,equip,map_static,korok_id,korok_type,pos,drop.type,drop.value
9376,MainField,A-6,0x3ab8f98bd9725c0e,Enemy_Zonau_Robot_Middle_Lookout,Surface4,Gerudo Highlands,0,"['Weapon_Sword_108', 'Weapon_Shield_107', 'SpObj_LightMirror_A_01']",1,,,"[-4313.68, 411.08, 1493.09]",Table,['Default']
21509,MainField,B-2,0xa8bcfa127232dc91,Enemy_Zonau_Robot_Middle_Lookout,Surface3,Rospro Pass,0,"['Weapon_Sword_168', 'Weapon_Shield_107']",1,,,"[-3735.5, 250.1, -2209.95]",Table,['Default']
37667,MainField,B-6,0x8cd83ef527924d59,Enemy_Zonau_Robot_Middle_Lookout,Surface0,Gerudo Highlands,0,['Weapon_Bow_105'],1,,,"[-3466.13, 629.82, 1153.77]",Table,['Arrow']
48585,MainField,C-1,0x75cf807e1a9e46a0,Enemy_Zonau_Robot_Middle_Lookout,Surface3,Pikida Stonegrove,0,['Weapon_Spear_101'],1,,,"[-2422.76, 546.1, -3070.68]",Table,['Default']
48618,MainField,C-1,0x9c3560e365b79234,Enemy_Zonau_Robot_Middle_Lookout,Surface3,Pikida Stonegrove,0,['Weapon_Bow_105'],1,,,"[-2436.86, 554.11, -3084.5]",Table,['Arrow']
48637,MainField,C-1,0x5188cb76dd30c319,Enemy_Zonau_Robot_Middle_Lookout,Surface3,Pikida Stonegrove,0,"['Weapon_Sword_101', 'Weapon_Shield_101']",1,,,"[-2449.68, 549.74, -3085.13]",Table,['Default']
52848,MainField,C-2,0x573c575ba402d379,Enemy_Zonau_Robot_Middle_Lookout,Surface3,Rospro Pass,0,['Weapon_Lsword_168'],1,,,"[-2853.99, 671.21, -2909.42]",Table,['Default']
65175,MainField,C-5,0xae0152831c1e2c62,Enemy_Zonau_Robot_Middle_Lookout,Surface80,Gerudo Highlands,0,"['Weapon_Sword_108', 'Weapon_Shield_107', 'SpObj_LightMirror_A_01']",1,,,"[-2942.35, 172.09, 313.59]",Table,['Default']
96645,MainField,D-6,0x5d0fbc2f6e40a153,Enemy_Zonau_Robot_Middle_Lookout,Surface32,Hyrule Field,0,['Weapon_Bow_105'],1,,,"[-1578.64, 146.76, 1470.26]",Table,['Arrow']
128398,MainField,E-7,0x53d9a442fe151ba3,Enemy_Zonau_Robot_Middle_Lookout,Surface25,Popla Foothills,0,"['Weapon_Sword_108', 'Weapon_Shield_107']",1,,,"[-826.8, 226.41, 2855.54]",Table,['Default']
