objid,map_type,map_name,hash_id,name,fieldarea,region,scale,equip,map_static,korok_id,korok_type,pos,drop.type,drop.value
9357,MainField,A-6,0xcf9b5b3076599fed,Enemy_Zonau_Robot_Senior,Surface4,Gerudo Highlands,0,"['Weapon_Sword_163', 'Weapon_Shield_102', 'SpObj_SnowMachine_A_01']",1,,,"[-4297.38, 411, 1491.65]",Table,['Default']
9375,MainField,A-6,0x0168a7d591dc477d,Enemy_Zonau_Robot_Senior,Surface4,Gerudo Highlands,0,['Weapon_Lsword_101'],1,,,"[-4299.16, 408.81, 1499.34]",Table,['Default']
10747,MainField,A-7,0x9610ac64fa19d39b,Enemy_Zonau_Robot_Senior,Surface72,Gerudo Canyon,0,['Weapon_Bow_106'],0,,,"[-4194, 146.1, 2163]",Table,['Arrow']
10910,MainField,A-7,0x4d4da62d0564a02c,Enemy_Zonau_Robot_Senior,Surface72,Gerudo Canyon,0,['Weapon_Sword_108'],0,,,"[-4150.19, 146.05, 2139.49]",Table,['Default']
10911,MainField,A-7,0xe57cb3d9ba3de5ca,Enemy_Zonau_Robot_Senior,Surface72,Gerudo Canyon,0,['Weapon_Lsword_108'],0,,,"[-4188.74, 147.99, 2139]",Table,['Default']
11774,MainField,A-7,0xb39f1d4e5127f582,Enemy_Zonau_Robot_Senior,Surface72,Gerudo Canyon,0,"['Weapon_Bow_106', 'SpObj_Beamos_A_01']",1,,,"[-4153.05, 146.46, 2156.26]",Table,['Arrow']
11841,MainField,A-7,0xb4dc6d0d9394a1d6,Enemy_Zonau_Robot_Senior,Surface72,Gerudo Canyon,0,['Weapon_Bow_106'],1,,,"[-4155.03, 153.21, 2098.02]",Table,['Arrow']
11842,MainField,A-7,0xc000dcc1e9ef84ba,Enemy_Zonau_Robot_Senior,Surface72,Gerudo Canyon,1,['Weapon_Bow_106'],1,,,"[-4189.35, 148.17, 2117.36]",Table,['Arrow']
37661,MainField,B-6,0xa91d05feffed72e3,Enemy_Zonau_Robot_Senior,Surface0,Gerudo Highlands,0,['Weapon_Spear_108'],1,,,"[-3421.25, 625.56, 1147.47]",Table,['Default']
37663,MainField,B-6,0x31ed30f9bb43055e,Enemy_Zonau_Robot_Senior,Surface0,Gerudo Highlands,1,"['Weapon_Sword_101', 'Weapon_Shield_102', 'SpObj_ElectricBoxGenerator', 'SpObj_FastWheel_A_01']",1,,,"[-3459.72, 625.39, 1119.21]",Table,['Default']
37669,MainField,B-6,0x98601dd2688ca0fd,Enemy_Zonau_Robot_Senior,Surface0,Gerudo Highlands,0,['Weapon_Lsword_109'],1,,,"[-3446.29, 626.3, 1165.46]",Table,['Default']
