objid,map_type,map_name,hash_id,name,fieldarea,region,scale,equip,map_static,korok_id,korok_type,pos,drop.type,drop.value
291608,MinusField,A-6,0x337610fc6f27b62a,Enemy_Assassin_Junior_Rider,Depths0,,0,,1,,,"[-4491.81, -747.19, 1013.6]",Table,['Minus']
291637,MinusField,A-6,0xb280c35c2e595ff2,Enemy_Assassin_Junior_Rider_Bow,Depths0,,0,,1,,,"[-4533.89, -772, 976.76]",Table,['Minus_Arrow']
291656,MinusField,A-6,0x548c278e14c71f92,Enemy_Assassin_Junior_Rider_Bow,Depths0,,0,,1,,,"[-4474.01, -771.31, 1056.15]",Table,['Minus_Arrow']
294214,MinusField,A-7,0xf5e280fa1208a970,Enemy_Assassin_Junior_Rider,Depths21,,0,,1,,,"[-4514.68, -382.77, 2169.65]",Table,['Minus']
294256,MinusField,A-7,0x03a4d8d12bc2fb9b,Enemy_Assassin_Junior_Rider_Bow,Depths21,,0,,1,,,"[-4557.41, -369.9, 2156.09]",Table,['Minus_Arrow']
294266,MinusField,A-7,0x50817fae08b72217,Enemy_Assassin_Junior_Rider_Bow,Depths21,,0,,1,,,"[-4471.77, -364.74, 2167.25]",Table,['Minus_Arrow']
299457,MinusField,B-1,0x836104a9d236bf3f,Enemy_Assassin_Junior_Rider,Depths3,,0,,1,,,"[-3658.05, -677.24, -3109.45]",Table,['Minus']
308857,MinusField,B-4,0x2d346d668dd9f705,Enemy_Assassin_Junior_Rider,Depths42,,0,,1,,,"[-3360.29, -520.7, -667.91]",Table,['Minus']
312457,MinusField,B-5,0x7535604bcdf60a12,Enemy_Assassin_Junior_Rider,Depths80,,0,,1,,,"[-3429.12, -378.27, 226.96]",Table,['Minus']
312473,MinusField,B-5,0x7d5438ef059dba9a,Enemy_Assassin_Junior_Rider,Depths80,,0,,1,,,"[-3418.46, -413.45, 203.01]",Table,['Minus']
312529,MinusField,B-5,0x4d656f6c76c004b1,Enemy_Assassin_Junior_Rider_Bow,Depths80,,0,,1,,,"[-3376.29, -386.66, 281.18]",Table,['Minus_Arrow']
316254,MinusField,B-6,0x05be44b3bebe509f,Enemy_Assassin_Junior_Rider,Depths0,,0,,1,,,"[-3082.92, -814.99, 1603.36]",Table,['Minus']
316300,MinusField,B-6,0xafc1cb9a46e9a931,Enemy_Assassin_Junior_Rider_Bow,Depths0,,0,,1,,,"[-3027.46, -790.89, 1537.4]",Table,['Minus_Arrow']
