objid,map_type,map_name,hash_id,name,fieldarea,region,scale,equip,map_static,korok_id,korok_type,pos,drop.type,drop.value
119353,MainField,E-5,0x76736f6023799bed,Enemy_Bokoblin_Armor_Junior,Surface6,Lookout Landing,1,"['Weapon_Sword_112', 'Weapon_Shield_004']",1,,,"[-917.14, 194.32, 57.27]",Table,['Default']
157883,MainField,F-6,0x9197e88507205c41,Enemy_Bokoblin_Armor_Junior,Surface1,Popla Foothills,0,['Weapon_Lsword_103'],1,,,"[1010.51, 115.34, 1383.11]",Table,['Default']
157884,MainField,F-6,0xb0874cfad96a5dd7,Enemy_Bokoblin_Armor_Junior,Surface1,Popla Foothills,0,['Weapon_Lsword_103'],1,,,"[1002.75, 115.32, 1382]",Table,['Default']
157885,MainField,F-6,0x1d54467da5c5f17c,Enemy_Bokoblin_Armor_Junior,Surface1,Popla Foothills,1,['Weapon_Lsword_103'],1,,,"[1004.77, 115.34, 1390.34]",Table,['Default']
184297,MainField,G-4,0x828d39b62bfb6da6,Enemy_Bokoblin_Armor_Junior,Surface17,Eldin Canyon,0,"['Weapon_Sword_103', 'Weapon_Shield_004', 'Obj_ArmorSpike_A']",0,,,"[1730.27, 115.96, -469.81]",Table,['Default']
194271,MainField,G-6,0x99a289f0696fbd7e,Enemy_Bokoblin_Armor_Junior,Surface1,Sahasra Slope,0,,1,,,"[1115, 116.1, 1811.36]",Table,['Default']
194507,MainField,G-6,0x54c1917ea62287f6,Enemy_Bokoblin_Armor_Junior,Surface1,Sahasra Slope,0,,1,,,"[1579.1, 214.67, 1502.51]",Table,['Default']
526822,MainField,Cave__Cave_Eldin_0039_GroupSet_000 ,0xd71700d2f4670ad5,Enemy_Bokoblin_Armor_Junior,Cave66,,0,['Weapon_Sword_103'],1,,,"[2188.3, 251.84, -1625.91]",Table,['Default']
365345,MinusField,D-6,0xaa2525fbdd5deb1a,Enemy_Bokoblin_Armor_Junior,Depths32,,1,"['Weapon_Sword_106', 'Weapon_Shield_035']",0,,,"[-1211.54, -368.07, 1526.78]",Table,['Minus']
366849,MinusField,D-6,0x8f761f61db5ed24e,Enemy_Bokoblin_Armor_Junior,Depths6,,0,"['Weapon_Sword_103', 'AsbObj_RockParts_C_S_01', 'BokoblinBasket_Item_Ore_L']",1,,,"[-1496.54, -368.63, 993.07]",Table,['Minus']
383636,MinusField,E-4,0x481a5431255effd3,Enemy_Bokoblin_Armor_Junior,Depths106,,0,"['Weapon_Sword_103', 'AsbObj_RockParts_C_S_01']",1,,,"[-507.35, -364.72, -16.73]",Table,['Minus']
383644,MinusField,E-4,0xf5f49e4cd2123da0,Enemy_Bokoblin_Armor_Junior,Depths76,,0,"['Weapon_Sword_103', 'AsbObj_RockParts_C_S_01', 'BokoblinBasket_Item_Ore_L']",1,,,"[-67.97, -360.19, -141.39]",Table,['Minus']
388079,MinusField,E-5,0x6cf4f92d35474a14,Enemy_Bokoblin_Armor_Junior,Depths106,,1,"['Weapon_Sword_103', 'AsbObj_RockParts_C_S_01']",1,,,"[-818.34, -401.56, 128.66]",Table,['Minus']
388082,MinusField,E-5,0x9cb671fa69b66dda,Enemy_Bokoblin_Armor_Junior,Depths106,,0,"['Weapon_Sword_106', 'Weapon_Shield_035', 'Obj_ArmorSpike_A']",1,,,"[-252.51, -365.94, 597.31]",Table,['Minus']
390631,MinusField,E-6,0xb8f964de2af6dbe6,Enemy_Bokoblin_Armor_Junior,Depths106,,0,"['Weapon_Sword_106', 'Weapon_Shield_035', 'AsbObj_RockParts_C_S_01']",0,,,"[-363.71, -382.26, 1005.4]",Table,['Minus']
392480,MinusField,E-6,0x068b4e9f09f700ca,Enemy_Bokoblin_Armor_Junior,Depths106,,0,"['Weapon_Sword_106', 'Weapon_Shield_035', 'Obj_ArmorSpike_A']",1,,,"[-6.07, -365.24, 1016.89]",Table,['Minus']
412627,MinusField,F-5,0xdee8b35702947f66,Enemy_Bokoblin_Armor_Junior,Depths106,,0,"['Weapon_Sword_106', 'Weapon_Shield_035', 'AsbObj_RockParts_C_S_01']",1,,,"[35.31, -373.43, 626.37]",Table,['Minus']
