objid,map_type,map_name,hash_id,name,fieldarea,region,scale,equip,map_static,korok_id,korok_type,pos,drop.type,drop.value
96419,MainField,D-6,0x3d8bf742bdc7955b,Enemy_Bokoblin_Armor_Middle,Surface32,Hyrule Field,0,,1,,,"[-1213.23, 151.85, 1103.55]",Table,['Default']
119173,MainField,E-5,0xcf5d1a34b771109d,Enemy_Bokoblin_Armor_Middle,Surface32,Hyrule Field,0,['Weapon_Lsword_108'],1,,,"[-717.18, 166.14, 1008.42]",Table,['Default']
125126,MainField,E-6,0xbc8129bf4cc04427,Enemy_Bokoblin_Armor_Middle,Surface32,Hyrule Field,0,,1,,,"[-763.83, 134.61, 1358.4]",Table,['Default']
125222,MainField,E-6,0x7968c30abcb873a8,Enemy_Bokoblin_Armor_Middle,Surface32,Hyrule Field,0,,1,,,"[-933.64, 121.39, 1179.66]",Table,['Default']
130201,MainField,E-8,0xec45c1a9cb8cb7c9,Enemy_Bokoblin_Armor_Middle,Surface25,Popla Foothills,0,['Weapon_Bow_003'],0,,,"[-629.25, 234.49, 3025.57]",Table,['Arrow']
134833,MainField,F-1,0x2dae7ed6cdee5bad,Enemy_Bokoblin_Armor_Middle,Surface96,Thyphlo Ruins,0,,1,,,"[113.18, 222.03, -3421.46]",Table,['Default']
157552,MainField,F-6,0xf0b8160a5589e6f7,Enemy_Bokoblin_Armor_Middle,Surface70,Hyrule Field,1,['Weapon_Lsword_112'],1,,,"[8.16, 117.04, 1583.49]",Table,['Default']
162187,MainField,F-7,0x32849440cac7e6e2,Enemy_Bokoblin_Armor_Middle,Surface49,Popla Foothills,1,"['Weapon_Sword_112', 'Weapon_Shield_002']",1,,,"[573.6, 200.15, 2396.6]",Table,['Default']
162264,MainField,F-7,0xeee711f7edd46c31,Enemy_Bokoblin_Armor_Middle,Surface49,Popla Foothills,0,"['Weapon_Sword_103', 'Weapon_Shield_005', 'Obj_ArmorSpike_A']",1,,,"[739.88, 216.48, 2236.49]",Table,['Default']
168011,MainField,F-8,0x85e837a5ba333098,Enemy_Bokoblin_Armor_Middle,Surface36,Popla Foothills,1,"['Weapon_Sword_108', 'Weapon_Shield_005']",1,,,"[771.49, 189.61, 3550.71]",Table,['Default']
168012,MainField,F-8,0x29aa13921f1febe2,Enemy_Bokoblin_Armor_Middle,Surface36,Popla Foothills,0,"['Weapon_Sword_108', 'Weapon_Shield_005']",1,,,"[769.5, 189.49, 3547]",Table,['Default']
168013,MainField,F-8,0xa0949af573ab8a3e,Enemy_Bokoblin_Armor_Middle,Surface36,Popla Foothills,0,"['Weapon_Sword_108', 'Weapon_Shield_005']",1,,,"[765.97, 189.42, 3545.49]",Table,['Default']
168014,MainField,F-8,0x6472960bd49d4f52,Enemy_Bokoblin_Armor_Middle,Surface36,Popla Foothills,1,"['Weapon_Sword_103', 'Weapon_Shield_005']",1,,,"[762, 189.2, 3545.5]",Table,['Default']
170768,MainField,G-2,0xebb4c5b83d4eab37,Enemy_Bokoblin_Armor_Middle,Surface105,Eldin Canyon,0,['Weapon_Sword_112'],0,,,"[1906.97, 590.72, -2247.12]",Table,['Default']
172991,MainField,G-2,0xce6448e6a96b111b,Enemy_Bokoblin_Armor_Middle,Surface105,Eldin Canyon,0,"['Weapon_Lsword_106', 'RockBall']",0,,,"[1935.47, 531.71, -2688.89]",Table,['Default']
172992,MainField,G-2,0xd96697a3fe8f16ac,Enemy_Bokoblin_Armor_Middle,Surface66,Eldin Canyon,0,['Weapon_Lsword_112'],0,,,"[1558.5, 423.75, -1968]",Table,['Default']
172995,MainField,G-2,0x5e7ce57450b60c4b,Enemy_Bokoblin_Armor_Middle,Surface105,Eldin Canyon,0,"['Weapon_Sword_112', 'Weapon_Shield_021', 'Item_Enemy_15', 'Item_Enemy_15']",0,,,"[1776.52, 505.91, -2637.6]",Table,['Default']
175152,MainField,G-2,0x9d9480fcf8428ca2,Enemy_Bokoblin_Armor_Middle,Surface67,Eldin Canyon,0,['Weapon_Lsword_106'],1,,,"[1811.9, 504.65, -2815.87]",Table,['Default']
175242,MainField,G-2,0x480d86b34556a1ae,Enemy_Bokoblin_Armor_Middle,Surface66,Eldin Canyon,0,"['Weapon_Sword_112', 'Weapon_Shield_002', 'Obj_ArmorSpike_A']",1,,,"[1657.41, 520.98, -2243.59]",Table,['Default']
175275,MainField,G-2,0x394d78d0505fad71,Enemy_Bokoblin_Armor_Middle,Surface66,Eldin Canyon,0,,1,,,"[1444.61, 387.62, -2069.13]",Table,['Default']
175277,MainField,G-2,0x5c038002503c6571,Enemy_Bokoblin_Armor_Middle,Surface66,Eldin Canyon,0,,1,,,"[1439.34, 388.06, -2075.36]",Table,['Default']
175404,MainField,G-2,0x470d931dcdc9e9fe,Enemy_Bokoblin_Armor_Middle,Surface105,Eldin Canyon,1,['AsbObj_BoneStick_A_01'],1,,,"[1884.87, 506.79, -2487.62]",Table,['Default']
181681,MainField,G-3,0x115f7e3c6bfc5891,Enemy_Bokoblin_Armor_Middle,Surface7,Eldin Canyon,1,['Weapon_Lsword_112'],1,,,"[1498.35, 285.27, -1186.65]",Table,['Default']
210578,MainField,H-2,0x696f466686ec20c3,Enemy_Bokoblin_Armor_Middle,Surface105,Eldin Canyon,1,"['Weapon_Sword_112', 'Weapon_Shield_002', 'Obj_ArmorSpike_A']",1,,,"[2118.18, 626.22, -2581.88]",Table,['Default']
210780,MainField,H-2,0x714e87ee0050819c,Enemy_Bokoblin_Armor_Middle,Surface44,Eldin Canyon,1,,1,,,"[2497.64, 672.07, -2279.32]",Table,['Default']
210793,MainField,H-2,0x882184081e13b023,Enemy_Bokoblin_Armor_Middle,Surface66,Eldin Canyon,0,"['Weapon_Sword_106', 'AsbObj_SpikeDynamic_A_01']",1,,,"[2699.33, 627.3, -2206.97]",Table,['Default']
212949,MainField,H-3,0xfd42de3ab7ac938b,Enemy_Bokoblin_Armor_Middle,Surface7,Eldin Canyon,0,['Weapon_Sword_112'],0,,,"[2592.14, 520.38, -1976.91]",Table,['Default']
212950,MainField,H-3,0x6c29bfc02d45a659,Enemy_Bokoblin_Armor_Middle,Surface7,Eldin Canyon,0,['Weapon_Sword_112'],0,,,"[2582.05, 520.38, -1969.91]",Table,['Default']
217567,MainField,H-4,0x2aaad00fde1ab4fb,Enemy_Bokoblin_Armor_Middle,Surface69,Upland Zorana,0,['Weapon_Spear_103'],0,,,"[2205, 177.96, -97.86]",Table,['Default']
227556,MainField,H-6,0xda9ad9f65e96bcdd,Enemy_Bokoblin_Armor_Middle,Surface86,Sahasra Slope,1,"['Weapon_Sword_103', 'Weapon_Shield_005', 'DgnObj_SpikeBall_A', 'AsbObj_SpikeDynamic_A_01']",1,,,"[2581.12, 205.12, 1033.54]",Table,['Default']
232742,MainField,H-7,0xd8724b88a308991d,Enemy_Bokoblin_Armor_Middle,Surface13,Rabella Wetlands,1,"['Weapon_Sword_112', 'Weapon_Shield_005']",1,,,"[2796.49, 213.54, 2244.3]",Table,['Default']
232868,MainField,H-7,0x6e1af1c589cba3c9,Enemy_Bokoblin_Armor_Middle,Surface13,Rabella Wetlands,0,"['Weapon_Sword_103', 'Weapon_Shield_005']",1,,,"[2915.92, 228.43, 2501.81]",Table,['Default']
240580,MainField,I-2,0xb0df2b7e1676da45,Enemy_Bokoblin_Armor_Middle,Surface7,Ulri Mountain,0,['Weapon_Sword_112'],0,,,"[3565.69, 235.06, -2789.54]",Table,['Default']
240581,MainField,I-2,0x44ff7117ee404847,Enemy_Bokoblin_Armor_Middle,Surface7,Ulri Mountain,0,['Weapon_Lsword_106'],0,,,"[3510.05, 254.76, -2770.98]",Table,['Default']
243831,MainField,I-2,0xf3c89c7a12936d0e,Enemy_Bokoblin_Armor_Middle,Surface2,Ulri Mountain,0,['Weapon_Spear_108'],1,,,"[3387.61, 235.16, -2416.8]",Table,['Default']
248051,MainField,I-3,0x1f3b9ef7b8a3d495,Enemy_Bokoblin_Armor_Middle,Surface2,Upland Zorana,0,"['Weapon_Sword_103', 'DgnObj_SpikeBall_A']",1,,,"[3215.74, 322.94, -1207.15]",Table,['Default']
256500,MainField,I-5,0xf9d2f8b2fb5d9a24,Enemy_Bokoblin_Armor_Middle,Surface68,Upland Zorana,0,"['Weapon_Bow_003', 'ElectricalFruit', 'BokoblinBasket_ElectricalFruit']",1,,,"[3325.19, 117.9, 425.53]",Table,['Thunder']
256501,MainField,I-5,0x9e802c218d7b73e3,Enemy_Bokoblin_Armor_Middle,Surface68,Upland Zorana,0,"['Weapon_Bow_003', 'ElectricalFruit', 'BokoblinBasket_ElectricalFruit']",1,,,"[3344.58, 118.23, 425.53]",Table,['Thunder']
272665,MainField,J-2,0xc8d9ef4f3810d483,Enemy_Bokoblin_Armor_Middle,Surface54,Ulri Mountain,1,['Weapon_Sword_112'],1,,,"[4792.73, 110.18, -2802.9]",Table,['Default']
272735,MainField,J-2,0x3442a0c932d77a03,Enemy_Bokoblin_Armor_Middle,Surface103,Ulri Mountain,0,"['Weapon_Sword_103', 'Weapon_Shield_005', 'Obj_ArmorSpike_A']",1,,,"[4390.56, 106.51, -2107.47]",Table,['Default']
272736,MainField,J-2,0x4ab883bd86436a58,Enemy_Bokoblin_Armor_Middle,Surface103,Ulri Mountain,0,['Weapon_Lsword_108'],1,,,"[4634.26, 106.35, -2336.93]",Table,['Default']
