objid,map_type,map_name,hash_id,name,fieldarea,region,scale,equip,map_static,korok_id,korok_type,pos,drop.type,drop.value
103906,MainField,E-1,0xef8b334487126668,Enemy_Bokoblin_Bone_Junior,Surface5,Pikida Stonegrove,0,"['Weapon_Spear_103', 'AsbObj_SharpRock_A_S_01']",0,,,"[-941.1, 333.07, -3626.64]",Table,['Default']
103907,MainField,E-1,0xef8b33441ce5af36,Enemy_Bokoblin_Bone_Junior,Surface5,Pikida Stonegrove,0,"['Weapon_Spear_103', 'BrokenSnowBallForAttachmentSmall']",0,,,"[-992.6, 327.84, -3627.11]",Table,['Default']
103908,MainField,E-1,0xef8b3344eef018fb,Enemy_Bokoblin_Bone_Junior,Surface5,Pikida Stonegrove,0,"['Weapon_Spear_103', 'BrokenSnowBallForAttachmentSmall']",0,,,"[-963, 330.16, -3639.8]",Table,['Default']
137251,MainField,F-2,0xefbde3649fcef9b8,Enemy_Bokoblin_Bone_Junior_AllDay,Surface8,Thyphlo Ruins,0,['Weapon_Sword_108'],0,,,"[262.1, 280.48, -2234.01]",Table,['Default']
137252,MainField,F-2,0x77c1ed1952b262ee,Enemy_Bokoblin_Bone_Junior_AllDay,Surface8,Thyphlo Ruins,0,['Weapon_Bow_027'],0,,,"[259.51, 280.6, -2244.04]",Table,['Default']
137254,MainField,F-2,0x09ccaabd0130a614,Enemy_Bokoblin_Bone_Junior_AllDay,Surface8,Thyphlo Ruins,0,['Weapon_Bow_027'],0,,,"[236.09, 280.23, -2274.26]",Table,['Default']
137263,MainField,F-2,0x02df15ead165beae,Enemy_Bokoblin_Bone_Junior_AllDay,Surface8,Thyphlo Ruins,0,['Weapon_Sword_108'],0,,,"[212.93, 281.73, -2266.95]",Table,['Default']
137264,MainField,F-2,0xa76ec6f625823a45,Enemy_Bokoblin_Bone_Junior_AllDay,Surface8,Thyphlo Ruins,0,['Weapon_Bow_003'],0,,,"[761.64, 288.31, -2374.36]",Table,['Default']
137266,MainField,F-2,0x654750e99aacfd3d,Enemy_Bokoblin_Bone_Junior_AllDay,Surface8,Thyphlo Ruins,0,"['Weapon_Bow_027', 'Item_Enemy_16']",0,,,"[668.78, 280.27, -2262.03]",Table,['Default']
137267,MainField,F-2,0xbd1e762daaab908e,Enemy_Bokoblin_Bone_Junior_AllDay,Surface8,Thyphlo Ruins,0,"['Weapon_Sword_021', 'Weapon_Shield_021']",0,,,"[670.81, 280.29, -2259.58]",Table,['Default']
137381,MainField,F-2,0x3cf5a659fed579f9,Enemy_Bokoblin_Bone_Junior_AllDay,Surface8,Thyphlo Ruins,0,"['Weapon_Bow_003', 'Item_Enemy_16']",0,,,"[747.41, 285.96, -2383.18]",Table,['Default']
137382,MainField,F-2,0x611e5d4135541238,Enemy_Bokoblin_Bone_Junior_AllDay,Surface8,Thyphlo Ruins,0,"['Weapon_Bow_003', 'Item_Enemy_15']",0,,,"[740.44, 285, -2394.96]",Table,['Default']
265493,MainField,I-7,0x33432da9ca211257,Enemy_Bokoblin_Bone_Junior_AllDay_AlwaysRespawn,Surface13,Mount Lanayru,0,,1,,,"[3290.77, 213.51, 2096.85]",Table,['Default']
265494,MainField,I-7,0xfc6a1c50e60970af,Enemy_Bokoblin_Bone_Junior_AllDay_AlwaysRespawn,Surface13,Mount Lanayru,0,['Weapon_Sword_108'],1,,,"[3287.93, 213.61, 2100.97]",Table,['Default']
265495,MainField,I-7,0x42d9301b598dbab1,Enemy_Bokoblin_Bone_Junior_AllDay_AlwaysRespawn,Surface13,Mount Lanayru,0,,1,,,"[3285.1, 213.58, 2105.09]",Table,['Default']
265496,MainField,I-7,0xc9a9729c9eab97f2,Enemy_Bokoblin_Bone_Junior_AllDay_AlwaysRespawn,Surface13,Mount Lanayru,0,,1,,,"[3303.08, 215.27, 2094.5]",Table,['Default']
265497,MainField,I-7,0xff356dad762688c7,Enemy_Bokoblin_Bone_Junior_AllDay_AlwaysRespawn,Surface13,Mount Lanayru,0,"['Weapon_Sword_108', 'Weapon_Shield_005', 'AsbObj_RockParts_C_S_01']",1,,,"[3288.9, 213.6, 2103.14]",Table,['Default']
265498,MainField,I-7,0xb606f1bf234d7d5a,Enemy_Bokoblin_Bone_Junior_AllDay_AlwaysRespawn,Surface13,Mount Lanayru,0,['Weapon_Lsword_108'],1,,,"[3294.95, 214.58, 2101.44]",Table,['Default']
265499,MainField,I-7,0xcc0fca5e22eb40ff,Enemy_Bokoblin_Bone_Junior_AllDay_AlwaysRespawn,Surface13,Mount Lanayru,0,,1,,,"[3289.27, 214.14, 2109.79]",Table,['Default']
265500,MainField,I-7,0x9622c991af5a1d0f,Enemy_Bokoblin_Bone_Junior_AllDay_AlwaysRespawn,Surface13,Mount Lanayru,0,"['Weapon_Sword_103', 'Weapon_Shield_005']",1,,,"[3297.99, 213.96, 2095.3]",Table,['Default']
265501,MainField,I-7,0xddf0c9b7056a03b7,Enemy_Bokoblin_Bone_Junior_AllDay_AlwaysRespawn,Surface13,Mount Lanayru,0,['Weapon_Spear_108'],1,,,"[3287.83, 213.59, 2104.17]",Table,['Default']
